position_0based	gene
0	MFSD3
1	CYHR1
2	KIF9
3	SYVN1
4	SNRNP35
5	EIF4E2
6	MRPL54
7	DMWD
8	MAN2C1
9	MFSD5
10	SKIV2L
11	QSOX2
12	SFT2D3
13	AREL1
14	GZF1
15	GNPTG
16	PIP5K1C
17	STX12
18	UBE2W
19	ARFIP1
20	C6orf89
21	CCDC127
22	STK19
23	CDK11A
24	TJAP1
25	SH2B1
26	SDHAF1
27	NAB1
28	PHF13
29	LIMS1
30	SPRED2
31	SAR1B
32	UBE2B
33	FAM53C
34	UBAC2
35	GATAD1
36	DYNC2LI1
37	NFU1
38	GLA
39	MAGEF1
40	OFD1
41	YIPF6
42	SNX2
43	RNF185
44	FBXO8
45	ZMYM5
46	ATP6V1H
47	ATP6V1B2
48	RRAGC
49	PTPN9
50	DENND4C
51	VSIG10
52	ATF7
53	TMUB2
54	ALG9
55	VPS37A
56	PRKACA
57	ITPR1
58	ICK
59	TTPAL
60	CAPN1
61	RWDD2B
62	MAGT1
63	TMEM87B
64	LPIN2
65	UBAP1
66	ITFG1
67	TMEM242
68	PNKD
69	OGG1
70	TMEM245
71	KLHL36
72	ABCD4
73	TMEM39A
74	MPV17
75	ABHD14A
76	QARS
77	IMPDH2
78	CNPY3
79	SSU72
80	CCDC86
81	VDAC1
82	ATAD3A
83	TOMM5
84	SRM
85	GCSH
86	GAMT
87	RABL6
88	BOLA3
89	NME4
90	GTF3C6
91	SLC29A1
92	FANCL
93	RMI2
94	MGME1
95	TTC21B
96	C11orf54
97	DUSP22
98	STK35
99	SEC24C
100	IFI35
101	KIF13B
102	CCDC115
103	BPHL
104	SLC35D1
105	SEC24A
106	PEX13
107	STAM
108	SERINC3
109	ZFAND3
110	OSBPL2
111	SLC35A2
112	TMEM9
113	NCOA3
114	NCOA2
115	HSDL2
116	RMND1
117	AGAP1
118	DNAJB1
119	MAP3K11
120	TBC1D20
121	SLC35E3
122	LGMN
123	STK32C
124	NBEAL1
125	PDCD4
126	YIPF3
127	ZMAT3
128	MXD4
129	PNRC1
130	MBNL2
131	TSPYL1
132	NBR1
133	TAX1BP1
134	NUMB
135	DNAJC4
136	TBL1X
137	SFXN5
138	NUCB1
139	SKI
140	ADI1
141	ROGDI
142	PHYH
143	SF3B5
144	SPNS1
145	GALK1
146	PDPK1
147	PRKAB2
148	TGIF2
149	SLC31A1
150	GOLPH3
151	MRPL10
152	JUNB
153	IER2
154	DDIT3
155	DDIT4
156	TRIB3
157	JUND
158	ARL4A
159	RNF5
160	AUP1
161	TXNDC12
162	KLF3
163	MRPL41
164	PRDX4
165	H3F3B
166	ODC1
167	MRPL12
168	PPIF
169	AGTRAP
170	RAC3
171	ABHD14B
172	MPST
173	HMGN3
174	PRDX2
175	SLC25A1
176	ZFAS1
177	FTL
178	BSG
179	ERP29
180	TRIM24
181	FASN
182	DHCR24
183	MT-ND1
184	MT-ND3
185	MT-ND2
186	MT-ATP6
187	MT-CYB
188	MT-CO2
189	MT-ND5
190	MT-ND4L
191	ZMYND8
192	ACSL3
193	ISOC2
194	HSD17B11
195	NFIA
196	MRPL50
197	VPS25
198	PITHD1
199	SOD2
200	DDI2
201	ASAH1
202	OSTC
203	TOB1
204	KLHL21
205	BCL2L1
206	CYSTM1
207	RAB6A
208	CMIP
209	ARFGEF2
210	CTNNB1
211	ATE1
212	UGP2
213	PTK7
214	TMX4
215	IRF2BP2
216	NUDT4
217	OS9
218	NRBP1
219	TMED2
220	PGRMC1
221	CBWD5
222	GLRX5
223	PRPSAP1
224	TGOLN2
225	ARHGAP12
226	KIF1B
227	LYRM1
228	TM7SF2
229	ACAA1
230	PCGF5
231	SLC39A14
232	ARL5B
233	TMEM141
234	DYNLRB1
235	SCAND1
236	HERPUD1
237	NFE2L2
238	CPNE1
239	PTTG1IP
240	SAT2
241	JUN
242	KLF6
243	AGPAT2
244	CHKA
245	TJP2
246	XBP1
247	IDH1
248	SCD
249	MAN1A1
250	SNX5
251	SCARB1
252	NEU1
253	FCGRT
254	FDXR
255	FAM210B
256	ACSL4
257	SMARCA1
258	IER3
259	SAT1
260	UGDH
261	ID1
262	P4HB
263	NQO1
264	CAMK2N1
265	CST3
266	ANXA4
267	KCNQ1OT1
268	EML4
269	GPAM
270	RNASET2
271	NINJ1
272	CTSA
273	RBCK1
274	CTNNBIP1
275	TMEM123
276	NCOA4
277	IFNGR1
278	DBI
279	PSPH
280	PCYOX1
281	VAMP3
282	GOT1
283	CDC42
284	SDF4
285	LYPLA2
286	RERE
287	PDIA4
288	ACADSB
289	PLCB1
290	VPS54
291	FAM8A1
292	TST
293	NFKBIA
294	SLC25A39
295	TMEM101
296	GRN
297	SLC25A6
298	FAH
299	SHMT2
300	PGD
301	LCOR
302	WDFY2
303	MSRB1
304	FUCA1
305	TUBB2A
306	ZFAND2A
307	HMGCL
308	PFDN4
