position_0based	gene
0	LINC01409
1	HES4
2	ISG15
3	SDF4
4	ACAP3
5	MXRA8
6	CCNL2
7	MRPL20-AS1
8	MRPL20
9	ATAD3A
10	SSU72
11	MIB2
12	SLC35E2B
13	CDK11A
14	SKI
15	SMIM1
16	C1orf174
17	ZBTB48
18	KLHL21
19	PHF13
20	THAP3
21	CAMTA1
22	VAMP3
23	PER3
24	RERE
25	PIK3CD
26	PIK3CD-AS2
27	CLSTN1
28	CTNNBIP1
29	UBE4B
30	KIF1B
31	PGD
32	SRM
33	MAD2L2
34	AGTRAP
35	MTHFR
36	CLCN6
37	MFN2
38	DHRS3
39	PRDM2
40	EFHD2
41	DDI2
42	PLEKHM2
43	AL450998.2
44	SPEN
45	ZBTB17
46	NECAP2
47	SDHB
48	UBR4
49	AKR7A2
50	MICOS10
51	OTUD3
52	CAMK2N1
53	MUL1
54	HP1BP3
55	EIF4G3
56	HSPG2
57	CDC42
58	ZBTB40
59	KDM1A
60	LUZP1
61	LINC01355
62	E2F2
63	PITHD1
64	LYPLA2
65	HMGCL
66	FUCA1
67	NIPAL3
68	SRRM1
69	CLIC4
70	SYF2
71	RSRP1
72	TMEM50A
73	MACO1
74	LDLRAP1
75	MTFR1L
76	STMN1
77	PDIK1L
78	SH3BGRL3
79	HMGN2
80	RPS6KA1
81	ARID1A
82	GPATCH3
83	SLC9A1
84	WDTC1
85	TMEM222
86	WASF2
87	AHDC1
88	FAM76A
89	STX12
90	EYA3
91	ATP5IF1
92	SESN2
93	SNHG3
94	SNHG12
95	TAF12
96	GMEB1
97	YTHDF2
98	LAPTM5
99	PUM1
100	TXLNA
101	CCDC28B
102	IQCC
103	TMEM234
104	MARCKSL1
105	BSDC1
106	ZBTB8A
107	SYNC
108	KIAA1522
109	YARS
110	TMEM54
111	RNF19B
112	AK2
113	PHC2
114	TMEM35B
115	ZMYM6
116	ZMYM1
117	SFPQ
118	ZMYM4
119	KIAA0319L
120	CLSPN
121	AGO4
122	AGO1
123	AGO3
124	TRAPPC3
125	THRAP3
126	SH3D21
127	EVA1B
128	STK40
129	LSM10
130	MRPS15
131	SNIP1
132	GNL2
133	C1orf109
134	CDCA8
135	YRDC
136	C1orf122
137	MTF1
138	FHL3
139	RRAGC
140	AKIRIN1
141	MACF1
142	PABPC4
143	CAP1
144	RLF
145	AL050341.2
146	SMAP2
147	EXO5
148	SCMH1
149	HIVEP3
150	FOXJ3
151	PPCS
152	PPIH
153	SVBP
154	ERMAP
155	SLC2A1
156	EBNA1BP2
157	CDC20
158	MED8
159	SZT2
160	HYI
161	PTPRF
162	KDM4A
163	KDM4A-AS1
164	ST3GAL3
165	KIF2C
166	RPS8
167	HECTD3
168	UROD
169	PRDX1
170	NASP
171	GPBP1L1
172	IPP
173	PIK3R3
174	LRRC41
175	MKNK1
176	ATPAF1
177	EFCAB14
178	TAL1
179	STIL
180	FAF1
181	CDKN2C
182	RNF11
183	EPS15
184	NRDC
185	TXNDC12
186	KTI12
187	CC2D1B
188	ORC1
189	TUT4
190	ZYG11B
191	CPT2
192	YIPF1
193	HSPB11
194	LRRC42
195	TMEM59
196	TCEANC2
197	DHCR24
198	MYSM1
199	JUN
200	NFIA
201	TM2D1
202	USP1
203	FOXD3-AS1
204	JAK1
205	LEPROT
206	LEPR
207	MIER1
208	SLC35D1
209	GADD45A
210	GNG12
211	DEPDC1
212	ANKRD13C
213	HHLA3
214	CTH
215	PTGER3
216	CRYZ
217	TYW3
218	RABGGTB
219	PIGK
220	USP33
221	MIGA1
222	NEXN
223	FUBP1
224	DNAJB4
225	AL359504.2
226	CTBS
227	SSX2IP
228	SYDE2
229	BCL10
230	ODF2L
231	CLCA1
232	SH3GLB1
233	LMO4
234	PKN2
235	GTF2B
236	LRRC8B
237	LRRC8C
238	LRRC8D
239	LINC02609
240	ZNF644
241	TGFBR3
242	RPAP2
243	EVI5
244	RPL5
245	CCDC18-AS1
246	DR1
247	FNBP1L
248	GCLM
249	ABCD3
250	RWDD3
251	PTBP2
252	FRRS1
253	SLC35A3
254	MFSD14A
255	TRMT13
256	DBT
257	EXTL2
258	SLC30A7
259	AC093157.1
260	RNPC3
261	FAM102B
262	STXBP3
263	GPSM2
264	TAF13
265	TMEM167B
266	SARS
267	PSRC1
268	SORT1
269	GNAI3
270	AMPD2
271	GSTM4
272	GSTM3
273	RBM15
274	SLC16A4
275	AL355488.1
276	CD53
277	LRIF1
278	DRAM2
279	CEPT1
280	DENND2D
281	CHI3L2
282	RAP1A
283	ST7L
284	RHOC
285	SLC16A1
286	SLC16A1-AS1
287	LRIG2
288	MAGI3
289	PHTF1
290	RSBN1
291	PTPN22
292	HIPK1
293	CD58
294	MAN1A2
295	GDAP2
296	PHGDH
297	SEC22B
298	LINC00623
299	SRGAP2C
300	LINC02802
301	POLR3C
302	PEX11B
303	LIX1L
304	POLR3GL
305	TXNIP
306	PRKAB2
307	LINC01138
308	PDE4DIP
309	AC245297.3
310	HIST2H2AA4
311	HIST2H2AC
312	SF3B4
313	OTUD7B
314	PLEKHO1
315	ANP32E
316	PRPF3
317	RPRD2
318	ADAMTSL4
319	MCL1
320	GOLPH3L
321	CTSS
322	ARNT
323	SETDB1
324	C1orf56
325	CDC42SE1
326	MLLT11
327	SCNM1
328	PIP5K1A
329	RFX5
330	POGZ
331	SNX27
332	S100A10
333	S100A11
334	S100A4
335	S100A13
336	CHTOP
337	GATAD2B
338	CRTC2
339	RPS27
340	HAX1
341	AQP10
342	UBE2Q1
343	ADAR
344	PMVK
345	PYGO2
346	SHC1
347	CKS1B
348	ZBTB7B
349	ADAM15
350	DPM3
351	KRTCAP2
352	FDPS
353	ASH1L
354	ASH1L-AS1
355	GON4L
356	RIT1
357	KHDC4
358	ARHGEF2
359	SSR2
360	LAMTOR2
361	LMNA
362	GLMP
363	GPATCH4
364	NES
365	RRNAD1
366	HDGF
367	NTRK1
368	ETV3
369	LINC02772
370	DUSP23
371	TAGLN2
372	PIGM
373	PEA15
374	DCAF8
375	PEX19
376	COPA
377	NCSTN
378	VANGL2
379	F11R
380	USF1
381	PFDN2
382	DEDD
383	PPOX
384	FCER1G
385	FCGR2A
386	ATF6
387	UHMK1
388	HSD17B7
389	NUF2
390	MGST3
391	ALDH9A1
392	TMCO1
393	POGK
394	POU2F1
395	CREG1
396	RCSD1
397	MPZL1
398	MPC2
399	DCAF6
400	SFT2D2
401	TBX19
402	BLZF1
403	SCYL3
404	KIFAP3
405	VAMP4
406	SUCO
407	KLHL20
408	CENPL
409	GAS5
410	ZBTB37
411	RC3H1
412	RABGAP1L
413	CACYBP
414	COP1
415	RALGPS2
416	FAM20B
417	TOR3A
418	ABL2
419	SOAT1
420	TOR1AIP2
421	TOR1AIP1
422	CEP350
423	XPR1
424	STX6
425	MR1
426	IER5
427	GLUL
428	RGS16
429	NPL
430	SMG7
431	ARPC5
432	COLGALT2
433	TSEN15
434	EDEM3
435	TRMT1L
436	TPR
437	ODR4
438	ERVMER61-1
439	RO60
440	ASPM
441	ZBTB41
442	DENND1B
443	NEK7
444	KIF14
445	DDX59
446	CAMSAP2
447	TMEM9
448	NAV1
449	IPO9
450	TIMM17A
451	ARL8A
452	PTPN7
453	UBE2T
454	PPP1R12B
455	KDM5B
456	CYB5R1
457	BTG2
458	PPP1R15B
459	MDM4
460	RBBP5
461	DSTYK
462	ELK4
463	NUCKS1
464	RAB29
465	SRGAP2
466	RASSF5
467	DYRK3
468	MAPKAPK2
469	YOD1
470	CD55
471	CR1L
472	CD46
473	UTP25
474	RCOR3
475	TRAF5
476	LINC00467
477	SLC30A1
478	NEK2
479	LPGAT1
480	DTL
481	PPP2R5A
482	NENF
483	NSL1
484	TATDN3
485	FLVCR1-DT
486	FLVCR1
487	RPS6KC1
488	CENPF
489	GPATCH2
490	RRP15
491	LYPLAL1
492	EPRS
493	IARS2
494	RAB3GAP2
495	DUSP10
496	MIA3
497	AIDA
498	BROX
499	CAPN2
500	TP53BP2
501	FBXO28
502	DEGS1
503	WDR26
504	LBR
505	EPHX1
506	TMEM63A
507	PYCR2
508	SDE2
509	ACBD3
510	CDC42BPA
511	ZNF678
512	SNAP47
513	C1orf35
514	IBA57
515	OBSCN
516	TRIM11
517	HIST3H2A
518	RNF187
519	AL162595.1
520	ABCB10
521	GALNT2
522	COG2
523	ARV1
524	FAM89A
525	EXOC8
526	SPRTN
527	EGLN1
528	AL445524.1
529	TARBP1
530	IRF2BP2
531	ARID4B
532	TBCE
533	TBCE-1
534	B3GALNT2
535	LGALS8
536	OPN3
537	CHML
538	EXO1
539	CEP170
540	SDCCAG8
541	DESI2
542	SMYD3
543	CNST
544	AHCTF1
545	ZNF669
546	ZNF124
547	AL390728.6
548	SH3BP5L
549	PGBD2
550	TMEM18
551	TRAPPC12
552	ADI1
553	AC108488.1
554	CMPK2
555	RNF144A-AS1
556	RNF144A
557	KIDINS220
558	ADAM17
559	KLF11
560	RRM2
561	HPCAL1
562	ODC1
563	PDIA6
564	SLC66A3
565	LPIN1
566	TRIB2
567	NBAS
568	TTC32
569	LAPTM4A
570	RHOB
571	ATAD2B
572	TP53I3
573	ITSN2
574	NCOA1
575	DNMT3A
576	ASXL2
577	CENPA
578	OST4
579	ATRAID
580	MPV17
581	EIF2B4
582	PPM1G
583	NRBP1
584	ZNF512
585	SUPT7L
586	SLC4A1AP
587	WDR43
588	YPEL5
589	LBH
590	LCLAT1
591	MEMO1
592	SPAST
593	YIPF4
594	BIRC6
595	LTBP1
596	CRIM1
597	FEZ2
598	STRN
599	HEATR5B
600	GPATCH11
601	EIF2AK2
602	CEBPZOS
603	GALM
604	SRSF7
605	SOS1
606	MAP4K3
607	MAP4K3-DT
608	THUMPD2
609	EML4
610	COX7A2L
611	ZFP36L2
612	DYNC2LI1
613	LRPPRC
614	PREPL
615	EPAS1
616	RHOQ
617	CRIPT
618	SOCS5
619	MCFD2
620	CALM2
621	EPCAM
622	MSH2
623	MSH6
624	FBXO11
625	FOXN2
626	PPP1R21
627	ERLEC1
628	PSME4
629	ACYP2
630	SPTBN1
631	RTN4
632	CLHC1
633	MTIF2
634	CCDC88A
635	FANCL
636	PAPOLG
637	REL
638	PUS10
639	PEX13
640	KIAA1841
641	USP34
642	FAM161A
643	COMMD1
644	UGP2
645	VPS54
646	LGALSL
647	AFTPH
648	SERTAD2
649	CEP68
650	ACTR2
651	SPRED2
652	ETAA1
653	GFPT1
654	NFU1
655	AAK1
656	ANXA4
657	MXD1
658	PCBP1-AS1
659	TIA1
660	PCYOX1
661	NAGK
662	MPHOSPH10
663	ZNF638
664	SFXN5
665	DUSP11
666	STAMBP
667	DGUOK
668	TET3
669	BOLA3
670	MOB1A
671	MTHFD2
672	WDR54
673	WBP1
674	CCDC142
675	AUP1
676	POLE4
677	TMSB10
678	TGOLN2
679	RETSAT
680	ELMOD3
681	CAPG
682	MAT2A
683	VAMP8
684	RNF181
685	C2orf68
686	KDM3A
687	CYTOR
688	KRCC1
689	ZNF514
690	LINC00342
691	ANKRD36C
692	TMEM127
693	ARID5A
694	FAM178B
695	ANKRD36
696	ACTR1B
