position_0based	gene
0	UBC
1	PSMB6
2	PSMD14
3	PSMD7
4	SEM1
5	RBX1
6	UFD1
7	SLC3A2
8	JUN
9	EGR1
10	JUND
11	PPP1R15A
12	BBC3
13	JUNB
14	SQSTM1
15	TXNIP
16	RANBP1
17	CEBPB
18	SESN2
19	TRIB3
20	PIK3R1
21	PIK3CA
22	PIK3CB
23	SOS1
24	SHC1
25	YES1
26	TFRC
27	PAK2
28	LBR
29	PRKAR2B
30	LMNB1
31	CLTC
32	TMPO
33	HSP90B1
34	STIP1
35	HSPA8
36	CCNB1
37	KIF14
38	ECT2
39	KPNA2
40	EP300
41	TNRC6B
42	DDIT3
43	BTG2
44	CREM
45	BHLHE40
46	HSPD1
47	NCL
48	NPM1
49	PRKDC
50	HSP90AB1
51	RPS26
52	BTG1
53	TUBA1B
54	HMGB1
55	HSP90AA1
56	CYCS
57	PRDX1
58	FKBP4
59	HSPH1
60	CALM1
61	GP1BB
62	ATP5F1D
63	GAPDH
64	ATP5MC1
65	PRMT1
66	SLC39A3
67	TUBA1C
68	TUBB4B
69	CDK1
70	MT-ATP6
71	CALM2
72	AURKB
73	HMMR
74	SMC1A
75	VIM
76	TPM4
77	ACTB
78	ACTG1
79	SLC20A1
80	POLR2L
81	POLR2K
82	POLR2A
83	POLR2J
84	RPL3
85	RPS6
86	RPS3
87	RPS4X
88	RPL7A
89	RPS18
90	RPL10A
91	RPS9
92	RPL13A
93	RPL5
94	RPL17
95	RPS14
96	RPS23
97	RPL7
98	RPL26
99	RPL12
100	PRKACA
101	PRKAR2A
102	TKT
103	APOE
104	APOC1
105	HBG2
106	HBG1
107	MYL4
108	MT-ND1
109	MT-CO2
110	MT-ND2
111	MT-ND6
112	MT-ND5
113	TUBB
114	TPX2
115	CENPF
116	PLK1
117	AURKA
118	KIF2C
119	CENPE
120	NFKB1
121	RELA
122	NFKBIA
123	IKBKB
124	TRAF6
125	BTRC
126	TAB2
127	TAB3
128	FBXW11
129	CASP8
130	MAP3K8
131	NKIRAS1
132	NKIRAS2
133	MEF2A
134	MAPKAPK2
135	DUSP3
136	MAPK8
137	N4BP1
138	MAP2K1
139	MEF2C
140	CREB1
141	ATF2
142	ATF1
143	MAP3K1
144	ELK1
145	NFE2L2
146	MAP2K7
147	AREG
148	VGF
149	SGK1
150	RHOB
151	FCGR2A
152	TUBB2A
153	RALA
154	CD55
155	DYNLL1
156	SLC38A2
157	ADAM17
158	BACH1
159	RHOC
160	CTNNB1
161	SFPQ
162	DDX3X
163	HNRNPA3
164	SF3B1
165	CANX
166	KDM1A
