gene,old_index,new_index
UBC,3214,0
PSMB6,3891,1
PSMD14,754,2
PSMD7,3839,3
SEM1,2034,4
RBX1,4800,5
UFD1,4727,6
SLC3A2,2803,7
JUN,199,8
EGR1,1525,9
JUND,4348,10
PPP1R15A,4463,11
BBC3,4452,12
JUNB,4316,13
SQSTM1,1599,14
TXNIP,305,15
RANBP1,4735,16
CEBPB,4621,17
SESN2,92,18
TRIB3,4532,19
PIK3R1,1432,20
PIK3CA,1130,21
PIK3CB,1083,22
SOS1,605,23
SHC1,346,24
YES1,4150,25
TFRC,1161,26
PAK2,1168,27
LBR,504,28
PRKAR2B,2075,29
LMNB1,1498,30
CLTC,4064,31
TMPO,3138,32
HSP90B1,3146,33
STIP1,2805,34
HSPA8,2942,35
CCNB1,1433,36
KIF14,444,37
ECT2,1127,38
KPNA2,4085,39
EP300,4801,40
TNRC6B,4798,41
DDIT3,3089,42
BTG2,457,43
CREM,2547,44
BHLHE40,878,45
HSPD1,802,46
NCL,857,47
NPM1,1573,48
PRKDC,2214,49
HSP90AB1,1771,50
RPS26,3073,51
BTG1,3124,52
TUBA1B,3033,53
HMGB1,3247,54
HSP90AA1,3494,55
CYCS,1949,56
PRDX1,169,57
FKBP4,2957,58
HSPH1,3249,59
CALM1,3477,60
GP1BB,4729,61
ATP5F1D,4224,62
GAPDH,2966,63
ATP5MC1,4041,64
PRMT1,4472,65
SLC39A3,4241,66
TUBA1C,3035,67
TUBB4B,2498,68
CDK1,2561,69
MT-ATP6,4990,70
CALM2,620,71
AURKB,3912,72
HMMR,1567,73
SMC1A,4875,74
VIM,2524,75
TPM4,4336,76
ACTB,1928,77
ACTG1,4126,78
SLC20A1,715,79
POLR2L,2676,80
POLR2K,2267,81
POLR2A,3904,82
POLR2J,2064,83
RPL3,4795,84
RPS6,2327,85
RPS3,2875,86
RPS4X,4894,87
RPL7A,2479,88
RPS18,1728,89
RPL10A,1738,90
RPS9,4502,91
RPL13A,4469,92
RPL5,244,93
RPL17,4194,94
RPS14,1549,95
RPS23,1459,96
RPL7,2236,97
RPL26,3913,98
RPL12,2445,99
PRKACA,4328,100
PRKAR2A,970,101
TKT,1001,102
APOE,4430,103
APOC1,4431,104
HBG2,2694,105
HBG1,2693,106
MYL4,4029,107
MT-ND1,4986,108
MT-CO2,4988,109
MT-ND2,4987,110
MT-ND6,4994,111
MT-ND5,4993,112
TUBB,1695,113
TPX2,4568,114
CENPF,488,115
PLK1,3758,116
AURKA,4629,117
KIF2C,165,118
CENPE,1292,119
NFKB1,1288,120
RELA,2830,121
NFKBIA,3390,122
IKBKB,2209,123
TRAF6,2744,124
BTRC,2622,125
TAB2,1884,126
TAB3,4846,127
FBXW11,1574,128
CASP8,815,129
