figure	panel	panel_type	experiment_id	claim_or_role	source_data	training_code	evaluation_code	plot_code	canonical_panel	status
Fig1	a	schematic	XCL-MAIN	Cross-cell task and information flow	NA	scripts/training/cross_cell_line/train_drdd_lite.py	scripts/inference/cross_cell_line/generate_and_evaluate.py	scripts/Fig1/export_figure1_subpanels.py	panels/Fig1/standalone/figure1a_standalone.svg	schematic_asset_verified
Fig1	b	schematic	K562-AE-PATHWAY;XCL-AE-PATHWAY	Frozen pathway-aware latent tokenizer	NA	scripts/training/k562_only/train_patchae.py;scripts/training/cross_cell_line/train_patchae.py	NA	scripts/Fig1/export_figure1_subpanels.py	panels/Fig1/standalone/figure1b_standalone.svg	schematic_asset_verified
Fig1	c	schematic	K562-MAIN;XCL-MAIN	Multi-source biological-prior encoder	NA	scripts/training/k562_only/train_drdd_lite.py;scripts/training/cross_cell_line/train_drdd_lite.py	NA	scripts/Fig1/export_figure1_subpanels.py	panels/Fig1/standalone/figure1c_standalone.svg	schematic_asset_verified
Fig1	d	schematic	K562-MAIN;XCL-MAIN	Control-anchored latent displacement diffusion	NA	scripts/training/k562_only/train_drdd_lite.py;scripts/training/cross_cell_line/train_drdd_lite.py	scripts/inference/k562_only/generate_and_evaluate.py;scripts/inference/cross_cell_line/generate_and_evaluate.py	scripts/Fig1/export_figure1_subpanels.py	panels/Fig1/standalone/figure1d_standalone.svg	schematic_asset_verified
Fig2	a	metric_schematic	K562-MAIN;XCL-MAIN	Expression range coverage definition	source_data/Fig2/pra_schematic_intervals.csv	NA	scripts/evaluation/shared/erc_metrics.py	scripts/Fig2/make_figure2_vector_no_text.py	panels/Fig2/panel_a_erc/figure2a_erc_labeled.svg	reproducible
Fig2	b	metric_schematic	K562-MAIN;XCL-MAIN	Correlation structure agreement definition	source_data/Fig2/pra_control_mean_range_schematic_cells.csv	NA	scripts/evaluation/shared/csa_metrics.py	scripts/Fig2/make_figure2_vector_no_text.py	panels/Fig2/panel_b_csa/figure2b_csa_labeled.svg	reproducible
Fig2	c	diagnostic	K562-AE-PATHWAY;XCL-AE-PATHWAY	Processed-expression marginal distributions	source_data/Fig2/patchae_dist_k5625000_val.npz;source_data/Fig2/patchae_dist_xcell3352_val.npz	scripts/training/k562_only/train_patchae.py;scripts/training/cross_cell_line/train_patchae.py	NA	scripts/Fig2/make_figure2_vector_no_text.py	panels/Fig2/panel_c_expression_distribution/figure2c_expression_distribution_labeled.svg	reproducible
Fig2	d	diagnostic	K562-AE-PATHWAY;XCL-AE-PATHWAY	Clean latent marginal distributions	source_data/Fig2/patchae_dist_k5625000_val.npz;source_data/Fig2/patchae_dist_xcell3352_val.npz	scripts/training/k562_only/train_patchae.py;scripts/training/cross_cell_line/train_patchae.py	NA	scripts/Fig2/make_figure2_vector_no_text.py	panels/Fig2/panel_d_latent_distribution/figure2d_latent_distribution_labeled.svg	reproducible
Fig2	e	diagnostic	XCL-AE-PATHWAY	PatchAE versus global-VAE shared-reference UMAP	source_data/Fig2/patchae_vs_globalvae_shared_umap.csv	scripts/training/cross_cell_line/train_patchae.py	NA	scripts/Fig2/make_patchae_vae_umap_20260721.py	panels/Fig2/panel_e_umap/figure2_patchae_vae_shared_umap.svg	reproducible_from_saved_coordinates
Fig3	a	benchmark	K562-MAIN;K562-BL-TXPERT;K562-BL-CELLFLOW;K562-BL-SCOUTER;K562-BL-GEARS	Per-condition Delta PCC	source_data/Fig3/k562_internal_heldout_per_condition_oldstyle.csv	scripts/training/k562_only/train_drdd_lite.py	scripts/evaluation/shared/native_metrics.py	scripts/Fig3/make_figure3_180mm_publication.py	panels/Fig3/panels_a_g_k562_benchmark/figure3a_delta_pcc.svg	reproducible
Fig3	b	benchmark	K562-MAIN;K562-BL-TXPERT;K562-BL-CELLFLOW;K562-BL-SCOUTER;K562-BL-GEARS	Per-condition top-k DE recovery	source_data/Fig3/k562_internal_heldout_per_condition_oldstyle.csv	scripts/training/k562_only/train_drdd_lite.py	scripts/evaluation/k562_only/top_de_metrics.py	scripts/Fig3/make_figure3_180mm_publication.py	panels/Fig3/panels_a_g_k562_benchmark/figure3b_topk_de.svg	reproducible
Fig3	c	benchmark	K562-MAIN;K562-BL-TXPERT;K562-BL-CELLFLOW;K562-BL-SCOUTER;K562-BL-GEARS	Per-condition ERC	source_data/Fig3/k562_internal_heldout_per_condition_oldstyle.csv	scripts/training/k562_only/train_drdd_lite.py	scripts/evaluation/shared/erc_metrics.py	scripts/Fig3/make_figure3_180mm_publication.py	panels/Fig3/panels_a_g_k562_benchmark/figure3c_pra_all.svg	reproducible
Fig3	d	benchmark	K562-MAIN;K562-BL-TXPERT;K562-BL-CELLFLOW;K562-BL-SCOUTER;K562-BL-GEARS	Per-condition CSA Pearson	source_data/Fig3/k562_internal_heldout_per_condition_oldstyle.csv	scripts/training/k562_only/train_drdd_lite.py	scripts/evaluation/shared/csa_metrics.py	scripts/Fig3/make_figure3_180mm_publication.py	panels/Fig3/panels_a_g_k562_benchmark/figure3d_csa_pearson.svg	reproducible
Fig3	e	benchmark	K562-MAIN;K562-BL-TXPERT;K562-BL-CELLFLOW;K562-BL-SCOUTER;K562-BL-GEARS	GGE Wasserstein	source_data/Fig3/k562_internal_heldout_comparison_metrics.csv	scripts/training/k562_only/train_drdd_lite.py	scripts/evaluation/shared/gge_metrics.py	scripts/Fig3/make_figure3_180mm_publication.py	panels/Fig3/panels_a_g_k562_benchmark/figure3e_gge_wasserstein.svg	reproducible
Fig3	f	benchmark	K562-MAIN;K562-BL-TXPERT;K562-BL-CELLFLOW;K562-BL-SCOUTER;K562-BL-GEARS	GGE MMD	source_data/Fig3/k562_internal_heldout_comparison_metrics.csv	scripts/training/k562_only/train_drdd_lite.py	scripts/evaluation/shared/gge_metrics.py	scripts/Fig3/make_figure3_180mm_publication.py	panels/Fig3/panels_a_g_k562_benchmark/figure3f_gge_mmd.svg	reproducible
Fig3	g	benchmark	K562-MAIN;K562-BL-TXPERT;K562-BL-CELLFLOW;K562-BL-SCOUTER;K562-BL-GEARS	GGE Energy	source_data/Fig3/k562_internal_heldout_comparison_metrics.csv	scripts/training/k562_only/train_drdd_lite.py	scripts/evaluation/shared/gge_metrics.py	scripts/Fig3/make_figure3_180mm_publication.py	panels/Fig3/panels_a_g_k562_benchmark/figure3g_gge_energy.svg	reproducible
Fig3	h	ablation	K562-ABL-ORDER;K562-ABL-GR;K562-ABL-GRE;K562-ABL-GRN	Gene-order and biological-prior ablations	source_data/Fig3/k562_current_ablation_seed_metrics.csv	scripts/training/k562_only/train_drdd_lite.py	scripts/inference/k562_only/generate_and_evaluate.py	scripts/Fig3/make_k562_ablation_bar_strip_20260716.py	panels/Fig3/panel_h_ablation/figure4h_k562_ablation_bar_strip_20260716.svg	reproducible
Fig4	a	benchmark	XCL-MAIN;XCL-BL-STATE;XCL-BL-TXPERT	Overall K562 mean-response metrics	source_data/Fig4/source_data_overall_mean_metrics.csv	scripts/training/cross_cell_line/train_drdd_lite.py	scripts/inference/cross_cell_line/generate_and_evaluate.py	scripts/Fig4/make_cross_cell_overall_mean_bar_20260720.py	panels/Fig4/panel_a_overall/figure4a_cross_cell_overall_mean_metrics.svg	reproducible
Fig4	b	coverage	XCL-DIAG-COVERAGE;XCL-BL-STATE;XCL-BL-TXPERT	Delta PCC by source-cell-line coverage	source_data/Fig4/source_data_panels_b_e.csv	NA	scripts/evaluation/shared/native_metrics.py	scripts/Fig4/make_cross_cell_remaining_panels_20260718.py	panels/Fig4/panels_b_e_coverage/figure4b_delta_pcc_by_source_coverage.svg	reproducible
Fig4	c	coverage	XCL-DIAG-COVERAGE;XCL-BL-STATE;XCL-BL-TXPERT	Top-100 DE recovery by source-cell-line coverage	source_data/Fig4/source_data_panels_b_e.csv	NA	scripts/evaluation/shared/native_metrics.py	scripts/Fig4/make_cross_cell_remaining_panels_20260718.py	panels/Fig4/panels_b_e_coverage/figure4c_top100_de_by_source_coverage.svg	reproducible
Fig4	d	coverage	XCL-DIAG-COVERAGE;XCL-BL-STATE;XCL-BL-TXPERT	ERC by source-cell-line coverage	source_data/Fig4/source_data_panels_b_e.csv	NA	scripts/evaluation/shared/erc_metrics.py	scripts/Fig4/make_cross_cell_remaining_panels_20260718.py	panels/Fig4/panels_b_e_coverage/figure4d_erc_by_source_coverage.svg	reproducible
