table_label	table_role	source_data	generation_or_evaluation_code	aggregation_code	status
tab:patchae-recon	PatchAE reconstruction quality	source_data/Fig2/patchae_reconstruction_metrics.csv	scripts/Tables/evaluate_patchae_vae_reconstruction.py	NA	reproducible_from_saved_metrics
tab:k562-internal-unseen	K562 three-seed held-out metrics	source_data/Fig3/k562_internal_heldout_seed_metrics.csv	reproducibility/evaluate_custom_predictions.py	NA	reproducible_from_saved_metrics
tab:k562-gene-order-ablation	Pathway-aware versus original gene order	source_data/Fig3/k562_current_ablation_seed_metrics.csv	reproducibility/evaluate_custom_predictions.py	NA	reproducible_from_saved_metrics
tab:k562-model-comparison	K562 mean-response model comparison	source_data/Tables/k562_external_comparison_fixed2000_20260721/k562_fixed2000_complete_metrics.csv	reproducibility/evaluate_custom_predictions.py	NA	reproducible_from_saved_metrics
tab:k562-cell-cloud-comparison	K562 ERC and CSA model comparison	source_data/Tables/k562_external_comparison_fixed2000_20260721/k562_fixed2000_complete_metrics.csv	reproducibility/evaluate_custom_predictions.py	NA	reproducible_from_saved_metrics
tab:k562-gge-comparison	K562 GGE-PCA50 model comparison	source_data/Tables/k562_external_comparison_fixed2000_20260721/k562_fixed2000_complete_metrics.csv	scripts/Tables/gge_metrics.py	NA	reproducible_from_saved_metrics_external_gge_dependency
tab:k562-prior-ablation	K562 biological-prior ablation	source_data/Fig3/k562_current_ablation_three_seed_summary.csv	reproducibility/evaluate_custom_predictions.py	NA	reproducible_from_saved_metrics
tab:k562-prior-paired-gains	Condition-paired prior gains	source_data/Tables/analysis_prior_coverage_20260714/per_condition_three_seed_mean_gains.csv	reproducibility/evaluate_custom_predictions.py	scripts/Tables/summarize_prior_paired_gains.py	reproducible_from_saved_condition_metrics
tab:k562-prior-coverage	Public-prior coverage of 272 held-out genes	source_data/Tables/analysis_prior_coverage_20260714/analysis_metadata.json	NA	NA	reproducible_from_saved_annotation_audit
tab:known55	Known-condition checkpoint and context comparison	source_data/Tables/known55_checkpoint_context_metrics.csv	scripts/Tables/exact_historical/eval_txpert_scplad_match_counts_corr.py;scripts/Tables/exact_historical/eval_txpert_scplad_source_cellline_known_fixed_corr.py	NA	reproducible_with_archived_predictions
tab:xcell-overall-three-seed	Cross-cell-line three-seed overall metrics	source_data/Fig4/three_seed_overall_metrics.csv	reproducibility/evaluate_custom_predictions.py	NA	reproducible_from_saved_metrics
tab:xcell-source-coverage	Cross-cell-line metrics by source coverage	source_data/Fig4/per_seed_by_source_coverage.csv	reproducibility/evaluate_custom_predictions.py	NA	reproducible_from_saved_metrics
tab:xcell-source-unseen-baseline	Coverage-0 global source-average baseline	source_data/Tables/condition_balanced_source_global_baseline_20260811/summary_mean_only.csv	scripts/Tables/eval_condition_balanced_source_global_baseline.py	NA	reproducible_with_prepared_data
tab:xcell-interaction-context	Prior-interaction background ablation	source_data/Fig4/context_background_ablation_20260729/four_metrics_fixed2000_per_seed.csv	reproducibility/evaluate_custom_predictions.py	scripts/Fig4/make_interaction_context_ablation_fig4f_20260729.py	reproducible_from_saved_metrics
