interaction_context,seed,delta_pcc,top100_de_overlap,erc_true_top100_de,csa_pearson
K562,base,0.3435740802147781,0.3320553359683794,0.846442878753774,0.5191693427388523
K562,seed20260713,0.2770900601238871,0.2908300395256917,0.8031575888740363,0.5258814381783716
K562,seed20260714,0.3033375716943556,0.3087351778656126,0.7992064948323955,0.5228328065984018
RPE1,base,0.2800159949754842,0.2747233201581027,0.7431617511270314,0.4284184957274371
RPE1,seed20260713,0.2659707811678034,0.2681422924901186,0.7316945372503187,0.419122761646125
RPE1,seed20260714,0.2688263480155291,0.2713241106719367,0.7180586166511369,0.4213384747528403
HepG2,base,0.2775069501990331,0.2679051383399209,0.7364217698761588,0.4817014148887273
HepG2,seed20260713,0.2164588710353362,0.2584584980237154,0.6997699130952878,0.4648470691915922
HepG2,seed20260714,0.2553154005253037,0.2431422924901185,0.6790444207435151,0.4680613187263542
Jurkat,base,0.3300488654527153,0.3248221343873518,0.8394073724218528,0.5054126716846888
Jurkat,seed20260713,0.2604506265700763,0.2886561264822134,0.7947557927670782,0.5146994794550814
Jurkat,seed20260714,0.2959724857179621,0.306897233201581,0.796089059077018,0.5124285747617703
