variant,seed,mean_pcc,mean_spearman,delta_pcc,delta_spearman,mse,mae,topk_de_overlap,auprc,pra_all_genes,pra_top100_true_de,csa_pearson,csa_spearman,gge_wasserstein_pca50,gge_mmd_pca50,gge_energy_pca50,extended_valid,native_data_dir,native_source,pra_source,csa_source,gge_source,remote_dir
Pathway order + full prior,20260613,0.9931071038926887,0.9625405797156921,0.46479609072467953,0.3516558634891806,0.0018438562374820536,0.02490378712194369,0.40827205882352946,0.3846296194846904,0.8228055655685181,0.7873031980154284,0.6415479299447203,0.5929533052021965,0.8375722851509787,0.21343086945235967,0.2833983102030966,True,external/legacy-workspace/datasets/otherdata/txpert/txpert_k562_pathway5000_module,outputs/scPLAD_generated/prior_feature_cond_seed20260613_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/extended_metrics/native_extended_metrics/summary_metrics.json,outputs/scPLAD_generated/prior_feature_cond_seed20260613_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/extended_metrics/pra_q10_q90_metrics/summary_pra.json,outputs/scPLAD_generated/prior_feature_cond_seed20260613_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/csa_top100_true_de/summary_csa.json,outputs/scPLAD_generated/prior_feature_cond_seed20260613_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/gge_pca50_three/aggregate_gge_metrics.json,outputs/scPLAD_generated/prior_feature_cond_seed20260613_ema100k_full_fixed2000_saveh5ad_20260707
Pathway order + full prior,20260713,0.9928497723703174,0.9616669254274609,0.4622801904652723,0.34604566330725545,0.0019156101663932478,0.025445541493622038,0.40441176470588236,0.38089242190084316,0.822823552030211,0.7901361954290022,0.6394636344408888,0.5902972326514191,0.8365290138568435,0.21222270139830016,0.28261438833284713,True,external/legacy-workspace/datasets/otherdata/txpert/txpert_k562_pathway5000_module,outputs/scPLAD_generated/prior_feature_cond_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/extended_metrics/native_extended_metrics/summary_metrics.json,outputs/scPLAD_generated/prior_feature_cond_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/extended_metrics/pra_q10_q90_metrics/summary_pra.json,outputs/scPLAD_generated/prior_feature_cond_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/csa_top100_true_de/summary_csa.json,outputs/scPLAD_generated/prior_feature_cond_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/gge_pca50_three/aggregate_gge_metrics.json,outputs/scPLAD_generated/prior_feature_cond_ema100k_full_fixed2000_saveh5ad_20260707
Pathway order + full prior,20260813,0.9929436714621078,0.9620144805425156,0.45686885970414276,0.3427779689148805,0.0018721662230853004,0.025015106479472974,0.40408088235294115,0.378832974386839,0.8251260291888582,0.7851905202421239,0.6391657071509407,0.5897942998569217,0.8377595938492183,0.21339070419818795,0.28364168823435515,True,external/legacy-workspace/datasets/otherdata/txpert/txpert_k562_pathway5000_module,outputs/scPLAD_generated/prior_feature_cond_seed20260813_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/extended_metrics/native_extended_metrics/summary_metrics.json,outputs/scPLAD_generated/prior_feature_cond_seed20260813_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/extended_metrics/pra_q10_q90_metrics/summary_pra.json,outputs/scPLAD_generated/prior_feature_cond_seed20260813_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/csa_top100_true_de/summary_csa.json,outputs/scPLAD_generated/prior_feature_cond_seed20260813_ema100k_full_fixed2000_saveh5ad_20260707/eval_from_saved_predictions/gge_pca50_three/aggregate_gge_metrics.json,outputs/scPLAD_generated/prior_feature_cond_seed20260813_ema100k_full_fixed2000_saveh5ad_20260707
Original order + full prior,20260613,0.9928889199709261,0.9611984218039207,0.46184510685669955,0.3398611545198032,0.0019287825466830434,0.025722357653327945,0.3992647058823529,0.37339075928657517,0.8001516517383118,0.7551601064284715,0.628840953779978,0.5829972617871403,0.8446420682482926,0.21857356677687095,0.2896702546814699,True,external/legacy-workspace/datasets/otherdata/txpert/txpert_k562_original5000_module,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710/original5000_bioprior_seed20260613_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/native_extended_metrics/summary_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710/original5000_bioprior_seed20260613_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/pra_q10_q90_metrics/summary_pra.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710/original5000_bioprior_seed20260613_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/csa_top100_true_de_metrics/summary_csa.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710/original5000_bioprior_seed20260613_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/gge_pca50_three_sharded_merged/aggregate_gge_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710/original5000_bioprior_seed20260613_ema100k_fixed2000_saveh5ad
Original order + full prior,20260713,0.9929126336985239,0.9613349120938476,0.4736828983202135,0.3503256387564446,0.0019045007439297693,0.025454136710750926,0.4095220588235294,0.3863698965857916,0.807931496439046,0.7615302309344346,0.6306031275601368,0.5834815629204232,0.8425626581320008,0.21657391419484112,0.28722624496565485,True,external/legacy-workspace/datasets/otherdata/txpert/txpert_k562_original5000_module,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708/original5000_bioprior_seed20260713_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/native_extended_metrics/summary_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708/original5000_bioprior_seed20260713_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/pra_q10_q90_metrics/summary_pra.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708/original5000_bioprior_seed20260713_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/csa_top100_true_de_metrics/summary_csa.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708/original5000_bioprior_seed20260713_ema100k_fixed2000_saveh5ad/eval_from_saved_predictions/gge_pca50_three_sharded_merged/aggregate_gge_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708/original5000_bioprior_seed20260713_ema100k_fixed2000_saveh5ad
Original order + full prior,20260813,0.9928804244147706,0.9609378829436949,0.46243576906163597,0.33964482807939994,0.001913437378628741,0.025619559150928742,0.39830882352941177,0.3749869117559627,0.8073199876884123,0.7646013211792168,0.6284683355513649,0.5817004439292911,0.8409733010061198,0.21554662026298205,0.2859945110896018,True,external/legacy-workspace/datasets/otherdata/txpert/txpert_k562_original5000_module,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260709/original5000_bioprior_seed20260813_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/native_extended_metrics/summary_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260709/original5000_bioprior_seed20260813_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/pra_q10_q90_metrics/summary_pra.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260709/original5000_bioprior_seed20260813_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/csa_top100_true_de_metrics/summary_csa.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260709/original5000_bioprior_seed20260813_ema100k_fixed2000_saveh5ad/corrected_original_order_metrics_20260715/gge_pca50_three_sharded_merged/aggregate_gge_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260709/original5000_bioprior_seed20260813_ema100k_fixed2000_saveh5ad
GO + Reactome,20260613,0.9924205955516477,0.9608561549975388,0.46052974059082985,0.34019882230536924,0.002030823535332114,0.026027633452459294,0.400625,0.3761690271163494,0.8107130085249024,0.7758002799417243,0.6337432226437942,0.5862460181603877,0.8426209202991226,0.2166661356692753,0.28808681055216245,True,external/legacy-workspace/datasets/otherdata/txpert/txpert_k562_pathway5000_module,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710/pathway5000_pathwayonly_seed20260613_ema100k_fixed2000_saveh5ad/native_extended_metrics/summary_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710/pathway5000_pathwayonly_seed20260613_ema100k_fixed2000_saveh5ad/pra_q10_q90_metrics/summary_pra.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710/pathway5000_pathwayonly_seed20260613_ema100k_fixed2000_saveh5ad/csa_top100_true_de_metrics/summary_csa.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710/pathway5000_pathwayonly_seed20260613_ema100k_fixed2000_saveh5ad/gge_pca50_three_metrics/aggregate_gge_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710/pathway5000_pathwayonly_seed20260613_ema100k_fixed2000_saveh5ad
GO + Reactome,20260713,0.9925014004892396,0.9607801123475526,0.4593982116459987,0.3395943672375519,0.002020372013944057,0.02610318748595412,0.39908088235294115,0.37493963294050603,0.8111912376043342,0.7770422256374573,0.6357486654157258,0.5876758083253657,0.8422996373415337,0.21628893426525556,0.2877420702427518,True,external/legacy-workspace/datasets/otherdata/txpert/txpert_k562_pathway5000_module,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708/pathway5000_pathwayonly_seed20260713_ema100k_fixed2000_saveh5ad/eval_from_saved_predictions/extended_metrics/native_extended_metrics/summary_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708/pathway5000_pathwayonly_seed20260713_ema100k_fixed2000_saveh5ad/eval_from_saved_predictions/extended_metrics/pra_q10_q90_metrics/summary_pra.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708/pathway5000_pathwayonly_seed20260713_ema100k_fixed2000_saveh5ad/eval_from_saved_predictions/csa_top100_true_de/summary_csa.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708/pathway5000_pathwayonly_seed20260713_ema100k_fixed2000_saveh5ad/eval_from_saved_predictions/gge_pca50_three_sharded_merged/aggregate_gge_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708/pathway5000_pathwayonly_seed20260713_ema100k_fixed2000_saveh5ad
GO + Reactome,20260813,0.9924463629621186,0.9608496918116358,0.46146650393260735,0.3406195621018092,0.001999625559512745,0.025838920723318178,0.40393382352941176,0.37878620954035647,0.8156991117253917,0.7777994859915845,0.6343787832678284,0.5863177907402077,0.8409065173160586,0.2155388354425906,0.2864751228914083,True,external/legacy-workspace/datasets/otherdata/txpert/txpert_k562_pathway5000_module,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260709/pathway5000_pathwayonly_seed20260813_ema100k_fixed2000_saveh5ad/native_extended_metrics/summary_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260709/pathway5000_pathwayonly_seed20260813_ema100k_fixed2000_saveh5ad/pra_q10_q90_metrics/summary_pra.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260709/pathway5000_pathwayonly_seed20260813_ema100k_fixed2000_saveh5ad/csa_top100_true_de_metrics/summary_csa.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260709/pathway5000_pathwayonly_seed20260813_ema100k_fixed2000_saveh5ad/gge_pca50_three_metrics/aggregate_gge_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260709/pathway5000_pathwayonly_seed20260813_ema100k_fixed2000_saveh5ad
GO + Reactome + ESM3,20260613,0.9926750781565185,0.9612997929688315,0.4671822952908183,0.3465890992083687,0.0019558906125680285,0.02563852773335598,0.3973161764705882,0.37509746742175154,0.8209815752372006,0.7874201230880381,0.6356376612435403,0.5859540507558397,0.8378337396105332,0.21299825076704718,0.2842930895382174,True,external/legacy-workspace/datasets/otherdata/txpert/txpert_k562_pathway5000_module,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260711/pathway5000_go_reactome_esm3_seed20260613_ema100k_fixed2000_saveh5ad/native_extended_metrics/summary_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260711/pathway5000_go_reactome_esm3_seed20260613_ema100k_fixed2000_saveh5ad/pra_q10_q90_metrics/summary_pra.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260711/pathway5000_go_reactome_esm3_seed20260613_ema100k_fixed2000_saveh5ad/csa_top100_true_de_metrics/summary_csa.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260711/pathway5000_go_reactome_esm3_seed20260613_ema100k_fixed2000_saveh5ad/gge_pca50_three_metrics/aggregate_gge_metrics.json,outputs/scPLAD_generated/ablation_fixed2000_saveh5ad_20260711/pathway5000_go_reactome_esm3_seed20260613_ema100k_fixed2000_saveh5ad
