anchor,metric,mean
HepG2,CSA,0.4752392509120312
HepG2,Delta PCC,0.17209010633681868
HepG2,PRA,0.5610631416966303
HepG2,Top-k DE,0.19864953886693015
Jurkat,CSA,0.5109644503621823
Jurkat,Delta PCC,0.13802624460376034
Jurkat,PRA,0.6982615762958938
Jurkat,Top-k DE,0.23073122529644266
K562,CSA,0.5226278625052085
K562,Delta PCC,0.3080005706776736
K562,PRA,0.8162689874867354
K562,Top-k DE,0.3105401844532279
RPE1,CSA,0.4295637768367724
RPE1,Delta PCC,0.1775116193060413
RPE1,PRA,0.5737330061100107
RPE1,Top-k DE,0.21521739130434778
