seed,source_context_count,n_conditions,k562_test_cells,mean_pcc_mean,mean_pcc_cell_weighted,mean_spearman_mean,mean_spearman_cell_weighted,delta_pcc_mean,delta_pcc_cell_weighted,delta_spearman_mean,delta_spearman_cell_weighted,topk_de_overlap_mean,topk_de_overlap_cell_weighted,auprc_mean,auprc_cell_weighted,wasserstein_mean,wasserstein_cell_weighted,energy_mean,energy_cell_weighted,kl_mean,kl_cell_weighted,pra_top100_mean,pra_top100_cell_weighted,csa_mean,csa_cell_weighted
seed20260601,0,506,70159,0.9888365794414926,0.9891144632556187,0.9513111166645017,0.9555611283234534,0.3435740802147781,0.372063978279537,0.24189066585686578,0.2703763191902449,0.33205533596837944,0.3445157428127539,0.2807824496571882,0.29543951232556276,0.306910074789335,0.2907403870973389,0.24703429281924227,0.22804871485194075,0.41806361997904007,0.36381925457515296,0.846442878753774,0.8463093657243871,0.5191693427388523,0.5558962441492025
seed20260713,0,506,70159,0.9908182721441977,0.9909548183992298,0.9561486537258101,0.9603488217974602,0.27709006012388715,0.3005037062625362,0.20333274078532215,0.227988087466117,0.29083003952569175,0.300192277541014,0.23726373141376722,0.24801628242247684,0.2910254664181115,0.2743991339119142,0.23666172434622362,0.21669705378516588,0.49778155183678946,0.43684288179367325,0.8031575888740363,0.8014729139432807,0.5258814381783716,0.5666359017517871
seed20260714,0,506,70159,0.989518895481948,0.9897271490772972,0.9553830810273356,0.959727270969099,0.3033375716943556,0.3312343880870831,0.22672359609855558,0.25407111355486217,0.30873517786561266,0.32036417280748014,0.2580067905573629,0.27159268401969494,0.295738034935646,0.27955420982212315,0.23738327092884934,0.21803639776924616,0.5181941759721778,0.4566930352923842,0.7992064948323955,0.7984993152978145,0.5228328065984018,0.5616544372349669
seed20260601,1,75,9853,0.9889690185865487,0.9901194909378888,0.9490113765508326,0.9549843169657461,0.40432174533941095,0.42631370604267177,0.2728402709473563,0.2999538887415591,0.35559999999999997,0.3742230792651984,0.3024999388049033,0.31547262275249077,0.29646113148711645,0.27967485029779715,0.2372213611891218,0.22010912050744402,0.4456204260456685,0.3584977198479259,0.8515550079384457,0.8644742370235012,0.5479360133414101,0.586101505453664
seed20260713,1,75,9853,0.9911791296463964,0.9925489640556567,0.9546356487690661,0.9618825087728459,0.3468877895250405,0.3659768368496318,0.23293451194774434,0.25856873665858165,0.3214666666666667,0.3341987212016645,0.27072423138447793,0.27968593246240736,0.28549075220098813,0.2628870274609163,0.2322901804424681,0.21000753254418963,0.5291092620851047,0.43227878939941977,0.8069035535313838,0.8189538619515841,0.5553867752010553,0.5973622501831216
seed20260714,1,75,9853,0.9899731247655342,0.9915118888146455,0.9543108616621345,0.9616984093759143,0.36177911286214004,0.3880292747198773,0.25688723576279643,0.2848812881916713,0.33799999999999997,0.35000608951588347,0.2908009968628114,0.3039430512009759,0.2874463192273534,0.2621005300384126,0.22973565631175324,0.2061190126074729,0.5532376511780192,0.4454798310132539,0.8059194594554925,0.8190048409729587,0.5489929950572535,0.5876764193332823
seed20260601,2,162,21450,0.989709117992073,0.9894645727697393,0.9492272421888882,0.9518009187398687,0.47046311453051276,0.500706082895091,0.3187645579787828,0.34918462501848646,0.37580246913580245,0.39347365967365966,0.33603112752295655,0.3583511288377069,0.2935139224531606,0.28459537890846437,0.2399937160689525,0.2255500503324513,0.40698204337263977,0.3542227672274741,0.867292994619918,0.8676726923801494,0.5404258948529491,0.589307133747496
seed20260713,2,162,21450,0.9919311279458999,0.9920174471967327,0.9557978735283551,0.9598928736449389,0.41646704108547733,0.4431727799536472,0.2827964736463154,0.3105502168700358,0.341358024691358,0.3574153846153846,0.2929380398525011,0.311354078964169,0.2766276167451927,0.2639962444585458,0.22965219689817012,0.2124871458544813,0.486819480141129,0.4243803957719529,0.8284794961265621,0.8274312758753264,0.550228956504012,0.6013945419507306
seed20260714,2,162,21450,0.9906917371930313,0.9908107748381995,0.9552024271969339,0.9590404147935244,0.4320154119539608,0.4654983797170258,0.30240945355855553,0.3344223522091566,0.3554938271604938,0.37547972027972026,0.3106119908510562,0.33619086551961547,0.2852968122757752,0.2727068882210805,0.23309056847677795,0.21620439953840453,0.5207321693483052,0.45397743874286495,0.8230941603738778,0.8242039987251103,0.546666381117513,0.5987080498287314
seed20260601,3,343,48850,0.9885091969689298,0.9883993323885591,0.9477034765088489,0.951177185991238,0.4854261757923189,0.5051234973953451,0.33547666290425754,0.36056446832430766,0.38728862973760936,0.39523111566018426,0.3505173733953251,0.35945721146959503,0.30491734839749063,0.29052690642994566,0.2473496365143119,0.2284225879681753,0.3952069846060279,0.3393812205659386,0.8714742520298807,0.8700378621974945,0.5389835133694667,0.5812441437085658
seed20260713,3,343,48850,0.9911265108141663,0.991158912159851,0.9549325654154494,0.958706539822028,0.4524304269956548,0.4751654363713431,0.3180629507797953,0.34443843280833436,0.36615160349854226,0.3785785056294779,0.31944248189536817,0.3343225056508043,0.2811909716805892,0.26469599690604584,0.23201435097318504,0.21143943893851153,0.4525517057539947,0.3915868589531317,0.837442264702092,0.8376736360920036,0.5513509516825833,0.5961090300603953
seed20260714,3,343,48850,0.989588069896625,0.9894910515482793,0.9535173999510765,0.9571685102399841,0.4536807805938804,0.47602316033872627,0.32253367030951874,0.34931990383518385,0.3668804664723032,0.37790092118730806,0.3232515936310277,0.3370765191830848,0.2879593428702229,0.2716807890107063,0.23322500905811785,0.21282693292061572,0.4726066559403538,0.4073801062539665,0.8313760202961343,0.8310238456021958,0.552308846808502,0.5976490339094997
