source,condition,UMAP1,UMAP2
Observed,Control,7.108021,18.060513
Observed,Control,10.794863,20.531895
Observed,Control,7.287392,20.199976
Observed,Control,6.7551904,19.41752
Observed,Control,7.015365,20.755795
Observed,Control,8.089815,17.961567
Observed,Control,5.1396847,13.516908
Observed,Control,9.120138,19.474596
Observed,Control,9.556232,17.380419
Observed,Control,9.185445,19.197271
Observed,Control,7.2047305,17.455212
Observed,Control,8.249525,19.122658
Observed,Control,7.045117,16.722263
Observed,Control,10.111191,18.833838
Observed,Control,9.509016,17.506878
Observed,Control,10.245967,18.868032
Observed,Control,9.067495,21.400799
Observed,Control,9.091959,21.128761
Observed,Control,7.3061185,19.058834
Observed,Control,9.680305,17.27118
Observed,Control,7.956937,17.256693
Observed,Control,8.350838,21.067839
Observed,Control,9.954393,20.97777
Observed,Control,6.938356,15.406375
Observed,Control,9.956555,21.03681
Observed,Control,7.989557,19.402456
Observed,Control,10.156915,20.761324
Observed,Control,8.681401,17.799423
Observed,Control,9.216982,17.29713
Observed,Control,10.567078,18.543606
Observed,Control,10.362526,19.42045
Observed,Control,7.5231533,20.721674
Observed,Control,7.1355906,19.258902
Observed,Control,7.0474424,17.677116
Observed,Control,10.468758,19.794243
Observed,Control,10.119684,21.450283
Observed,Control,8.629271,17.754972
Observed,Control,8.159112,19.863483
Observed,Control,9.2225895,17.763067
Observed,Control,7.3207464,21.047962
Observed,Control,8.294423,18.709202
Observed,Control,8.039255,18.179548
Observed,Control,8.688482,19.691406
Observed,Control,6.715545,17.704403
Observed,Control,6.81445,20.545666
Observed,Control,10.349842,18.583893
Observed,Control,10.174095,20.710777
Observed,Control,8.407854,18.832293
Observed,Control,9.363307,18.526884
Observed,Control,9.30756,20.894451
Observed,Control,7.4779296,20.68834
Observed,Control,11.17475,18.960262
Observed,Control,9.32755,21.228157
Observed,Control,10.759374,19.235954
Observed,Control,9.38529,17.81246
Observed,Control,7.626447,17.245932
Observed,Control,8.682232,15.305419
Observed,Control,7.182487,21.047039
Observed,Control,8.422876,18.11471
Observed,Control,6.210684,15.630135
Observed,Control,9.358172,17.903141
Observed,Control,8.589992,19.043432
Observed,Control,9.390203,21.49051
Observed,Control,6.9631433,18.308985
Observed,Control,10.398175,18.686937
Observed,Control,8.106782,20.7138
Observed,Control,9.311971,16.162752
Observed,Control,10.541708,20.112307
Observed,Control,9.827397,20.53924
Observed,Control,6.9430594,17.063234
Observed,Control,6.9912667,18.132877
Observed,Control,10.615606,18.531656
Observed,Control,9.193487,17.94688
Observed,Control,8.838922,19.624935
Observed,Control,8.091041,18.551243
Observed,Control,6.845018,18.959635
Observed,Control,8.421165,19.131092
Observed,Control,9.38233,21.43206
Observed,Control,6.7138553,17.6407
Observed,Control,9.324116,16.230616
Observed,Control,10.641078,19.823532
Observed,Control,8.1976595,17.216364
Observed,Control,9.207404,19.45621
Observed,Control,7.953016,18.818062
Observed,Control,7.6064296,19.989887
Observed,Control,6.8434534,18.543133
Observed,Control,9.682325,17.894728
Observed,Control,8.192995,18.563114
Observed,Control,10.755731,20.81948
Observed,Control,8.523353,21.075102
Observed,Control,9.120667,17.616203
Observed,Control,9.583179,21.07075
Observed,Control,10.094139,18.819496
Observed,Control,9.6716175,21.437857
Observed,Control,8.157225,18.020817
Observed,Control,8.613573,19.715382
Observed,Control,7.2509484,17.551016
Observed,Control,8.96372,17.702133
Observed,Control,8.157083,19.869383
Observed,Control,6.48057,19.01659
Observed,Control,9.398204,20.811934
Observed,Control,6.612225,15.217813
Observed,Control,8.128941,19.348507
Observed,Control,7.1291986,17.36911
Observed,Control,10.302174,21.188196
Observed,Control,8.422075,20.048943
Observed,Control,7.8774977,21.218102
Observed,Control,6.7580485,18.815546
Observed,Control,9.154742,17.359636
Observed,Control,7.3757415,16.552713
Observed,Control,8.512957,19.86269
Observed,Control,10.601026,20.946001
Observed,Control,10.114989,19.368937
Observed,Control,7.703693,17.937511
Observed,Control,9.239052,19.97934
Observed,Control,9.466228,17.60551
Observed,Control,8.516358,19.014185
Observed,Control,11.080956,19.280539
Observed,Control,8.617454,19.790968
Observed,Control,7.494383,16.14096
Observed,Control,9.840918,21.251154
Observed,Control,9.769416,18.308458
Observed,Control,8.378722,19.086258
Observed,Control,8.594024,17.952347
Observed,Control,7.485682,16.195667
Observed,Control,7.3220816,13.59325
Observed,Control,7.0354013,17.18814
Observed,Control,6.4838324,18.427494
Observed,Control,7.133433,20.124928
Observed,Control,8.65664,18.926966
Observed,Control,10.382844,20.9222
Observed,Control,6.5586715,18.992981
Observed,Control,9.00485,19.316912
Observed,Control,6.726769,17.917719
Observed,Control,7.9941683,19.854366
Observed,Control,9.697451,21.51735
Observed,Control,9.385862,17.739508
Observed,Control,7.0697303,20.457878
Observed,Control,8.389359,19.30403
Observed,Control,8.492121,19.178223
Observed,Control,9.327879,20.647053
Observed,Control,7.0339994,17.456057
Observed,Control,7.036484,17.472979
Observed,Control,9.43436,17.833485
Observed,Control,10.5359745,18.690845
Observed,Control,9.154971,17.400919
Observed,Control,10.811106,21.000599
Observed,Control,8.343378,16.992914
Observed,Control,8.468095,19.217941
Observed,Control,8.504458,15.182636
Observed,Control,10.202504,18.390894
Observed,Control,6.850301,18.92295
Observed,Control,10.256505,18.322582
Observed,Control,6.8180857,18.784195
Observed,Control,9.131694,21.392149
Observed,Control,10.826409,20.337368
Observed,Control,8.722544,17.994087
Observed,Control,6.5650134,18.854525
Observed,Control,7.6875296,21.170101
Observed,Control,8.180661,18.949295
Observed,Control,7.443949,19.257723
Observed,Control,9.822231,21.241219
Observed,Control,8.540736,18.54467
Observed,Control,7.6262364,13.897051
Observed,Control,10.782197,18.993168
Observed,Control,7.6658993,19.265888
Observed,Control,8.106249,19.921057
Observed,Control,6.9093776,19.420969
Observed,Control,7.4617715,20.813135
Observed,Control,10.144245,18.643074
Observed,Control,10.311167,21.206186
Observed,Control,8.7777405,20.464981
Observed,Control,6.7372527,17.238932
Observed,Control,10.549558,20.430483
Observed,Control,8.150488,17.895544
Observed,Control,10.048465,18.091793
Observed,Control,9.752573,19.001717
