method,family,condition_norm,n_test_cells,delta_pcc,topk_de,pra_all,csa_pearson
scPLAD,model,ACTR8,242,0.3726953677472973,0.25333333333333335,0.8151628152465249,0.6434045101434699
scPLAD,model,ALG13,167,0.19781611238024296,0.18000000000000002,0.85540443944923,0.4140893600372395
scPLAD,model,ANKRD11,184,0.011992653613470669,0.29333333333333333,0.8527842250007812,0.5842698644376455
scPLAD,model,AP2S1,96,0.4887288957738865,0.35333333333333333,0.8571426856487162,0.6293727847092114
scPLAD,model,ARGLU1,367,0.22183840093418017,0.21333333333333335,0.8329219362800933,0.7424336567839861
scPLAD,model,ARIH1,57,0.05783244020311604,0.24333333333333332,0.8004636249613554,0.5828607219007611
scPLAD,model,ARPC4,188,0.17955935909803059,0.22,0.8928855520945013,0.4286539339483612
scPLAD,model,ATP6AP1,114,0.30139164482576913,0.25666666666666665,0.8384852345734668,0.7155322676495519
scPLAD,model,BGLAP,236,0.07315528321351197,0.24333333333333332,0.8330824333333083,0.643992606839884
scPLAD,model,BMS1,18,0.6835629544759444,0.63,0.8331204815568434,0.19974954664727348
scPLAD,model,BRIX1,95,0.5024915673363877,0.41,0.7302699944966872,0.6867693248735947
scPLAD,model,BYSL,87,0.7876467043661098,0.66,0.838593027320516,0.784874588689192
scPLAD,model,C1QBP,189,0.08954820628191194,0.24,0.8200291734700174,0.4879463790255252
scPLAD,model,CCDC86,235,0.6346219705912072,0.4766666666666666,0.8807767902775314,0.686404193189715
scPLAD,model,CDC123,96,0.25801771915736527,0.25,0.8310718318338012,0.6681699981672419
scPLAD,model,CDC23,158,0.6019320458419666,0.4566666666666667,0.8789582846850695,0.6750229533229589
scPLAD,model,CDC40,84,0.6764359040141503,0.5033333333333333,0.7908524978230501,0.8310019542934661
scPLAD,model,CENPC,116,0.6099223912648152,0.4633333333333334,0.8316154568666597,0.6800927072221296
scPLAD,model,CENPE,171,0.5552416305466966,0.4166666666666667,0.8818930878236886,0.6622415627102493
scPLAD,model,CHERP,54,0.4969970841648415,0.38999999999999996,0.8337143742109433,0.617588201584044
scPLAD,model,CHMP6,620,0.7486352195934982,0.48,0.8751993690398524,0.8952347155085573
scPLAD,model,CNIH4,65,0.1771336167959342,0.30333333333333334,0.7937831428861997,0.42395842594343414
scPLAD,model,COG2,332,0.4399259749600626,0.30333333333333334,0.8561330269381867,0.6299845842942343
scPLAD,model,CPSF3,575,0.33114598902139375,0.21666666666666667,0.8186565623363307,0.6124830761142276
scPLAD,model,CPSF4,57,0.23271427199977543,0.26666666666666666,0.7035278798110621,0.27914880639270284
scPLAD,model,CSTF1,129,0.3343847828152877,0.30333333333333334,0.8270491046051417,0.603919411070409
scPLAD,model,CSTF3,59,0.26876592912298714,0.26666666666666666,0.7633905299720597,0.354512717562909
scPLAD,model,CTR9,197,0.6001743446159097,0.41333333333333333,0.6875140491253559,0.5981074430166506
scPLAD,model,CUL1,181,0.19505002580382827,0.26333333333333336,0.8551585532813073,0.5533680038248744
scPLAD,model,CWC15,144,0.7664893255907516,0.5166666666666667,0.7894888810516019,0.816916618448207
scPLAD,model,CWC22,28,0.6093623984128221,0.4033333333333333,0.7908066280399564,0.6833637787890877
scPLAD,model,DAD1,71,0.053699270817310026,0.18333333333333335,0.8058234258608623,0.24511839205378624
scPLAD,model,DBR1,96,0.11218155267817993,0.18666666666666668,0.7713474856200647,0.37906813700494774
scPLAD,model,DDOST,74,0.2189390346608383,0.21666666666666667,0.7921196258710971,0.29589702442395205
scPLAD,model,DDX41,259,0.231400132032096,0.21333333333333335,0.745391131401767,0.671143664532444
scPLAD,model,DDX49,41,0.32541347032813045,0.33,0.7803589759937989,0.5944500748688685
scPLAD,model,DDX5,130,-0.19903609112056306,0.2333333333333333,0.8768848374750404,0.4459722715424507
scPLAD,model,DDX52,106,0.7968043651417641,0.66,0.8607815801486242,0.7111905026337234
scPLAD,model,DDX54,68,0.6771761278855318,0.58,0.8651707495692355,0.6166341796776407
scPLAD,model,DERL2,122,0.41699727116281626,0.38666666666666666,0.8595929444343399,0.6129670144063332
scPLAD,model,DHX37,202,0.7445962192980825,0.6133333333333333,0.855628052677247,0.7740619326607652
scPLAD,model,DLD,283,0.17016877926145732,0.22999999999999998,0.8376031041907592,0.4482743853729396
scPLAD,model,DNAJC8,260,0.10772622097831376,0.19333333333333333,0.8300101246403587,0.5480036489625929
scPLAD,model,DNTTIP2,235,0.4913904352594685,0.37666666666666665,0.8055805799134884,0.7657342305507039
scPLAD,model,DONSON,688,0.37887457899848725,0.29000000000000004,0.866940188409204,0.77805232165283
scPLAD,model,DPH2,161,-0.03645689141192153,0.22999999999999998,0.8574191206411405,0.5863508530356935
scPLAD,model,DYNC1H1,217,0.5454062082962677,0.48666666666666664,0.8370431724512849,0.7892801426548717
scPLAD,model,DYNLRB1,192,0.6251272099011457,0.5466666666666667,0.8688300835716952,0.8290771429835798
scPLAD,model,E4F1,130,-0.0390221160870806,0.2333333333333333,0.8139296730069758,0.5867017658507033
scPLAD,model,EBNA1BP2,68,0.8117320758968755,0.71,0.8777679379164542,0.6230475338420994
scPLAD,model,ECD,69,0.5793882444859354,0.4633333333333334,0.8169867395806268,0.7121813096969047
scPLAD,model,EIF2B3,96,0.9226295938908113,0.7966666666666667,0.8115259267668735,0.7393723609900581
scPLAD,model,EIF2S1,208,0.7853209554398216,0.54,0.7245869092219429,0.7885545898043419
scPLAD,model,EIF3E,171,0.5932047839193867,0.4466666666666667,0.8698745077855352,0.5966778226625665
scPLAD,model,EIF3F,36,0.3590684723232047,0.32,0.8100042209183634,0.34402221734720767
scPLAD,model,EIF3G,52,0.7455266678028601,0.54,0.8041909216290385,0.5846891737678183
scPLAD,model,EIF3J,72,0.4831144972817238,0.3333333333333333,0.7784273624085664,0.4270620984188729
scPLAD,model,EIF3M,209,0.7232827769103288,0.5066666666666667,0.8535918801626762,0.6891749936508091
scPLAD,model,EIF5A,100,0.11386480028298994,0.22999999999999998,0.8792817787843973,0.4227488194330394
scPLAD,model,ELP5,167,0.1870000205616795,0.24666666666666667,0.8303988414600504,0.7202157359725065
scPLAD,model,EXOC7,32,0.27184818233173247,0.32666666666666666,0.7010575026403139,0.5109044988322724
scPLAD,model,EXOSC10,77,0.24586503995669726,0.27,0.8305669875203948,0.7320429126577238
scPLAD,model,EXOSC2,209,0.8626063031695049,0.6933333333333334,0.8526628921723391,0.8010081763654688
