metric,mean,sd,min,max,direction
mean_pcc,0.9929,0.0002,0.9928,0.9931,higher
mean_spearman,0.9621,0.0004,0.9617,0.9625,higher
delta_pcc,0.4613,0.0040,0.4569,0.4648,higher
delta_spearman,0.3468,0.0045,0.3428,0.3517,higher
topk_de_overlap,0.4056,0.0023,0.4041,0.4083,higher
auprc,0.3814,0.0029,0.3788,0.3846,higher
pra_all_genes,0.8236,0.0013,0.8228,0.8251,higher
csa_pearson_top100_true_de,0.6401,0.0013,0.6392,0.6415,higher
gge_wasserstein_pca50,0.8373,0.0007,0.8365,0.8378,lower
gge_mmd_pca50,0.2130,0.0007,0.2122,0.2134,lower
gge_energy_pca50,0.2832,0.0005,0.2826,0.2836,lower
