condition,source_context_count,pcc_delta,topk_de_overlap,pra_top100_true_de,csa_pearson
AATF,0,0.6041282439412591,0.49,0.1920183829209442,0.4220223581393595
ABCB7,0,0.4815126250649347,0.34,0.1368652177369334,0.2143862052086488
ACTL6A,0,0.2560469128150414,0.23,0.1335991981288913,0.0517268044917971
ACTR8,0,0.2878378680517179,0.27,0.1713999601499306,0.3459403800102763
AHCY,0,-0.1543055374765035,0.13,0.1817034162550196,0.2831727655956947
ALG2,0,0.5612293259865602,0.37,0.1525852472906517,0.2293740768127624
ALYREF,0,0.3256903873244334,0.22,0.1246596836286549,0.2360054922338543
ANAPC4,0,0.4013341405519354,0.34,0.1469892273321043,0.1120974276093061
ANKRD11,0,0.1587238784626288,0.2,0.1905660353785447,0.3180271482214457
AQR,0,0.6545538297786184,0.39,0.1195528117541473,0.0801909399992337
ARCN1,0,0.4371334955209245,0.29,0.1217009599879861,0.1106104829927047
ARIH1,0,0.3215762864349305,0.27,0.1506365825475809,0.1194240204047931
ARMC7,0,0.2332960077342809,0.24,0.1534211838322198,0.1749503876517613
ARPC4,0,0.2323955177160224,0.19,0.145767334658922,0.1926827331551009
ATF5,0,0.5123281217365291,0.36,0.14452366519281,0.1250655683159007
ATP1A1,0,0.1939992656310364,0.23,0.1336022154488852,0.128368451121026
ATP6AP1,0,0.5454827083724119,0.42,0.1301149850998134,0.1531259602705081
ATP6V0C,0,0.4563622911600539,0.34,0.1322648881063622,0.1017160422074451
ATP6V1B2,0,0.7134118001320549,0.53,0.1368563781183474,0.1117735227217514
BANP,0,-0.0218620930196865,0.24,0.1548821535647307,0.1152265034775729
BAP1,0,-0.0952998072213653,0.15,0.139407106226093,0.1267414752615653
BMS1,0,0.4661020561037234,0.47,0.1884942732725689,0.0935160978027248
BOP1,0,0.535863727373532,0.39,0.1540911810821216,0.1627575704919881
BTF3,0,0.1914954070272952,0.25,0.145104626541127,0.1129434464457553
BUD13,0,0.6856267682744093,0.41,0.1277857963337626,0.2045705307467249
BUD31,0,0.3493585557092942,0.21,0.1983469759038572,0.1913456064314021
C12orf45,0,0.091451578552924,0.21,0.1608744804740645,0.32081750881769
C1QBP,0,0.2247750934145051,0.24,0.1698217511462838,0.1635785054629283
CACTIN,0,0.619930148116993,0.36,0.1286254033247735,0.0920763315893445
CAPZB,0,0.492400744630239,0.4,0.1407266637717403,0.1209435371593372
CASP8AP2,0,0.2262308184404089,0.35,0.1423531689293546,0.152308735034002
CBLL1,0,0.4712896847745889,0.4,0.1689749441725332,0.2323236398586207
CCDC174,0,0.5016631125258355,0.29,0.1623587167063325,0.1421278179956312
CCDC86,0,0.4787779021836191,0.3,0.1694010464169892,0.2234700398694801
CCT2,0,0.4890581935600627,0.31,0.1358866476713013,0.1339957118914798
CCT3,0,0.4027401698074581,0.27,0.1436688722683267,0.1272519091332644
CCT5,0,0.3795768698770943,0.27,0.149424389118835,0.1385701481719955
CCT6A,0,0.3867955091011722,0.32,0.1348709648162777,0.0923073771619794
CCT8,0,0.3657948532196914,0.3,0.1382909125688071,0.1029050079534812
CDAN1,0,0.1934254704131671,0.22,0.149147283148483,0.2149445512293254
CDC16,0,0.4047377833772783,0.36,0.1755994440212197,0.2320864354631812
CDC23,0,0.3511392318993719,0.42,0.1378360233299583,0.1008749146937175
CDC27,0,0.5004297239383768,0.37,0.1444374816560275,0.1486074337505823
CDC40,0,0.5350307819822483,0.34,0.1255626089077519,0.0630946678314198
CDK1,0,0.5276821405956198,0.4,0.1512893702130844,0.1534945330286959
CDK9,0,0.4200419072017846,0.3,0.1509041259588737,0.1449761337970154
CEBPZ,0,0.5277757686426287,0.37,0.1622306772714218,0.1450812727791334
CENPC,0,0.4878505394066086,0.34,0.1383172350001923,0.1195001962190633
CENPJ,0,0.2555681878966105,0.24,0.1431029405851328,0.1102390228185997
CHAF1A,0,0.2673547386549363,0.22,0.1316219812409294,0.0653550321601471
CHAF1B,0,0.3738376509455964,0.3,0.1517663460144311,0.0790006052138472
CHERP,0,0.4855863179436773,0.34,0.1908810348779704,0.1381496734193012
CHMP3,0,0.6963137124159555,0.38,0.088783969912,0.055655618734641
CHMP6,0,0.6055674163763066,0.38,0.1041351639064449,0.092541081438114
CIAPIN1,0,0.3213492268320488,0.28,0.1331317272603444,0.1662293677145352
CLSPN,0,0.6338196524102535,0.47,0.1559956249897149,0.1296199602167609
CLTC,0,0.1044093162895616,0.2,0.1456352570298894,0.2004762193283528
CNIH4,0,0.1931000528011131,0.19,0.1366569823017008,0.07400447927578
CNOT1,0,0.7493862910521126,0.56,0.1111186301772329,0.3666512491221779
COG2,0,0.2918183810938253,0.22,0.1308226195807602,0.1797411979261208
COG3,0,0.4612504342250302,0.34,0.1426245122833031,0.1032876870034451
COPB2,0,0.4156660383166258,0.28,0.1003655488771149,0.1094128292511931
COPS3,0,0.3523747387742244,0.31,0.1423824374264772,0.0826833793739358
COPS5,0,0.0302708848936701,0.22,0.1501667188676952,0.1278601834770624
COPS6,0,0.2695196821252846,0.33,0.157113666510116,0.1840257206813151
COPS8,0,0.0885122705328257,0.24,0.141080815121346,0.1636344926202095
COPZ1,0,0.5159195076096131,0.32,0.1138986616693687,0.103307306243223
COX15,0,0.454749089215942,0.39,0.1431311168687046,0.1192685298321515
CRNKL1,0,0.6748636564534702,0.39,0.1304810821489991,0.1051828628712223
CSTF1,0,0.5075423675833791,0.42,0.1410139986300314,0.1563759170906874
CTDP1,0,0.6653028318588644,0.55,0.1754010511641789,0.1531498369339633
CTNNBL1,0,0.2358700860723939,0.3,0.1622388682838009,0.1051074537884681
CUL1,0,0.1427246472517074,0.22,0.1473302832352932,0.15953652841423
DBR1,0,0.6220543673612541,0.4,0.1401982366291925,0.1564832020716523
DCUN1D5,0,0.53275543918171,0.32,0.1339173013302757,0.1163405909062607
DDOST,0,0.6056660929739605,0.37,0.1419772760089616,0.1125161993069897
