condition,state_available,mean_pcc,mean_spearman,delta_pcc,delta_spearman,top100_de_overlap,auprc
AAMP,True,0.9933171062990169,0.9474563566070663,0.23605100813341662,0.08345849600450077,0.26,0.2477975233102879
AARS,True,0.9791154841829193,0.8662978952516075,0.5686877906411719,0.3706350920545295,0.37,0.3671242565173663
AATF,False,0.987715042906477,0.9683997568060971,0.21458944750537642,0.0652424780750835,0.26,0.2034509833861948
ABCB7,False,0.9967475901607725,0.9761478625169134,0.3579075278194249,0.16521932741102455,0.31,0.27829809899651375
ABCE1,True,0.9780231479830412,0.8943645144308908,0.6524366591013852,0.39483300410498345,0.54,0.5222126568719054
ABCF1,True,0.9941375987080245,0.9571725428499509,0.4771727237819631,0.238468422240668,0.44,0.43099505478813727
ABT1,True,0.9940454998736873,0.9605458128245025,0.4533602077513861,0.11433532642917116,0.55,0.5067077314461391
ACTB,True,0.9961385225690648,0.9760383655645066,0.10682199663046742,0.08512480834863086,0.13,0.08968580720334837
ACTL6A,False,0.9873813516368944,0.9329689121812469,0.14499701050884317,0.07874450250108436,0.25,0.16074376898322518
ACTR6,True,0.9961964421197111,0.9649495974086209,0.01674965239356844,-0.004187234154825767,0.15,0.11155379457305065
ACTR8,False,0.9932473169694526,0.9693602246163264,0.03014812460062793,0.01825091065790106,0.19,0.13827565137689785
AHCTF1,True,0.997154869074851,0.9734521982737243,0.2597264603959037,0.20452751748171638,0.22,0.16314909769455407
AHCY,False,0.9939127284331989,0.9700484336866606,-0.11747272073825228,-0.07216497549665606,0.25,0.14900757090646263
AKIRIN2,True,0.9975468928505373,0.9741543516270394,0.25308835707758714,0.1891922552341624,0.22,0.14319193658625345
ALDOA,True,0.9915919199199866,0.9360579616455578,0.4737599168319977,0.28155407571688246,0.35,0.33041960735540743
ALG13,True,0.9979286638540964,0.9792572837295443,0.03442440349713187,0.040839706617282,0.18,0.10861453239119497
ALG2,False,0.9956305251232863,0.9765074822773038,0.07495857719729762,0.1380722920684041,0.23,0.17812215162296213
ALYREF,False,0.9955630072173903,0.9669443432588702,0.3335528360987328,0.21689648583607282,0.31,0.24389184596419602
ANAPC2,True,0.9983019644972287,0.9834067885067059,0.28933213369031846,0.20472911042524305,0.28,0.17748849372498468
ANAPC4,False,0.9946683967501546,0.9544058969844778,0.3583243351455567,0.23528416835556154,0.37,0.3248641400447644
ANKRD11,False,0.9955380215993647,0.972498621516901,-0.025450615979544008,0.01870257734235825,0.32,0.17908331952016732
AP2S1,True,0.9928585695820658,0.9465035763933128,0.29212921371526235,0.11238615017071392,0.32,0.29847121317667386
AQR,False,0.9575578324671973,0.855371504982722,0.6257027951649928,0.5089462441305266,0.48,0.3899954172652428
ARCN1,False,0.9958092054794816,0.9706489889272668,0.5331995978923001,0.3630995241076369,0.38,0.36181220456378504
ARGLU1,True,0.997538449350771,0.982372400225125,0.08512480031461869,0.04528803388986674,0.19,0.18016581929139408
ARIH1,False,0.9940023741618503,0.9566006713676646,0.3077397466020015,0.190498002799204,0.3,0.23392092148318155
ARL2,True,0.9948038145810928,0.9543436254775968,0.0406097747990847,0.05833454528423469,0.14,0.08624543141058681
ARMC7,False,0.9953419522933762,0.9692366505175545,0.20719812833967932,0.16542557885704096,0.2,0.1289731603938324
