aggregation,metric,mean,std
condition_mean,mean_pcc,0.989909,0.001126
condition_mean,mean_spearman,0.953334,0.003179
condition_mean,delta_pcc,0.381211,0.027420
condition_mean,delta_spearman,0.269626,0.015806
condition_mean,topk_de_overlap,0.339340,0.016925
condition_mean,auprc,0.291703,0.019528
condition_mean,wasserstein,0.293367,0.009286
condition_mean,energy,0.238051,0.006391
condition_mean,kl,0.467238,0.049914
condition_mean,pra_top100,0.829743,0.024419
condition_mean,csa,0.535895,0.004716
cell_weighted,mean_pcc,0.990066,0.001146
cell_weighted,mean_spearman,0.957446,0.003396
cell_weighted,delta_pcc,0.406770,0.028073
cell_weighted,delta_spearman,0.297001,0.016677
cell_weighted,topk_de_overlap,0.351622,0.017101
cell_weighted,auprc,0.305976,0.019737
cell_weighted,wasserstein,0.277650,0.010315
cell_weighted,energy,0.218848,0.007345
cell_weighted,kl,0.404587,0.044746
cell_weighted,pra_top100,0.830143,0.024432
cell_weighted,csa,0.578139,0.006443
