model,context,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
TxPert_official_cell_gat_k562_all_fixed2000,K562,AAMP,top_true_de,100,76,2000,4950,0.15682693968942207,0.1409700139342744
TxPert_official_cell_gat_k562_all_fixed2000,K562,AARS,top_true_de,100,38,2000,4950,0.14497059243574026,0.13474876501372368
TxPert_official_cell_gat_k562_all_fixed2000,K562,AATF,top_true_de,100,254,2000,4950,0.42202235813935957,0.38779974906381437
TxPert_official_cell_gat_k562_all_fixed2000,K562,ABCB7,top_true_de,100,192,2000,4851,0.21438620520864887,0.2118449229505327
TxPert_official_cell_gat_k562_all_fixed2000,K562,ABCE1,top_true_de,100,177,2000,4950,0.25327074723987447,0.21093952080462308
TxPert_official_cell_gat_k562_all_fixed2000,K562,ABCF1,top_true_de,100,159,2000,4950,0.17559574899735655,0.16605664515354868
TxPert_official_cell_gat_k562_all_fixed2000,K562,ABT1,top_true_de,100,92,2000,4950,0.3768119122559739,0.345425393301287
TxPert_official_cell_gat_k562_all_fixed2000,K562,ACTB,top_true_de,100,140,2000,4950,0.155454352586729,0.1478483831136546
TxPert_official_cell_gat_k562_all_fixed2000,K562,ACTL6A,top_true_de,100,45,2000,4950,0.051726804491797125,0.04830489400161579
TxPert_official_cell_gat_k562_all_fixed2000,K562,ACTR6,top_true_de,100,104,2000,4950,0.15279487285096335,0.13875963912039657
TxPert_official_cell_gat_k562_all_fixed2000,K562,ACTR8,top_true_de,100,242,2000,4950,0.3459403800102763,0.29828662000903855
TxPert_official_cell_gat_k562_all_fixed2000,K562,AHCTF1,top_true_de,100,161,2000,4851,0.28971265635859145,0.2858362690205503
TxPert_official_cell_gat_k562_all_fixed2000,K562,AHCY,top_true_de,100,133,2000,4950,0.28317276559569476,0.23889857067603218
TxPert_official_cell_gat_k562_all_fixed2000,K562,AKIRIN2,top_true_de,100,144,2000,4851,0.15580482805916077,0.1610669199398078
TxPert_official_cell_gat_k562_all_fixed2000,K562,ALDOA,top_true_de,100,77,2000,4950,0.11518400903158377,0.10648127362870456
TxPert_official_cell_gat_k562_all_fixed2000,K562,ALG13,top_true_de,100,167,2000,4950,0.16449624525432557,0.1554120861737656
TxPert_official_cell_gat_k562_all_fixed2000,K562,ALG2,top_true_de,100,228,2000,4851,0.22937407681276245,0.21758184079429016
TxPert_official_cell_gat_k562_all_fixed2000,K562,ALYREF,top_true_de,100,96,2000,4950,0.23600549223385436,0.24564513991619852
TxPert_official_cell_gat_k562_all_fixed2000,K562,ANAPC2,top_true_de,100,237,2000,4950,0.20216045964649434,0.18197324543273824
TxPert_official_cell_gat_k562_all_fixed2000,K562,ANAPC4,top_true_de,100,59,2000,4950,0.11209742760930619,0.11070844399103201
TxPert_official_cell_gat_k562_all_fixed2000,K562,ANKRD11,top_true_de,100,184,2000,4851,0.3180271482214457,0.28270489630343065
TxPert_official_cell_gat_k562_all_fixed2000,K562,AP2S1,top_true_de,100,96,2000,4950,0.13715551140749324,0.12252288666061316
TxPert_official_cell_gat_k562_all_fixed2000,K562,AQR,top_true_de,100,82,2000,4950,0.0801909399992337,0.07738718425612362
TxPert_official_cell_gat_k562_all_fixed2000,K562,ARCN1,top_true_de,100,214,2000,4851,0.11061048299270475,0.1159590869310682
TxPert_official_cell_gat_k562_all_fixed2000,K562,ARGLU1,top_true_de,100,367,2000,4950,0.37248196280019935,0.34284872412401685
TxPert_official_cell_gat_k562_all_fixed2000,K562,ARIH1,top_true_de,100,57,2000,4851,0.11942402040479312,0.11290082226678529
TxPert_official_cell_gat_k562_all_fixed2000,K562,ARL2,top_true_de,100,70,2000,4851,0.09373848718528985,0.09133020512579464
TxPert_official_cell_gat_k562_all_fixed2000,K562,ARMC7,top_true_de,100,110,2000,4950,0.1749503876517613,0.1682476012925964
TxPert_official_cell_gat_k562_all_fixed2000,K562,ARPC4,top_true_de,100,188,2000,4950,0.19268273315510093,0.1677650137323593
TxPert_official_cell_gat_k562_all_fixed2000,K562,ATF4,top_true_de,100,52,2000,4851,0.17145435464186762,0.16064889899909882
TxPert_official_cell_gat_k562_all_fixed2000,K562,ATF5,top_true_de,100,133,2000,4950,0.1250655683159007,0.12466655649113893
TxPert_official_cell_gat_k562_all_fixed2000,K562,ATP1A1,top_true_de,100,71,2000,4950,0.12836845112102604,0.1176938663944589
TxPert_official_cell_gat_k562_all_fixed2000,K562,ATP6AP1,top_true_de,100,114,2000,4851,0.15312596027050815,0.14470372518741503
TxPert_official_cell_gat_k562_all_fixed2000,K562,ATP6V0B,top_true_de,100,134,2000,4950,0.13716156426490703,0.1291212150411369
TxPert_official_cell_gat_k562_all_fixed2000,K562,ATP6V0C,top_true_de,100,39,2000,4950,0.10171604220744514,0.09487358211540342
