display_rank_after_true_clustering,gene,true_delta_vs_k562_control
1,MARCKSL1,-0.4881063
2,MT-ND6,-0.92037547
3,MT-ND4L,-0.56119424
4,MT-ND5,-0.819783
5,MT-CYB,-0.6466677
6,MT-ATP6,-1.4485147
7,MT-CO2,-1.0694025
8,MT-ND3,-0.8284099
9,MT-ND1,-0.70177746
10,MIF,-0.51261234
11,PRDX1,-0.5856676
12,EIF5A,-0.4995615
13,LDHA,-0.52097887
14,NCL,-0.7674384
15,HSPD1,-0.5267658
16,HSPA8,-0.647452
17,HSPE1,-0.742957
18,PTMA,-0.78507996
19,RANBP1,-0.6488379
20,HMGB1,-0.5167618
21,TUBA1B,-0.5655296
22,NME1,-0.58778125
23,HSP90AA1,-0.5647596
24,HIST1H1C,-0.7272043
25,PHGDH,0.5408011
26,DDIT4,0.61020756
27,TRIB3,0.5096873
28,TCEA1,0.53013545
29,HSPA5,0.5235219
30,MALAT1,0.789541
31,FTH1,0.739974
32,EIF1,0.59826577
33,TPT1,0.79216313
34,RPS27,0.60327435
35,RPS18,0.5383451
36,ZFAS1,0.5598053
