target_gene,true_delta,pred_delta,model,condition,same_sign
ABCE1,-0.1924236416816711,-0.12158203124999996,scPLAD,,
ACTB,0.1027898788452148,-0.29545950889587397,scPLAD,,
ACTR2,0.1119261384010315,-0.00010065237681070038,scPLAD,,
AHCTF1,-0.1804357767105102,-0.029823313156763665,scPLAD,,
ANKRD11,0.1385015547275543,0.08841957648595171,scPLAD,,
ARL2,-0.1413856297731399,-0.020918418963750168,scPLAD,,
BRIX1,-0.2387047111988067,-0.1480485598246256,scPLAD,,
BRK1,0.17326420545578,-0.0019125342369079312,scPLAD,,
C1QBP,-0.4707027077674866,-0.48732614517211914,scPLAD,,
C9orf16,0.1971931457519531,0.1271818280220031,scPLAD,,
CCNB1,-0.2308844178915023,-0.215259979168574,scPLAD,,
CD3EAP,-0.156135007739067,-0.08639277021090182,scPLAD,,
CDC45,-0.2309212386608123,-0.0780068735281626,scPLAD,,
CHORDC1,-0.1210301220417022,-0.15181526045004526,scPLAD,,
CKAP5,-0.1256924271583557,-0.0442751546700795,scPLAD,,
CSNK1A1,0.0817016065120697,0.13954245050748185,scPLAD,,
CYC1,-0.1073193550109863,-0.1783477167288462,scPLAD,,
CYCS,-0.4689418077468872,-0.20728115240732828,scPLAD,,
DBF4,-0.1206339448690414,-0.10093017419179277,scPLAD,,
DCTN3,0.0337474048137664,-0.0052387217680613,scPLAD,,
DDX10,-0.1263922303915023,-0.04777904351552323,scPLAD,,
DDX21,-0.3656920194625854,-0.21193033456802368,scPLAD,,
DDX46,-0.2273799180984497,-0.028910020987192767,scPLAD,,
DKC1,-0.2009246945381164,-0.2140232821305593,scPLAD,,
DNMT1,-0.1318629682064056,-0.10771680871645602,scPLAD,,
DTYMK,-0.2273951172828674,-0.08193067709604894,scPLAD,,
DYNLL1,0.0356010198593139,-0.24571136633555093,scPLAD,,
EBNA1BP2,-0.3186070621013641,-0.28793133298556006,scPLAD,,
EEF1G,0.124297022819519,0.2413824001948038,scPLAD,,
EIF1,0.5982657670974731,0.3539418776830037,scPLAD,,
EIF1AX,-0.3205889463424682,-0.20664342244466138,scPLAD,,
EIF3E,0.1988536119461059,0.16429098447163895,scPLAD,,
EIF3F,0.1389347612857818,0.143518457810084,scPLAD,,
EIF3H,0.1683911085128784,0.20718280474344888,scPLAD,,
EIF4G2,-0.2552317380905151,-0.06540036201477047,scPLAD,,
EIF5A,-0.4995614886283874,-0.3584570487340291,scPLAD,,
ETF1,-0.1980260610580444,-0.1407490869363149,scPLAD,,
EXOSC7,-0.1828846931457519,-0.08766017357508339,scPLAD,,
FBL,-0.1095378994941711,-0.12279758850733434,scPLAD,,
FEN1,-0.1482233703136444,-0.0521851480007171,scPLAD,,
FNBP4,-0.1069046556949615,0.054698506991068506,scPLAD,,
GAPDH,-0.4666345119476318,-0.01658956209818523,scPLAD,,
GAR1,-0.1830818504095077,-0.13227523366610203,scPLAD,,
GINS2,-0.1557228714227676,-0.09056529402732844,scPLAD,,
GNL2,-0.1434955298900604,-0.0784162282943725,scPLAD,,
GTF3A,-0.215792179107666,-0.2507327397664388,scPLAD,,
GTF3C6,-0.1399949193000793,-0.15384911497433973,scPLAD,,
H2AFZ,-0.3316941261291504,-0.3586905002593994,scPLAD,,
HMGA1,-0.3113118410110473,-0.0172434647878011,scPLAD,,
HNRNPH1,-0.1233172118663787,-0.0200317899386088,scPLAD,,
HSPA8,-0.6474519968032837,-0.44743327299753827,scPLAD,,
HSPD1,-0.5267658233642578,-0.47406729062398273,scPLAD,,
HUWE1,-0.0653626024723053,0.014149338006973267,scPLAD,,
IARS2,-0.197273388504982,-0.1011052976051966,scPLAD,,
LRPPRC,-0.2521158456802368,-0.11000978946685787,scPLAD,,
LSM3,-0.2791666984558105,-0.20897948741912842,scPLAD,,
LSM7,-0.1104836463928222,-0.27967560291290283,scPLAD,,
MAD2L1,-0.2341208457946777,-0.14984144767125443,scPLAD,,
MARS,0.1468127369880676,0.04962357878684993,scPLAD,,
MAT2A,-0.1739121675491333,-0.0770892997582753,scPLAD,,
MCM2,-0.1238094344735145,-0.05853025118509924,scPLAD,,
MCM3,-0.306746244430542,-0.13548427820205683,scPLAD,,
MCM4,-0.2703868150711059,-0.08035246531168616,scPLAD,,
MCM5,-0.0907108187675476,-0.0402306020259857,scPLAD,,
MCM6,-0.1661283522844314,-0.1156043757994969,scPLAD,,
MCM7,-0.2421647906303405,-0.0841315388679504,scPLAD,,
MDN1,-0.2111759483814239,-0.14031222462654105,scPLAD,,
MRPL16,-0.1406106352806091,-0.10593862334887179,scPLAD,,
MRPL20,-0.155751883983612,-0.3065576454003652,scPLAD,,
MRPL3,-0.2522516846656799,-0.23005568981170652,scPLAD,,
MRPL41,-0.1546835899353027,-0.1205370227495829,scPLAD,,
MRPL50,-0.0865635871887207,-0.05131548643112177,scPLAD,,
MRPL54,-0.0458153486251831,-0.11486437420050295,scPLAD,,
MRPS24,-0.184052288532257,-0.17283308506011963,scPLAD,,
MRPS34,-0.3367723226547241,-0.23271095752716062,scPLAD,,
MRPS6,-0.1002242565155029,-0.09684486190477999,scPLAD,,
NAA50,-0.2283392548561096,-0.12830590208371476,scPLAD,,
NASP,-0.3496089577674866,-0.24314049879709876,scPLAD,,
NCL,-0.7674384117126465,-0.402594526608785,scPLAD,,
NDUFA8,-0.1249938011169433,-0.09384816884994503,scPLAD,,
NDUFB4,-0.076531320810318,-0.1553446948528289,scPLAD,,
NHP2,-0.1508384048938751,-0.2257664302984873,scPLAD,,
NIP7,-0.1880832761526107,-0.10758622984091433,scPLAD,,
NOL8,-0.097207099199295,-0.0918114880720774,scPLAD,,
NOLC1,-0.3326078355312347,-0.20500064889589945,scPLAD,,
NOP16,-0.2201404571533203,-0.1632312089204788,scPLAD,,
OPA1,-0.1277290135622024,0.010601808627446467,scPLAD,,
PCNA,-0.2221130728721618,-0.04358770449956256,scPLAD,,
PDCD5,-0.1917878985404968,-0.13562943538029984,scPLAD,,
PHB,-0.4662811160087585,-0.28428792953491205,scPLAD,,
PNISR,0.1772201657295227,0.11875089009602861,scPLAD,,
POLR3K,-0.2816741168498993,-0.18433411916097,scPLAD,,
PPA1,-0.2987017035484314,-0.17853822310765585,scPLAD,,
PPIH,-0.1664637327194214,-0.09550371766090389,scPLAD,,
PPIL4,0.016825333237648,0.0781608323256174,scPLAD,,
PRMT1,-0.2924379706382751,-0.17096261183420816,scPLAD,,
PSMG1,-0.0962090492248535,-0.12255158027013137,scPLAD,,
PSMG4,-0.1121364384889602,-0.060328423976898166,scPLAD,,
PTBP1,-0.2119744420051574,-0.0935690402984619,scPLAD,,
PTMA,-0.7850799560546875,-0.45435015360514325,scPLAD,,
RABGGTB,-0.1101802885532379,-0.008679340283075933,scPLAD,,
RAC3,-0.1184614449739456,-0.026131550470987964,scPLAD,,
RFC2,-0.079305499792099,-0.05342232684294377,scPLAD,,
RPL10A,0.2854187488555908,0.19767045974731445,scPLAD,,
RPL18A,0.2900631427764892,0.21443915367126462,scPLAD,,
RPL24,0.1225755214691162,0.05650568008422846,scPLAD,,
RPL26,0.4413900375366211,0.39819057782491046,scPLAD,,
RPL26L1,-0.0907804518938064,-0.0828114698330561,scPLAD,,
RPL3,0.2333827018737793,0.28377731641133624,scPLAD,,
RPL34,0.4061062335968017,0.3852095603942871,scPLAD,,
RPL35A,0.2577985525131225,0.20859269301096597,scPLAD,,
RPL36A,0.3736292123794555,0.3493550618489583,scPLAD,,
RPS11,0.3714439868927002,0.35176650683085126,scPLAD,,
RPS14,0.3571133613586426,0.1558290322621663,scPLAD,,
RPS17,-0.1524415016174316,-0.09803247451782222,scPLAD,,
RPS24,0.320296049118042,0.22589055697123206,scPLAD,,
RPS26,-0.4086424112319946,0.0010110934575399,scPLAD,,
RPS27,0.6032743453979492,0.43543283144632977,scPLAD,,
RPS28,0.1628379821777343,0.2496109803517659,scPLAD,,
RPS3,0.2593514919281006,0.16297483444213864,scPLAD,,
RPS3A,0.4385180473327636,0.2356173197428385,scPLAD,,
RPSA,-0.0693881511688232,0.07792019844055173,scPLAD,,
