contrast,prior_informativeness,metric,n_conditions,spearman_rho,p_value,fdr_bh_within_contrast
esm3,esm3_train_max_cosine,auprc,272,0.06874929932234033,0.25849383960629163,0.7667940925291832
esm3,esm3_train_max_cosine,csa_pearson,272,0.1396179249446017,0.021260500113949143,0.2120777412002465
esm3,esm3_train_max_cosine,csa_spearman,272,0.13726662961522956,0.023564193466694056,0.2120777412002465
esm3,esm3_train_max_cosine,e_distance,272,1.0137464012002756e-05,0.9998672149616188,0.9998672149616188
esm3,esm3_train_max_cosine,energy_pca50,272,-0.025356182779668772,0.6771715085368415,0.9998672149616188
esm3,esm3_train_max_cosine,kl_divergence,272,0.00853455205528138,0.8885732662329537,0.9998672149616188
esm3,esm3_train_max_cosine,mae,272,-0.001695938097066814,0.9777886976023611,0.9998672149616188
esm3,esm3_train_max_cosine,mean_pcc,272,-0.02096546821964664,0.7306832437113091,0.9998672149616188
esm3,esm3_train_max_cosine,mean_spearman,272,0.03684491111233025,0.5451332513547368,0.9998672149616188
esm3,esm3_train_max_cosine,mmd_pca50,272,-0.014238366365564107,0.8151747549667017,0.9998672149616188
esm3,esm3_train_max_cosine,mse,272,-0.018666052853159427,0.7592564191217446,0.9998672149616188
esm3,esm3_train_max_cosine,pcc_delta,272,0.09797441542611934,0.10690208472223035,0.4810593812500366
esm3,esm3_train_max_cosine,pra_all_genes,272,-0.06330607746930732,0.2981977026502379,0.7667940925291832
esm3,esm3_train_max_cosine,pra_top100_true_de,272,0.018283810827765676,0.7640393131993498,0.9998672149616188
esm3,esm3_train_max_cosine,spearman_delta,272,0.1182708110209738,0.05136318372544007,0.3081791023526404
esm3,esm3_train_max_cosine,topk_de_overlap,272,0.07594345663989464,0.21183805013379012,0.7626169804816445
esm3,esm3_train_max_cosine,wasserstein,272,-0.005561889814114688,0.9272484179226809,0.9998672149616188
esm3,esm3_train_max_cosine,wasserstein_1_pca50,272,-0.034678475420824015,0.5690375971692779,0.9998672149616188
network,network_block_count,auprc,272,-0.12322074147456571,0.04229618363603417,0.19033282636215376
network,network_block_count,csa_pearson,272,-0.029871873769937912,0.6237800007368333,0.9485813145624801
network,network_block_count,csa_spearman,272,-0.06789742856494775,0.264454538328057,0.8419328296721724
network,network_block_count,e_distance,272,-0.054091841767981694,0.37419236874318773,0.8419328296721724
network,network_block_count,energy_pca50,272,-0.016182785882687702,0.7904844288020667,0.9485813145624801
network,network_block_count,kl_divergence,272,-0.018633922943109005,0.7596581027579142,0.9485813145624801
network,network_block_count,mae,272,-0.0023709858105368017,0.968951563484092,0.968951563484092
network,network_block_count,mean_pcc,272,-0.03393939436969661,0.5773049727224646,0.9485813145624801
network,network_block_count,mean_spearman,272,-0.0637640472482297,0.2947090041707298,0.8419328296721724
network,network_block_count,mmd_pca50,272,0.023544584985451145,0.6990726789392478,0.9485813145624801
network,network_block_count,mse,272,-0.008378601586763306,0.8905964925575014,0.968951563484092
network,network_block_count,pcc_delta,272,-0.14979025948375857,0.013398597359884886,0.12058737623896397
network,network_block_count,pra_all_genes,272,0.04324688059659423,0.4775221588723467,0.9485813145624801
network,network_block_count,pra_top100_true_de,272,-0.05840913603017116,0.3372105607560999,0.8419328296721724
network,network_block_count,spearman_delta,272,-0.17287164480417952,0.004243071058011547,0.07637527904420785
network,network_block_count,topk_de_overlap,272,-0.13712901985039364,0.02370544760411561,0.14223268562469366
network,network_block_count,wasserstein,272,-0.027613969567765292,0.6502532748380015,0.9485813145624801
network,network_block_count,wasserstein_1_pca50,272,0.0052343736794725594,0.9315216469836662,0.968951563484092
