metric,n_high,n_low,gain_high,gain_low,interaction,ci_low,ci_high,permutation_p,contrast,stratifier,fdr_bh_within_contrast_stratifier
auprc,136,136,0.001331309106965178,-0.01909580563983669,0.02042711474680187,-0.009551864035985475,0.051026877863500936,0.1760823917608239,esm3,esm3_semantic_near,0.48055194480551944
csa_pearson,136,136,0.00628475759983229,-0.0004283651736421872,0.006713122773474477,-0.005424453448776747,0.018231902131241148,0.266973302669733,esm3,esm3_semantic_near,0.48055194480551944
csa_spearman,136,136,0.005576573318946101,-0.002347459629233957,0.007924032948180058,-0.0036759501963838596,0.019191172507681292,0.1777822217778222,esm3,esm3_semantic_near,0.48055194480551944
e_distance,136,136,0.005243044846299036,0.0067152412922061545,-0.0014721964459071188,-0.00894344452423488,0.005767239407242569,0.6967303269673033,esm3,esm3_semantic_near,0.836076392360764
energy_pca50,136,136,0.002836185602692641,0.0039118079415826805,-0.0010756223388900393,-0.006446596118214736,0.004055583552458839,0.6839316068393161,esm3,esm3_semantic_near,0.836076392360764
kl_divergence,136,136,0.02812297764393407,0.02886887845636911,-0.0007459008124350401,-0.03974193901671118,0.03869110774436313,0.9697030296970303,esm3,esm3_semantic_near,0.9697030296970303
mae,136,136,-0.00013024206318910573,0.0006460284439883398,-0.0007762705071774456,-0.001787256122756213,0.00017626985191943065,0.1202879712028797,esm3,esm3_semantic_near,0.48055194480551944
mean_pcc,136,136,-0.00016659484025141288,0.0004314564475574448,-0.0005980512878088577,-0.0013876898862398488,0.0001483319504895385,0.12958704129587043,esm3,esm3_semantic_near,0.48055194480551944
mean_spearman,136,136,-0.00037537319460657405,0.0007758443664939135,-0.0011512175611004876,-0.002842152258551909,0.0004922116455230657,0.18738126187381263,esm3,esm3_semantic_near,0.48055194480551944
mmd_pca50,136,136,0.00450341273695168,0.002766654256890159,0.0017367584800615215,-0.0018696455068639272,0.005320361711057812,0.34236576342365765,esm3,esm3_semantic_near,0.5135486451354865
mse,136,136,-3.69818866174157e-05,0.00012247109364526664,-0.00015945298026268234,-0.00036445426251827844,3.699729818703389e-05,0.11758824117588242,esm3,esm3_semantic_near,0.48055194480551944
pcc_delta,136,136,0.01291481986948677,-0.017227946790647927,0.0301427666601347,-0.007173134021251888,0.06741641057676236,0.12148785121487851,esm3,esm3_semantic_near,0.48055194480551944
pra_all_genes,136,136,0.008570206531209604,0.008982964983770688,-0.0004127584525610833,-0.006547215638236793,0.005621746441620298,0.8936106389361064,esm3,esm3_semantic_near,0.9461759706382302
pra_top100_true_de,136,136,0.014812755271431643,0.007138442156288042,0.0076743131151436016,-0.007207912395756189,0.022418714554771003,0.32396760323967605,esm3,esm3_semantic_near,0.5135486451354865
spearman_delta,136,136,0.008809232619018267,-0.007681118835414174,0.016490351454432443,-0.011733284766089714,0.04444523469929987,0.25447455254474555,esm3,esm3_semantic_near,0.48055194480551944
topk_de_overlap,136,136,-0.0012009803921568607,-0.015735294117647056,0.014534313725490196,-0.008971813725490194,0.03821139705882352,0.22957704229577042,esm3,esm3_semantic_near,0.48055194480551944
wasserstein,136,136,0.0058785307821404885,0.009500005939655567,-0.003621475157515079,-0.014495144634534713,0.007437855520123118,0.5249475052494751,esm3,esm3_semantic_near,0.7268503918838886
wasserstein_1_pca50,136,136,0.004310983403136447,0.004737650590090289,-0.00042666718695384166,-0.006053195372757672,0.005045796322505646,0.8851114888511149,esm3,esm3_semantic_near,0.9461759706382302
auprc,196,76,-0.000493387245060141,0.05304851365152574,-0.053541900896585885,-0.08520698952403911,-0.02435115125476341,0.0011998800119988001,network,complex_has_any,0.0071992800719928
csa_pearson,196,76,0.0009020802588810486,0.011006036632231255,-0.010103956373350207,-0.02105625673371276,0.0003714187512513801,0.0735926407359264,network,complex_has_any,0.18418158184181582
