contrast,metric,n_conditions,mean_gain,median_gain,ci_low,ci_high,paired_wilcoxon_p,fdr_bh_within_contrast
esm3,auprc,272,-0.008882248266435758,-0.004254098209723264,-0.023779062177787007,0.005938286048979876,0.16335890254043295,0.2940460245727793
esm3,csa_pearson,272,0.0029281962130950517,0.00024300332904564348,-0.0031419619503448926,0.008692030594570462,0.27180352526841833,0.44476940498468454
esm3,csa_spearman,272,0.0016145568448560717,-0.0008429483132320799,-0.004059818523879862,0.007196519186049045,0.4214118960739114,0.5834933945638773
esm3,e_distance,272,0.005979143069252596,0.004985317948023918,0.0023278777408865326,0.009616343833296025,0.0007189831159723959,0.0032354240218757818
esm3,energy_pca50,272,0.003373996772137661,0.0026559324387821124,0.0007044076557889257,0.006007054052530696,0.0018978185796515892,0.005693455738954768
esm3,kl_divergence,272,0.028495928050151588,0.018144177176768833,0.008592023914238295,0.04816714051151107,0.002815640103509721,0.007240217409024997
esm3,mae,272,0.000257893190399617,0.00017222886284191767,-0.00021592390449037325,0.0007578433864218124,0.39266181339786443,0.5834933945638773
esm3,mean_pcc,272,0.000132430803653016,-2.8127676874045715e-05,-0.00024462615303533686,0.0005372282174607226,0.9539423774528808,0.9563962682081084
esm3,mean_spearman,272,0.00020023558594366977,-0.00014281325008091983,-0.000631260383220257,0.0010548806203244583,0.8503498214390826,0.9563962682081084
esm3,mmd_pca50,272,0.0036350334969209195,0.003929555072813877,0.001832484673489863,0.005429020494773613,9.722032310899093e-05,0.0008749829079809184
esm3,mse,272,4.274460351392548e-05,-4.775453514333124e-07,-5.7435987086955475e-05,0.00014637062310219974,0.7993953092412024,0.9563962682081084
esm3,pcc_delta,272,-0.0021565634605805756,-0.006670798455762702,-0.020963239415132753,0.016841856819758493,0.6640481898009295,0.8537762440297666
esm3,pra_all_genes,272,0.008776585757490145,0.0073578950067582265,0.005769839020747485,0.011813223635833793,6.527175337735496e-08,1.1748915607923892e-06
esm3,pra_top100_true_de,272,0.010975598713859842,0.009888869862175704,0.003466269600922702,0.018524984901970288,0.0016825829093425173,0.005693455738954768
esm3,spearman_delta,272,0.0005640568918020477,-0.0002797621644752042,-0.013730369186200467,0.01474648566251108,0.9563962682081084,0.9563962682081084
esm3,topk_de_overlap,272,-0.008468137254901961,-0.008333333333333323,-0.02072334558823529,0.003566482843137254,0.159881644378996,0.2940460245727793
esm3,wasserstein,272,0.007689268360898029,0.0051886435938586824,0.0023162641027077435,0.013383953744281677,0.010947254402503263,0.024631322405632344
esm3,wasserstein_1_pca50,272,0.004524316996613369,0.004206769654740261,0.001739453102206793,0.007290599247441128,0.0006951694143421679,0.0032354240218757818
network,auprc,272,0.014466849770162384,0.006836553224546522,-0.00045650899612243085,0.029280596095680136,0.035725677657576164,0.05358851648636425
network,csa_pearson,272,0.003725244539670077,0.0024950277628569733,-0.0013498154394523901,0.008744822426581872,0.053530542843468885,0.06423665141216266
network,csa_spearman,272,0.0027816707457008834,0.0031076398131529666,-0.002214889496713045,0.007448150549500772,0.05100846454610708,0.06423665141216266
network,e_distance,272,0.005625130044928309,0.004163115512593541,0.0024023989597378296,0.00893933806248824,0.0005917401387669447,0.008792049314323931
network,energy_pca50,272,0.0022193959762944007,0.0009890446870388185,-6.698711767841271e-05,0.004574007799635496,0.06226718582836702,0.07005058405691289
network,kl_divergence,272,0.017474906351776325,0.012961511846057733,-0.000651069617669595,0.035941838742197106,0.03999209486227159,0.055373669809299135
network,mae,272,0.00048839185368635,0.0003466128061214828,3.64616076694803e-05,0.0009379095609605714,0.0019377362190356549,0.008792049314323931
network,mean_pcc,272,0.00039026543436417645,0.00014162180383103795,5.248096968810013e-05,0.0007295824128704567,0.0035155989373943284,0.008792049314323931
network,mean_spearman,272,0.0009857571986446813,0.00030275717951296543,0.00024041715353179653,0.0017772776611079955,0.0034896346232367523,0.008792049314323931
network,mmd_pca50,272,0.0010777351026949886,0.0014048090697174331,-0.00041670585769280655,0.0026137094372179572,0.19815678437884465,0.19815678437884465
network,mse,272,9.653573836069963e-05,3.993326875691665e-05,7.327347449581867e-06,0.0001816864342398586,0.0038317742793414836,0.008792049314323931
network,pcc_delta,272,0.017738711028899182,0.014317785302184454,0.00023814705847032135,0.03512073174337346,0.008957128171893569,0.016122830709408422
network,pra_all_genes,272,0.003468970582043342,0.003124458193468127,0.0006426704182640693,0.006267373508066454,0.006559483504295129,0.013118967008590257
network,pra_top100_true_de,272,0.008921135266794904,0.006401119568323417,0.002206222877451835,0.015387460639374633,0.003907577473032858,0.008792049314323931
network,spearman_delta,272,0.014227332287095704,0.012721078420355867,0.0010428065608642848,0.027461182095485114,0.003639105411521236,0.008792049314323931
network,topk_de_overlap,272,0.011556372549019608,0.01,-1.2254901960783005e-05,0.02307628676470588,0.021452284878706974,0.0351037388924296
network,wasserstein,272,0.007405579062475171,0.0072679634294033485,0.0023195919045897887,0.012418953686125037,0.0012389491803212586,0.008792049314323931
network,wasserstein_1_pca50,272,0.0017216913348430903,0.0011353143137277089,-0.0007791621775319386,0.004209058488045941,0.1817662705869515,0.19245840415088983
