condition,contrast,seed,auprc,csa_pearson,csa_spearman,e_distance,energy_pca50,kl_divergence,mae,mean_pcc,mean_spearman,mmd_pca50,mse,pcc_delta,pra_all_genes,pra_top100_true_de,spearman_delta,topk_de_overlap,wasserstein,wasserstein_1_pca50,gene,esm3_has_embedding,ppi_has_go_profile,grn_has_any,omnipath_has_any,complex_has_membership,complex_has_comember_go_profile,complex_has_any,network_block_count,network_rich,esm3_train_max_cosine,esm3_semantic_near
ACTR8+ctrl,esm3,20260613,-0.11754766872721162,0.017951278228885648,0.006149994147721216,-0.055935506138001495,-0.033662607329942806,-0.004708987637501216,-0.006645943969488102,-0.0021277587409788135,-0.004253372065587957,-0.017394899594392804,-0.0007337672868743,-0.30922113978572885,-0.05550577186167116,-0.057945280308058345,-0.16313020876912349,-0.09999999999999998,-0.0773897824765214,-0.041447620259421725,ACTR8,1.0,1.0,0.0,0.0,1.0,1.0,1,2,0,0.6566927135966314,1
ALG13+ctrl,esm3,20260613,0.0027006686917459,-0.0021963961956185662,-0.021205683451951507,0.0101935019986657,0.0008802570318429959,-0.01723670745230038,0.0047043245285748984,0.0020603813899995327,0.0031605618778507427,-0.0057470690950846,0.0005869515007362,-0.05147838210112732,0.027096357449933217,-0.01105025174531482,-0.028460259492459505,0.0,0.01926794242068819,0.0010838921709589444,ALG13,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.23444576227320837,0
ANKRD11+ctrl,esm3,20260613,0.016796086865203702,0.0012479858865990234,-0.006358612917480022,0.0038852593071442842,-0.02145266514312749,-0.05489124885906099,-0.0027423705905676027,-0.0003664147149683439,-0.00328860740418635,-0.017786403400155,-9.420688729739994e-05,0.16424531518206661,0.009547780916262516,-0.020580899189117874,-0.026298805919090097,0.030000000000000027,0.010435741095876222,-0.020834886554979226,ANKRD11,1.0,1.0,1.0,0.0,1.0,1.0,1,3,1,0.48289262866118055,1
AP2S1+ctrl,esm3,20260613,-0.01548602451784159,-0.019664219455458376,-0.014201005622349272,0.023810287397722202,0.000639862621524101,-0.004172735221643409,0.003241362050175601,0.00013010095397436583,0.00027366867420342,-0.006801293689058102,0.0002222248585893999,0.013418329196968393,0.06404960195279952,-0.0008332929598361405,0.0163239951737586,0.010000000000000009,0.030445251090957415,-0.002882783182794224,AP2S1,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,0.6367654607463599,1
ARGLU1+ctrl,esm3,20260613,0.04181638690075651,0.0024949268994952645,0.008449034055050764,-0.03624802168342639,-0.011269708443229998,-0.2729564555702906,0.00033074617385860094,0.0010811678489671683,0.0017790420232044468,-0.0222171112701903,0.00022887287195770003,0.0497607244321782,-0.04570813269120921,-0.045949409496372495,0.0324789216967057,0.07999999999999999,-0.049576062759429385,-0.015522130517302168,ARGLU1,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.3030444499073842,0
ARIH1+ctrl,esm3,20260613,-0.1413879460780301,0.005456771533437266,0.005845288044560415,-0.008793169117594396,-0.013139080011011495,-0.03350383334933971,0.0002544037997722001,-0.0004978583643160395,-0.0011566621902941998,-0.009193644672558593,-3.730040043590003e-05,-0.1364261441749746,0.007810509589189718,-0.05976682903407937,-0.07580650714163539,-0.21000000000000002,-0.013877431268571494,-0.02268080500863645,ARIH1,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,0.2872784534549865,0
ARPC4+ctrl,esm3,20260613,-0.022646270432951116,0.012901469543565192,0.009122581580785105,0.0157766912156993,0.005891684174319706,0.04020045998005478,-0.002318982034921601,-0.0013651447244568127,-0.0032259776970393617,0.018058708825448105,-0.00030078907730060004,0.026595630512133206,0.0726891738031038,0.056511258100285455,-0.007833193273327696,-0.03,0.004262606588081697,0.018364532660038235,ARPC4,1.0,1.0,0.0,1.0,1.0,1.0,1,3,1,0.4253802065822827,1
ATP6AP1+ctrl,esm3,20260613,-0.10668128072695263,-0.04256108972235573,-0.04025811467415852,-0.003557930120176689,0.001527356113388223,-0.14928397293507095,-0.0021235905587673014,-0.0006223845748027923,-0.002400125472004966,0.002620268859284014,-0.00021133181871839997,-0.1853033136182406,-0.011484985360662447,-0.028427822750810794,-0.13749529519150747,-0.14,-0.0209743931924897,-0.0016595442503342106,ATP6AP1,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.2770145243501594,0
BGLAP+ctrl,esm3,20260613,-0.05682356390995061,0.003951283842712927,0.005355942896051014,0.04653580014164582,0.010006837333370794,0.17597669410674466,0.0022219698876142016,0.0004025554283194621,0.0017062085482894007,0.010492659144440003,0.00018679199274629994,-0.026092953868423696,0.056934864217261905,0.03762318996211922,0.026002069901033986,-0.09,0.0667400797216462,0.01192587349377816,BGLAP,1.0,1.0,1.0,0.0,0.0,0.0,0,2,0,0.22603557976901004,0
BMS1+ctrl,esm3,20260613,0.0672583836561671,-0.0018808780672968095,-0.0007993674193779166,0.03252782281871522,0.006957202180328137,0.01052234959435805,0.0019190013408661027,0.0006582875406500044,0.00035171330436323256,0.007061974122279879,0.00033993204124270005,0.03843817110229042,0.027870269107817425,0.05795807631991823,0.02660304544313352,0.06000000000000005,0.052588352098215496,0.006511900291015227,BMS1,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.4094956656115338,1
BRIX1+ctrl,esm3,20260613,0.004290736453607891,-0.009845645592506225,-0.01454780661228472,-0.003961087090826099,-0.003123558094337231,-0.13229943543154543,1.2969598174102093e-05,0.0007999320402398702,-1.6915801677730435e-05,-0.005125299959586799,6.146496161810004e-05,0.0534289698649561,-0.009437301768824402,0.006052554396219767,0.016619683123373585,0.020000000000000018,-0.009938920282940689,-0.0004179522126492863,BRIX1,1.0,1.0,0.0,0.0,1.0,1.0,1,2,0,0.708155646016739,1
BYSL+ctrl,esm3,20260613,0.03714243248845672,-0.0038700017299864164,-0.03678509472305935,0.006689790773545423,-0.0026477775243556323,-0.05263679178024239,0.0003998782485722975,0.0008229744972796382,0.0004821937153112188,-0.00041993556157779444,0.00012377917300909996,-0.006037450547379919,0.0006561647356019273,0.017670388755503197,-0.0704095856037632,0.010000000000000009,0.003735364471931485,-0.0013295617028104,BYSL,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.23304440545276975,0
C1QBP+ctrl,esm3,20260613,-0.01041669415054669,-0.016577651080630806,-0.023748388004559695,0.04507536655222841,0.01681824559213932,0.22044254169644706,0.0009068008512259015,-0.00012831425173442934,-0.0003946035037840634,0.013413616525004501,5.186640191820013e-05,0.061526335532734205,0.03949058874737532,0.04449279841887954,0.0281550582937874,0.0,0.06091617081054573,0.02533601639822569,C1QBP,1.0,1.0,1.0,0.0,1.0,1.0,1,3,1,0.26397617216017966,0
CCDC86+ctrl,esm3,20260613,0.2678005054699211,0.04548466639006943,0.0478336798289154,0.023794173500191,0.02534300259936581,0.14705634102447068,0.004599712789058699,0.002451925923352083,0.00700955567255046,0.01498376850896338,0.0006249126745387999,0.2446567614713817,0.022885140488691058,0.08871362732673516,0.24832876508954366,0.13000000000000006,0.03585264123831641,0.030048695253046098,CCDC86,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.4931652481961014,1
CDC123+ctrl,esm3,20260613,-0.02021496630396652,0.10534348841267338,0.1315651951676563,0.03744102940972249,0.029172424210585607,0.293874908451955,0.0051064752042294,0.0025795338107965637,0.009929900797434499,0.022179611399389787,0.0006954856216908,-0.019882444086730705,0.010263263523157318,0.025241298403473666,-0.002856562578399613,-0.01999999999999999,0.05819259529960283,0.03574713012702435,CDC123,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.31292809537488786,0
CDC23+ctrl,esm3,20260613,-0.14849016311329366,0.005081718778261135,-0.0032615811839016295,-0.002075333550415809,-0.0025712964764671997,-0.039151514557002276,-4.370510578160028e-05,-0.00010003554791893077,0.0002817325552693095,-0.005206267057143804,-2.7762434910900014e-05,-0.037833721897453154,0.007875475620998995,-0.02016882764001615,-0.010166758210004179,-0.09000000000000002,-0.008237535167852916,-0.012385634516613231,CDC23,1.0,1.0,0.0,1.0,1.0,1.0,1,3,1,0.7904466040253506,1
CDC40+ctrl,esm3,20260613,0.2653488085923589,0.062440787909257,0.04264816623559098,0.05046704296712229,0.009247249000869595,0.2319898998142525,-0.00029425323009489926,-0.00045742459446362904,0.0022275828180455814,0.008663520727327484,-9.41733596846999e-05,0.20155305202426183,0.027662938886432675,0.10107458862970886,0.15562564640253435,0.13,0.07402161716800568,0.012391347559177479,CDC40,1.0,1.0,0.0,0.0,1.0,1.0,1,2,0,0.5481621911202976,1
CENPC+ctrl,esm3,20260613,-0.1665965027807858,0.007555987917039486,0.012341237853975895,-0.03909847599649019,-0.010292803434880982,-0.2855157428117243,0.003380311653018001,0.001734527436793032,0.003055106378277439,-0.0158285873859334,0.00038535788189620007,-0.09722606028028047,-0.019625038251921967,-0.0992956413851992,-0.062039330502205725,-0.07999999999999996,-0.05934102619447279,-0.015077810009321402,CENPC,1.0,1.0,0.0,1.0,1.0,1.0,1,3,1,0.2646113918751577,0
CENPE+ctrl,esm3,20260613,0.027842977090506593,-0.043218447153959616,-0.05321927527221926,0.023824199647246275,0.005297294627445104,-0.1041842674446729,0.0011260490864515998,0.00036009596569297475,-2.5861944507599155e-05,0.015246227660237283,0.00013812177348880008,0.1352000574371925,0.049368381922294646,0.026149402105320685,0.030770109843430093,0.040000000000000036,0.009141553112004597,-1.5967964160812365e-05,CENPE,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0,0.5586735532992282,1
CHERP+ctrl,esm3,20260613,0.0028266579630270017,-0.030542808373435593,-0.008795807836877056,-0.026004683520065686,-0.02086785589976964,-0.23255130874747482,-0.0016065295785665998,-0.001034065513158433,-0.0031730553925676253,-0.01942282533076048,-0.0002657790901139001,-0.019574390616825532,-0.01489242956549941,-0.04230338552249435,-0.02906609940156618,0.0,-0.040162539696038335,-0.027817858026505382,CHERP,1.0,1.0,0.0,0.0,1.0,1.0,1,2,0,0.4241300090912932,1
CHMP6+ctrl,esm3,20260613,0.16437332704911917,0.0455231605048646,0.027671514870974745,-0.020367783853002974,-0.006058807024908297,-0.04233038769726677,-0.0007774643599986995,0.00044459074668623533,0.00269605402790718,-0.008269015609053007,6.925285561010003e-05,0.12410209437007635,-0.032838688430425256,0.11322231458062959,0.10350044048261764,0.16000000000000003,-0.022206806492109404,-0.014851107024853316,CHMP6,1.0,1.0,0.0,0.0,1.0,1.0,1,2,0,0.6867550015191156,1
CNIH4+ctrl,esm3,20260613,0.04622902045638819,-0.00892345415769158,0.004933300736534474,0.05464874334677178,0.021098778708382115,0.2936641733848768,-0.0003279186785220996,-0.0008607554329665978,-0.0028926436517752174,0.01601773534133083,-7.299112621699986e-05,0.11357960579974818,0.05710192786392809,0.08440503661812904,0.03448153899300341,0.09000000000000002,0.05927959984002518,0.02694098811197576,CNIH4,1.0,1.0,1.0,0.0,1.0,0.0,1,3,1,0.19010964496895616,0
