cell_line,condition,n_cells
RPE1,AARS,56
RPE1,AASDHPPT,61
RPE1,ABCB10,26
RPE1,ABCE1,48
RPE1,ABCF1,82
RPE1,ABT1,24
RPE1,ACD,45
RPE1,ACSS2,81
RPE1,ACTB,232
RPE1,ACTR10,28
RPE1,ACTR6,103
RPE1,ADAT3,286
RPE1,AFG3L2,82
RPE1,AHCTF1,71
RPE1,AKIRIN2,29
RPE1,ALDOA,70
RPE1,ALG1,81
RPE1,ALG13,43
RPE1,ALG14,111
RPE1,ANAPC1,71
RPE1,ANAPC11,65
RPE1,ANAPC13,111
RPE1,ANAPC2,30
RPE1,ANAPC5,40
RPE1,ANKLE2,47
RPE1,ANKRD17,24
RPE1,ANKRD49,92
RPE1,AP2M1,203
RPE1,ARGLU1,91
RPE1,ARHGAP6,50
RPE1,ARL2,193
RPE1,ARPC2,90
RPE1,ARPC3,54
RPE1,ASCC3,118
RPE1,ATIC,85
RPE1,ATL2,69
RPE1,ATP11B,121
RPE1,ATP2A2,135
RPE1,ATP5F1C,41
RPE1,ATP5MF,219
RPE1,ATP6V0B,101
RPE1,ATP6V0D1,91
RPE1,ATP6V1A,76
RPE1,ATP6V1D,52
RPE1,ATP6V1E1,55
RPE1,ATP6V1G1,124
RPE1,ATR,158
RPE1,ATRIP,74
RPE1,ATXN10,55
RPE1,AURKA,31
RPE1,AURKAIP1,26
RPE1,BANF1,27
RPE1,BCAR1,593
RPE1,BCAS2,33
RPE1,BCL2L1,373
RPE1,BDP1,42
RPE1,BET1,67
RPE1,BGLAP,59
RPE1,BNIP1,57
RPE1,BOD1L1,86
RPE1,BRF1,60
RPE1,BRF2,94
RPE1,BRIX1,38
RPE1,BRK1,47
RPE1,BUB1B,102
RPE1,C12orf60,42
RPE1,C1D,51
RPE1,C9orf78,92
RPE1,CABIN1,161
RPE1,CALR,73
RPE1,CAMLG,155
RPE1,CARS,48
RPE1,CASC3,168
RPE1,CAST,18
RPE1,CCAR1,103
RPE1,CCDC137,40
RPE1,CCDC59,44
RPE1,CCDC6,1051
RPE1,CCDC78,492
RPE1,CCDC84,42
RPE1,CCNH,69
RPE1,CCNK,273
RPE1,CCNL1,51
RPE1,CCNQ,40
RPE1,CCT4,55
RPE1,CCT7,54
RPE1,CD2BP2,59
RPE1,CD3EAP,38
RPE1,CDC123,31
RPE1,CDC45,23
RPE1,CDC5L,66
RPE1,CDC6,78
RPE1,CDC7,30
RPE1,CDC73,56
RPE1,CDCA5,84
RPE1,CDIPT,81
RPE1,CDK12,60
RPE1,CDK2,204
RPE1,CENPE,34
RPE1,CENPK,70
RPE1,CENPN,73
RPE1,CENPP,27
RPE1,CEP192,53
RPE1,CEP85,67
RPE1,CFL1,139
RPE1,CHCHD3,42
RPE1,CHCHD4,136
RPE1,CHD4,109
RPE1,CHEK1,49
RPE1,CHMP5,64
RPE1,CHORDC1,142
RPE1,CHTF18,118
RPE1,CIAO1,88
RPE1,CINP,40
RPE1,CKAP5,83
RPE1,CLNS1A,68
RPE1,CLOCK,647
RPE1,CLP1,27
RPE1,CMTR1,80
RPE1,CNOT10,88
RPE1,CNOT11,67
RPE1,CNOT2,62
RPE1,CNOT3,54
RPE1,CNOT9,32
RPE1,COASY,59
RPE1,COG1,66
RPE1,COG4,62
RPE1,COG6,94
RPE1,COMTD1,138
RPE1,COPB1,15
RPE1,COPS2,41
RPE1,COPS4,42
RPE1,COQ4,40
RPE1,COTL1,111
RPE1,COX11,114
RPE1,CPSF1,50
RPE1,CPSF3,173
RPE1,CPSF4,32
RPE1,CPSF6,25
RPE1,CRCP,91
RPE1,CRKL,35
RPE1,CS,99
RPE1,CSE1L,252
RPE1,CSNK2B,68
RPE1,CSTF3,58
RPE1,CTPS1,25
RPE1,CTR9,38
RPE1,CTU2,81
RPE1,CUL2,29
RPE1,CUL3,93
RPE1,CUL7,36
RPE1,CWC15,57
RPE1,CWC25,31
RPE1,CWF19L2,58
RPE1,CXXC1,92
RPE1,CYC1,73
RPE1,CYREN,45
RPE1,DAD1,36
RPE1,DARS,30
RPE1,DAXX,111
RPE1,DCTN3,144
RPE1,DCTN4,110
RPE1,DDB1,74
RPE1,DDX1,121
RPE1,DDX10,32
RPE1,DDX19A,393
RPE1,DDX23,168
RPE1,DDX41,30
RPE1,DDX46,95
RPE1,DDX47,93
RPE1,DDX5,196
RPE1,DDX52,34
RPE1,DDX55,76
RPE1,DDX59,46
RPE1,DENR,77
RPE1,DGCR8,43
RPE1,DHPS,73
RPE1,DHX16,71
RPE1,DHX33,44
RPE1,DHX36,71
RPE1,DHX37,40
RPE1,DHX8,88
RPE1,DHX9,82
RPE1,DKC1,23
RPE1,DLD,71
RPE1,DMAP1,43
RPE1,DNAJC17,73
RPE1,DNAJC8,138
RPE1,DNMT1,102
RPE1,DOLK,121
RPE1,DPAGT1,60
RPE1,DPY19L4,184
RPE1,DR1,37
RPE1,DSN1,38
RPE1,DSTYK,258
RPE1,DTL,47
RPE1,DUT,46
RPE1,DYNC1H1,29
RPE1,DYNC1I2,52
RPE1,DYNLL2,212
RPE1,EARS2,129
RPE1,EBNA1BP2,32
RPE1,ECD,48
RPE1,EDC4,94
RPE1,EEF2,70
RPE1,EEFSEC,35
RPE1,EFR3A,214
RPE1,EHMT2,171
RPE1,EIF1AX,52
RPE1,EIF2B1,100
RPE1,EIF2B5,114
RPE1,EIF2S1,75
RPE1,EIF2S2,30
RPE1,EIF2S3,62
RPE1,EIF3B,109
RPE1,EIF3CL,337
RPE1,EIF3D,49
RPE1,EIF3E,46
RPE1,EIF3I,72
RPE1,EIF3J,64
RPE1,EIF3L,114
RPE1,EIF3M,63
RPE1,EIF4A1,50
RPE1,EIF4A3,20
RPE1,EIF4E,65
RPE1,EIF4G2,150
