experiment_id	display_name	task	role	objective	training_code	inference_or_analysis_code	config	data	checkpoint	result	seeds	status
K562-AE-PATHWAY	Pathway-ordered PatchAE	k562_only	component	Reconstruct pathway-ordered K562 expression	scripts/training/k562_only/train_patchae.py		configs/k562_only/patchae_pathway5000.json	data/k562_only/pathway5000	artifacts/checkpoints/k562_only/patchae_pathway		NA	complete
K562-AE-ORIGINAL	Original-order PatchAE	k562_only	ablation	Control for pathway-aware gene order	scripts/training/k562_only/train_patchae.py		configs/k562_only/patchae_original5000.json	data/k562_only/pathway5000	artifacts/checkpoints/k562_only/patchae_original		NA	complete
K562-MAIN	Full-prior scPLAD three-seed main line	k562_only	main	Generate 272 held-out K562 perturbations	scripts/training/k562_only/train_drdd_lite.py	scripts/inference/k562_only/generate_and_evaluate.py	configs/k562_only/main_seed20260713.json	data/k562_only/pathway5000;data/k562_only/drdd_context	artifacts/checkpoints/k562_only/main/seed*	results/k562_only/main/seed*	20260613,20260713,20260813	complete
K562-ABL-ORDER	Original order plus full prior	k562_only	ablation	Isolate gene-order effects	scripts/training/k562_only/train_drdd_lite.py	scripts/inference/k562_only/generate_and_evaluate.py	configs/k562_only/ablations/original_order_seed20260713.json	data/k562_only/pathway5000	artifacts/checkpoints/k562_only/ablations/original5000_bioprior2342/seed*	results/ablations/k562_only/original_order_seed*	20260613,20260713,20260813	complete
K562-ABL-GR	GO and Reactome only	k562_only	ablation	Measure functional-annotation prior contribution	scripts/training/k562_only/train_drdd_lite.py	scripts/inference/k562_only/generate_and_evaluate.py	configs/k562_only/ablations/go_reactome_seed20260713.json	data/k562_only/pathway5000	artifacts/checkpoints/k562_only/ablations/pathway5000_pathwayonly_go_reactome/seed*	results/ablations/k562_only/go_reactome_seed*	20260613,20260713,20260813	complete
K562-ABL-GRE	GO Reactome and ESM3	k562_only	ablation	Measure protein-sequence prior contribution	scripts/training/k562_only/train_drdd_lite.py	scripts/inference/k562_only/generate_and_evaluate.py	configs/k562_only/ablations/go_reactome_esm3_seed20260713.json	data/k562_only/pathway5000	artifacts/checkpoints/k562_only/ablations/pathway5000_go_reactome_esm3/seed*	results/ablations/k562_only/go_reactome_esm3_seed*	20260613,20260713,20260813	complete
K562-ABL-GRN	GO Reactome and network priors	k562_only	ablation	Measure molecular-network prior contribution	scripts/training/k562_only/train_drdd_lite.py	scripts/inference/k562_only/generate_and_evaluate.py	configs/k562_only/ablations/go_reactome_network_seed20260713.json	data/k562_only/pathway5000	artifacts/checkpoints/k562_only/ablations/pathway5000_go_reactome_network/seed*	results/ablations/k562_only/go_reactome_network_seed*	20260613,20260713,20260813	complete
K562-BL-TXPERT	TxPert	k562_only	baseline	Knowledge-graph perturbation prediction baseline	baselines/TxPert/main.py	baselines/TxPert/eval_quick_corr_official_predictions.py	baselines/TxPert/configs/config-gat.yaml	data/k562_only/pathway5000		results/baselines/k562_only/TxPert	NA	result_bundle_complete
K562-BL-GEARS	GEARS	k562_only	baseline	Graph perturbation prediction baseline	baselines/GEARS	scripts/evaluation/shared/native_metrics.py		data/k562_only/pathway5000		results/baselines/k562_only/GEARS	NA	result_bundle_complete
K562-BL-CELLFLOW	CellFlow	k562_only	baseline	Flow-matching single-cell generation baseline	baselines/CellFlow/scripts/run_replogle_top100_seen.py	scripts/evaluation/shared/native_metrics.py		data/k562_only/pathway5000		results/baselines/k562_only/CellFlow	NA	result_bundle_complete
