task	group	name	server	path	storage
k562_only	main	seed20260613	<PRIVATE_HOST>	<SCPLAD_DATA_ROOT>/scplad/scPLAD_generated/prior_feature_cond_seed20260613_ema100k_full_fixed2000_saveh5ad_20260707	metrics_copied_generated_remote
k562_only	main	seed20260713	<PRIVATE_HOST>	<SCPLAD_DATA_ROOT>/scplad/scPLAD_generated/prior_feature_cond_ema100k_full_fixed2000_saveh5ad_20260707	metrics_copied_generated_remote
k562_only	main	seed20260813	<PRIVATE_HOST>	<SCPLAD_DATA_ROOT>/scplad/scPLAD_generated/prior_feature_cond_seed20260813_ema100k_full_fixed2000_saveh5ad_20260707	metrics_copied_generated_remote
k562_only	ablation	original_order	<PRIVATE_HOST>	<SCPLAD_DATA_ROOT>/scplad/scPLAD_generated/ablation_fixed2000_saveh5ad_20260708	metrics_copied_generated_remote
k562_only	ablation	go_reactome	<PRIVATE_HOST>	<SCPLAD_DATA_ROOT>/scplad/scPLAD_generated/ablation_fixed2000_saveh5ad_20260710	metrics_copied_generated_remote
k562_only	ablation	go_reactome_esm3	<PRIVATE_HOST>	<SCPLAD_DATA_ROOT>/scplad/scPLAD_generated/ablation_fixed2000_saveh5ad_20260711	metrics_copied_generated_remote
k562_only	ablation	go_reactome_network	<PRIVATE_HOST>	<SCPLAD_DATA_ROOT>/scplad/scPLAD_generated/ablation_fixed2000_saveh5ad_20260713	metrics_copied_generated_remote
cross_cell_line	main	seed20260601	<PRIVATE_HOST>	<SCPLAD_DATA_ROOT>/scplad/experiments_transport/txpert_xcell_bioprior_noDepMap_drdd_lite_fixedtau500_film_priorfeature_x0_500k_v1/eval_step300000_k562_all_fixed2000_ddim50_sharded4_saveh5ad_v1	symlink
cross_cell_line	main	seed20260713	<PRIVATE_HOST>	<SCPLAD_DATA_ROOT>/scplad/experiments_transport/txpert_xcell_bioprior_noDepMap_drdd_lite_fixedtau500_film_priorfeature_x0_500k_seed20260713_v1/eval_step300000_k562_all_fixed2000_ddim50_sharded4_saveh5ad_v1	symlink
cross_cell_line	main	seed20260714	<PRIVATE_HOST>	<SCPLAD_DATA_ROOT>/scplad/experiments_transport/txpert_xcell_bioprior_noDepMap_drdd_lite_fixedtau500_film_priorfeature_x0_500k_seed20260714_v1/eval_step300000_k562_all_fixed2000_ddim50_sharded4_saveh5ad_v1	symlink
