condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio,csa_pearson,csa_spearman,n_corr_pairs
AAMP,76,2000,0.9935958305926196,0.9580113950252657,0.2549213672332547,0.10049762314128753,0.9234499970987279,0.8999243269928382,0.9234499970987279,0.42555338937815873,0.47377628733956617,1.113318065445778,0.36012618359838344,0.285638189332641,4950
AARS,38,2000,0.9829002084504802,0.900573002212638,0.6064271940721242,0.42226748507766887,0.8579411562197781,0.8527028833809633,0.8594796041986538,0.46063391043713475,0.4915653054283068,1.0671496032289993,0.36080575117042835,0.3488622840495006,4950
ABCE1,177,2000,0.9837462770183572,0.9273882125895889,0.6699076254839478,0.41566662505674357,0.892095063558249,0.8824706650552744,0.892095063558249,0.5197121227875815,0.5385009315338039,1.036152318872074,0.6953762162064077,0.6585198162106574,4950
ABCF1,159,2000,0.9945071702422748,0.9646134364788722,0.4840237160167311,0.23943317832016814,0.9017970392621694,0.8991344065206129,0.9017970392621694,0.4436649493215194,0.45515575865801794,1.0258997225159971,0.5392728015746215,0.46202359928242165,4950
ABT1,92,2000,0.9946872199575946,0.9705004212186663,0.5181868787671503,0.12516422686915665,0.8712424943958604,0.8802037601692951,0.8712424943958604,0.46077177159994986,0.45695582028033294,0.9917183267899639,0.5594072685886053,0.4978994169063524,4950
ACTB,140,2000,0.9963621152487949,0.980966008487355,0.12394261761559569,0.12276150376598012,0.9115626932628441,0.84646215794117,0.9115626932628441,0.4352532962328246,0.44322782377545045,1.0183215553527816,0.38954617535607017,0.3115624207072993,4950
ACTR6,104,2000,0.9965244196853598,0.9705268282145183,-0.04991592387447224,-0.06639692323985706,0.8889140580232913,0.8761117420465296,0.8889140580232913,0.4195100229922548,0.4354310453051371,1.0379514458791887,0.19781327403828156,0.145580357482572,4950
AHCTF1,161,2000,0.9974928056646712,0.9784993975321001,0.2869051780993192,0.24061914651762276,0.8954606598243078,0.8857857099366103,0.8957278817460698,0.4474613671335514,0.4487712852842024,1.0029274217118858,0.42978622585391624,0.3747012186415218,4851
AKIRIN2,144,2000,0.9976557047147773,0.9779816435808402,0.3010691571285763,0.231544938698775,0.8719183484627848,0.8636234899252146,0.8721785449260683,0.4602235638849919,0.44356461207016756,0.9638024587176246,0.38752470725404303,0.3482019774039584,4851
ALDOA,77,2000,0.9919450153538366,0.944786277327281,0.5118116195509282,0.31270411818419386,0.8608252138132212,0.8699216855691247,0.8608252138132212,0.4711073285960071,0.46283275479948727,0.982435884312098,0.4880631638460402,0.4604771250871062,4950
ALG13,167,2000,0.9980986318970688,0.9830131487104191,0.038942090622196675,0.060576203555279,0.8852312232285144,0.8816367755372824,0.8852312232285144,0.4445407582553624,0.4302562045397156,0.9678666958450003,0.2708739289934511,0.22022762504445942,4950
ANAPC2,237,2000,0.9983429292020801,0.9852132315752408,0.31558654660329055,0.22103979988049546,0.9191413677603194,0.9004509685579279,0.9191413677603194,0.44396109009886203,0.44638579863730415,1.0054615112402916,0.4299417271130253,0.3971522088915143,4950
AP2S1,96,2000,0.9896093082392023,0.9413331375842546,0.3240497990724104,0.1415043447674336,0.9186003335623709,0.9156266435333911,0.9186003335623709,0.4411153832543864,0.4883327266763173,1.107040774690674,0.4280568943132796,0.3873797211583614,4950
ARGLU1,367,2000,0.9975604883922808,0.9831029828378378,0.08632021707088336,0.03971345461654025,0.9137032050530037,0.8810274981780211,0.9137032050530037,0.4380039510474961,0.4425731973815655,1.0104319520835883,0.4602760962081333,0.31153418818812945,4950
ARL2,70,2000,0.9955598019638904,0.9650400321295142,0.10323621195688157,0.10009371909100245,0.8454587509474978,0.7371502263577955,0.8457110513804872,0.4680512736093582,0.4288347885471482,0.9162132517620855,0.23634201060043672,0.2011359029588884,4851
ATF4,52,2000,0.9952176051418246,0.9567629243165519,0.0974761187589415,0.0513304570001648,0.8771136433943568,0.8779695026576161,0.8776372933307117,0.4204198135258652,0.44172766053571816,1.0506822842727872,0.13645397343333643,0.09709337797212528,4851
ATP6V0B,134,2000,0.9972161144434165,0.9794871182669216,0.30411733932485935,0.18882630964732838,0.9051164726482688,0.873657441817368,0.9051164726482688,0.4519343122150883,0.45211032988041816,1.0003894540792282,0.5075692624414021,0.4799633495392127,4950
ATP6V1A,89,2000,0.9956554903473089,0.9702124444536824,0.2194442766745482,0.13981520477339027,0.9160931171367482,0.871064860650224,0.9160931171367482,0.4358532842559861,0.4618765930363682,1.0597065552178622,0.3559393476057547,0.3163625043084195,4950
ATR,133,2000,0.9967551642129677,0.9703039035289636,0.38530097402351576,0.3039909744176308,0.9006021012808051,0.9263730764986892,0.9008708575032105,0.442292699415619,0.45901636512262983,1.0378112850404138,0.5013685372734893,0.4908863484030885,4851
ATRIP,183,2000,0.9973526340378124,0.9770352328440906,0.3330680716263336,0.26910504426963666,0.9044936737615811,0.9229086012357044,0.9044936737615811,0.4435664853432299,0.45483532218277284,1.0254050451462147,0.47022731815032603,0.43628964490025224,4950
BCAS2,197,2000,0.9927913628618874,0.9574310636945859,0.5474421035702659,0.38735220741542614,0.8996974460505487,0.8802131584005121,0.8996974460505487,0.4625484116153174,0.47493327175701044,1.0267752511152075,0.5754163727714662,0.5522892544737801,4950
BDP1,277,2000,0.9835778749137227,0.9163489142189826,0.4289245854930722,0.23463592153242493,0.8964569848103594,0.882849174998213,0.8967245040538122,0.48075043360540437,0.5204236355363471,1.0825234640105836,0.47326708298257786,0.42765308280047354,4851
BGLAP,236,2000,0.9977437863502667,0.9845035343218196,0.3502062575480222,0.23367683301617548,0.8721179649641225,0.7789247341936203,0.8721179649641225,0.47786257366665363,0.43731362385203554,0.9151451459047395,0.47331429300435085,0.429658721402872,4950
BNIP1,107,2000,0.9944632637206299,0.9673226454590383,0.3903348497293134,0.27356535218722655,0.9047741802029406,0.8784744164891656,0.9047741802029406,0.45455305834516424,0.4667772728293596,1.0268927994011756,0.569650709223963,0.5312788238333146,4950
BRD8,68,2000,0.99322696830944,0.9632950872838482,-0.013295488228775462,0.014676484169182182,0.9022500755006465,0.7643938603242497,0.9025193235088532,0.4085299377282971,0.4300932789506611,1.0527827429598997,0.2733891055501167,0.21579563158809592,4851
BRIX1,95,2000,0.9882652376650337,0.9415466190924074,0.4253172750618203,0.25907837039362225,0.8395784266694072,0.8579572194311126,0.8395784266694072,0.49943905789271764,0.4901161543731754,0.9813332313812005,0.43173019188738715,0.4223341800954484,4950
BUB3,246,2000,0.9972939818386732,0.9808530143922544,0.364296204612932,0.24331754417801033,0.8809827726698177,0.8371940935969504,0.8809827726698177,0.4724591845659837,0.44794693698957666,0.9481177255976048,0.5141253911423684,0.4686240369345035,4950
BYSL,87,2000,0.9926594249981874,0.9622757348678711,0.6117157967506189,0.23986079227147064,0.8941861158396568,0.9082153004603947,0.8941861158396568,0.46402872582733073,0.47192166153835263,1.0170095623430506,0.6167710086990713,0.5521095179027669,4950
CCDC59,100,2000,0.9956037720156307,0.9741026757360738,0.3606111725030419,0.06976566096058408,0.8746468037485361,0.860714306531958,0.8749078144330329,0.45909917924313115,0.4470294154587682,0.9737098778060115,0.5935520511050811,0.5594471661106923,4851
CCDC84,77,2000,0.9946355048794012,0.9649468805595182,0.24172428488590772,0.21079747598747475,0.8920224871517146,0.7983678590951463,0.8922886830595486,0.43165198243478753,0.4383465285461834,1.0155091050863323,0.2952575536400684,0.24482243367762757,4950
CCNH,75,2000,0.9930843823328743,0.960561751014096,0.32331994491574784,0.160315962483711,0.8429593709148361,0.839465505627285,0.8429593709148361,0.47593026828545393,0.4551446830119696,0.956326385981651,0.49707659102361373,0.4326847140008539,4950
CCNK,211,2000,0.997882251354026,0.9851626657466972,0.04098959255395475,0.05232407151646868,0.8763800119787858,0.8664079183391857,0.8763800119787858,0.45184965441470215,0.43193992307744594,0.9559372443862584,0.5055684730696461,0.3895374400691772,4950
CCT4,217,2000,0.9841924252691658,0.9334444745205654,0.3312606384040757,0.27885250972678016,0.9004566730015547,0.8731887574293927,0.9004566730015547,0.4533396624224284,0.48535847668812476,1.0706287276703654,0.3574416006038745,0.30425341523018695,4950
CCT7,141,2000,0.9801287707639261,0.9063624061865744,0.35846402222249335,0.268410952569423,0.8824476983578922,0.858916844187883,0.8824476983578922,0.4706189033079688,0.5034396808806182,1.069739584713995,0.30134963756533,0.2550641785805627,4950
CD3EAP,85,2000,0.9943088280010426,0.965742232638179,0.41165249180979524,0.13592732743507888,0.8859734260788714,0.8805269559638831,0.886237816835684,0.4588831626821249,0.4612962544063993,1.0052585971069068,0.33898619441810374,0.28099312629103423,4851
CDC123,96,2000,0.9938889977451543,0.960238127672267,0.44906552709688013,0.2948160864223079,0.9128111920016484,0.9370979742814457,0.9128111920016484,0.4378110053004399,0.4718418697110084,1.0777295527551207,0.4501920343194972,0.37767190126322636,4950
CDC5L,77,2000,0.9860961225863303,0.9131043883821418,0.690311368935069,0.5613435297439527,0.8808944385599367,0.9181613374584344,0.8814203456874351,0.48190618347518854,0.5252720500869474,1.0899881703097298,0.5930746416361249,0.6022827005968211,4950
