condition,n_true_cells,n_pred_cells,top100_de_overlap
AAMP,76,2000,0.3
AARS,38,2000,0.38
ABCE1,177,2000,0.61
ABCF1,159,2000,0.44
ABT1,92,2000,0.62
ACTB,140,2000,0.12
ACTR6,104,2000,0.16
AHCTF1,161,2000,0.28
AKIRIN2,144,2000,0.27
ALDOA,77,2000,0.37
ALG13,167,2000,0.19
ANAPC2,237,2000,0.29
AP2S1,96,2000,0.37
ARGLU1,367,2000,0.21
ARL2,70,2000,0.18
ATF4,52,2000,0.16
ATP6V0B,134,2000,0.34
ATP6V1A,89,2000,0.26
ATR,133,2000,0.31
ATRIP,183,2000,0.26
BCAS2,197,2000,0.47
BDP1,277,2000,0.42
BGLAP,236,2000,0.31
BNIP1,107,2000,0.31
BRD8,68,2000,0.14
BRIX1,95,2000,0.36
BUB3,246,2000,0.35
BYSL,87,2000,0.6
CCDC59,100,2000,0.51
CCDC84,77,2000,0.19
CCNH,75,2000,0.29
CCNK,211,2000,0.19
CCT4,217,2000,0.28
CCT7,141,2000,0.28
CD3EAP,85,2000,0.46
CDC123,96,2000,0.33
CDC5L,77,2000,0.52
CDC6,153,2000,0.4
CDC73,140,2000,0.32
CENPE,171,2000,0.32
CENPK,93,2000,0.51
CEP192,184,2000,0.3
CHCHD4,132,2000,0.37
CHD4,33,2000,0.21
CHEK1,205,2000,0.26
CHMP1A,71,2000,0.25
CHMP2A,61,2000,0.27
CINP,73,2000,0.19
CKAP5,159,2000,0.27
CLNS1A,46,2000,0.29
CLP1,51,2000,0.28
CMTR1,138,2000,0.66
CNOT2,64,2000,0.26
CNOT3,303,2000,0.23
COPB1,56,2000,0.37
COPS2,44,2000,0.21
COPS4,253,2000,0.3
COX11,103,2000,0.19
COX17,129,2000,0.28
COX7C,154,2000,0.33
CPSF1,48,2000,0.25
CPSF3,575,2000,0.26
CPSF4,57,2000,0.33
CPSF6,43,2000,0.26
CSE1L,373,2000,0.31
CSNK1A1,131,2000,0.19
CSNK2B,103,2000,0.3
CSTF3,59,2000,0.31
CTR9,197,2000,0.38
CUL2,84,2000,0.27
CUL7,33,2000,0.33
CWC15,144,2000,0.35
CWC22,28,2000,0.39
CWF19L2,187,2000,0.35
CXXC1,115,2000,0.22
CYCS,162,2000,0.29
DAD1,71,2000,0.16
DAP3,141,2000,0.25
DARS,60,2000,0.41
DDB1,85,2000,0.26
DDX10,97,2000,0.61
DDX18,112,2000,0.62
DDX23,126,2000,0.38
DDX41,259,2000,0.4
DDX46,132,2000,0.35
DDX47,313,2000,0.64
DDX5,130,2000,0.23
DDX52,106,2000,0.67
DDX55,150,2000,0.23
DDX59,152,2000,0.16
DENR,228,2000,0.14
DHX16,305,2000,0.41
DHX33,127,2000,0.27
DHX36,248,2000,0.21
DHX37,202,2000,0.62
DIS3,40,2000,0.57
DKC1,51,2000,0.53
DLD,283,2000,0.27
DMAP1,71,2000,0.33
DNAJC17,30,2000,0.44
DNAJC8,260,2000,0.17
DNM1L,144,2000,0.23
DNMT1,146,2000,0.21
DNTTIP2,235,2000,0.68
DR1,103,2000,0.17
DSN1,234,2000,0.44
DTL,87,2000,0.3
DUT,46,2000,0.38
DYNC1H1,217,2000,0.32
DYNC1I2,239,2000,0.37
EBNA1BP2,68,2000,0.39
ECD,69,2000,0.39
EEF2,196,2000,0.35
EIF1AX,95,2000,0.4
EIF2B1,162,2000,0.37
EIF2B5,412,2000,0.45
EIF2S1,208,2000,0.46
EIF2S2,76,2000,0.32
EIF2S3,46,2000,0.42
EIF3B,23,2000,0.44
EIF3CL,44,2000,0.38
EIF3D,144,2000,0.45
EIF3E,171,2000,0.44
EIF3I,44,2000,0.44
EIF3J,72,2000,0.22
EIF3M,209,2000,0.51
EIF4E,324,2000,0.49
EIF4G2,205,2000,0.3
EIF5,94,2000,0.29
EIF6,107,2000,0.34
ERCC2,116,2000,0.24
ESF1,121,2000,0.47
ETF1,40,2000,0.44
EXOC7,32,2000,0.33
EXOSC10,77,2000,0.54
EXOSC2,209,2000,0.54
EXOSC3,44,2000,0.52
EXOSC7,84,2000,0.26
FAM136A,40,2000,0.18
FAM32A,332,2000,0.45
FARSA,128,2000,0.38
FBL,124,2000,0.65
FBXO5,233,2000,0.23
FTSJ3,153,2000,0.31
GARS,148,2000,0.27
GBF1,155,2000,0.41
GFER,198,2000,0.21
GFM1,230,2000,0.28
GINS2,130,2000,0.3
GINS3,98,2000,0.27
GLE1,54,2000,0.33
GMPS,94,2000,0.25
GNL3,29,2000,0.32
GNL3L,66,2000,0.32
GPN1,76,2000,0.4
GPN2,42,2000,0.32
GPN3,250,2000,0.5
GRB2,53,2000,0.15
GRSF1,146,2000,0.2
GTF2B,34,2000,0.29
GTF2E1,176,2000,0.28
GTF2F2,52,2000,0.33
HARS2,62,2000,0.3
HAUS5,153,2000,0.26
HBS1L,120,2000,0.46
HDAC7,148,2000,0.32
HEATR1,216,2000,0.55
HGS,96,2000,0.34
HMGCS1,216,2000,0.34
HNRNPH1,92,2000,0.25
HNRNPM,128,2000,0.31
HSCB,85,2000,0.15
HSPA5,202,2000,0.44
HSPA8,146,2000,0.32
HSPA9,374,2000,0.48
HSPE1,25,2000,0.39
IARS,45,2000,0.34
ICE1,319,2000,0.47
IGBP1,245,2000,0.45
IK,123,2000,0.45
ILF2,53,2000,0.2
IMPDH2,70,2000,0.25
INO80B,115,2000,0.12
INTS3,103,2000,0.31
INTS4,47,2000,0.46
INTS9,222,2000,0.48
IPO9,173,2000,0.19
ISCU,32,2000,0.38
ISG20L2,72,2000,0.35
KANSL1,41,2000,0.25
KARS,45,2000,0.3
KAT8,254,2000,0.17
KIF20A,95,2000,0.16
KPNB1,214,2000,0.37
KRI1,51,2000,0.61
KRR1,398,2000,0.69
LAS1L,75,2000,0.25
LETM1,110,2000,0.28
LSG1,106,2000,0.4
LSM3,64,2000,0.34
LSM4,68,2000,0.44
LSM5,139,2000,0.33
LSM6,423,2000,0.49
LSM7,126,2000,0.4
MAD2L1,103,2000,0.19
MAK16,183,2000,0.4
MARS,81,2000,0.41
MAX,161,2000,0.33
MCM2,114,2000,0.35
MCM3,104,2000,0.25
MCM3AP,100,2000,0.27
MCM4,69,2000,0.22
MCM6,84,2000,0.31
MED10,454,2000,0.33
MED11,227,2000,0.37
MED17,143,2000,0.39
MED19,526,2000,0.4
MED22,279,2000,0.5
MED26,99,2000,0.3
MED28,66,2000,0.32
MED29,86,2000,0.39
MED30,283,2000,0.43
MED4,56,2000,0.41
METAP2,131,2000,0.16
MICOS10,83,2000,0.24
MIOS,160,2000,0.25
MNAT1,79,2000,0.21
MPHOSPH10,38,2000,0.58
MRGBP,68,2000,0.21
