metric	condition_mean	condition_median	cell_weighted_mean
mean_pcc	0.990613368529349	0.9924438098672212	0.9907609504267129
mean_spearman	0.9508643333417381	0.9589069037922963	0.9541342237937843
delta_pcc	0.3895113586568833	0.39136395651437317	0.41737628387649595
delta_spearman	0.2538238615570213	0.23516107313848333	0.27981417914449785
pra_all_genes	0.8773177965649755	0.8854406473148189	0.8794407789640069
pra_top100_true_de	0.8505017069546557	0.8636638590176386	0.8535902446778992
pra_nonzero_genes	0.8776991450106679	0.8856337390278678	0.8795758524579864
true_range_mean	0.46103981538428856	0.45554961237460734	0.46785440726171545
pred_range_mean	0.46702792823869044	0.4620411275982029	0.46964342532442954
range_width_ratio	1.0152124696614218	1.0119405812521398	1.0060680275198002
csa_pearson	0.4516161855820105	0.450968300888277	0.4933473174829536
csa_spearman	0.4092730815318492	0.4068132429094581	0.45220550005418747
