condition,n_pred_cells,n_true_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
AAMP,2000,76,0.9935958305926196,0.9580113950252657,0.2549213672332547,0.10049762314128753
AARS,2000,38,0.9829002084504802,0.900573002212638,0.6064271940721242,0.42226748507766887
ABCE1,2000,177,0.9837462770183572,0.9273882125895889,0.6699076254839478,0.41566662505674357
ABCF1,2000,159,0.9945071702422748,0.9646134364788722,0.4840237160167311,0.23943317832016814
ABT1,2000,92,0.9946872199575946,0.9705004212186663,0.5181868787671503,0.12516422686915665
ACTB,2000,140,0.9963621152487949,0.980966008487355,0.12394261761559569,0.12276150376598012
ACTR6,2000,104,0.9965244196853598,0.9705268282145183,-0.04991592387447224,-0.06639692323985706
AHCTF1,2000,161,0.9974928056646712,0.9784993975321001,0.2869051780993192,0.24061914651762276
AKIRIN2,2000,144,0.9976557047147773,0.9779816435808402,0.3010691571285763,0.231544938698775
ALDOA,2000,77,0.9919450153538366,0.944786277327281,0.5118116195509282,0.31270411818419386
ALG13,2000,167,0.9980986318970688,0.9830131487104191,0.038942090622196675,0.060576203555279
ANAPC2,2000,237,0.9983429292020801,0.9852132315752408,0.31558654660329055,0.22103979988049546
AP2S1,2000,96,0.9896093082392023,0.9413331375842546,0.3240497990724104,0.1415043447674336
ARGLU1,2000,367,0.9975604883922808,0.9831029828378378,0.08632021707088336,0.03971345461654025
ARL2,2000,70,0.9955598019638904,0.9650400321295142,0.10323621195688157,0.10009371909100245
ATF4,2000,52,0.9952176051418246,0.9567629243165519,0.0974761187589415,0.0513304570001648
ATP6V0B,2000,134,0.9972161144434165,0.9794871182669216,0.30411733932485935,0.18882630964732838
ATP6V1A,2000,89,0.9956554903473089,0.9702124444536824,0.2194442766745482,0.13981520477339027
ATR,2000,133,0.9967551642129677,0.9703039035289636,0.38530097402351576,0.3039909744176308
ATRIP,2000,183,0.9973526340378124,0.9770352328440906,0.3330680716263336,0.26910504426963666
BCAS2,2000,197,0.9927913628618874,0.9574310636945859,0.5474421035702659,0.38735220741542614
BDP1,2000,277,0.9835778749137227,0.9163489142189826,0.4289245854930722,0.23463592153242493
BGLAP,2000,236,0.9977437863502667,0.9845035343218196,0.3502062575480222,0.23367683301617548
BNIP1,2000,107,0.9944632637206299,0.9673226454590383,0.3903348497293134,0.27356535218722655
BRD8,2000,68,0.99322696830944,0.9632950872838482,-0.013295488228775462,0.014676484169182182
BRIX1,2000,95,0.9882652376650337,0.9415466190924074,0.4253172750618203,0.25907837039362225
BUB3,2000,246,0.9972939818386732,0.9808530143922544,0.364296204612932,0.24331754417801033
BYSL,2000,87,0.9926594249981874,0.9622757348678711,0.6117157967506189,0.23986079227147064
CCDC59,2000,100,0.9956037720156307,0.9741026757360738,0.3606111725030419,0.06976566096058408
CCDC84,2000,77,0.9946355048794012,0.9649468805595182,0.24172428488590772,0.21079747598747475
CCNH,2000,75,0.9930843823328743,0.960561751014096,0.32331994491574784,0.160315962483711
CCNK,2000,211,0.997882251354026,0.9851626657466972,0.04098959255395475,0.05232407151646868
CCT4,2000,217,0.9841924252691658,0.9334444745205654,0.3312606384040757,0.27885250972678016
CCT7,2000,141,0.9801287707639261,0.9063624061865744,0.35846402222249335,0.268410952569423
CD3EAP,2000,85,0.9943088280010426,0.965742232638179,0.41165249180979524,0.13592732743507888
CDC123,2000,96,0.9938889977451543,0.960238127672267,0.44906552709688013,0.2948160864223079
CDC5L,2000,77,0.9860961225863303,0.9131043883821418,0.690311368935069,0.5613435297439527
CDC6,2000,153,0.9908478244521581,0.9424875967681862,0.42742817057948396,0.2288371638147518
CDC73,2000,140,0.9839185524871479,0.931885838868619,0.4764787054502674,0.4334355169158191
CENPE,2000,171,0.9969647440711145,0.9782366514281626,0.2633720483376131,0.2043882298184969
CENPK,2000,93,0.9946261890699367,0.9560048727636543,0.5934485945237746,0.46511354381496256
CEP192,2000,184,0.997481229823839,0.9802656792176698,0.3401499145412339,0.2539239408257992
CHCHD4,2000,132,0.9939308667284658,0.9650118418330375,0.5216909431898074,0.38286259149212387
CHD4,2000,33,0.9917720402531318,0.9346247065000864,0.11569840770750066,0.0868213128612809
CHEK1,2000,205,0.9929369546779595,0.9652290807941595,0.25916604370000346,0.28091140310214874
CHMP1A,2000,71,0.9947423161687792,0.9667682607223161,0.18959912295232262,0.15165312264233008
CHMP2A,2000,61,0.9913624780268477,0.9445835982176244,0.40021969298812193,0.3285270894156473
CINP,2000,73,0.9961568273270215,0.9701504358832911,0.13798665147544398,0.07706065473919718
CKAP5,2000,159,0.9974206768841706,0.9792240105324302,0.32176555872360163,0.2538087352085194
CLNS1A,2000,46,0.9925274132471386,0.9508273396233986,0.31712571113820415,0.2827340296955424
CLP1,2000,51,0.9942068429718665,0.9568755567879869,0.19042184573546522,0.12066385984473188
CMTR1,2000,138,0.9886680452620389,0.978180283261281,0.4753527546683801,-0.021452217892898768
CNOT2,2000,64,0.99278093314131,0.9592297576735198,0.2923004766808039,0.15187360002895695
CNOT3,2000,303,0.9891857060665871,0.9570247760688185,0.32494136757579084,0.2086421884745814
COPB1,2000,56,0.9763359995347612,0.859083994417099,0.5064818510453789,0.31576823521318365
COPS2,2000,44,0.9906771640340549,0.9314868439765556,0.21383770808826566,0.16917329392784214
COPS4,2000,253,0.9956272350634874,0.9715067154261734,0.2806979443544392,0.2287188586890785
COX11,2000,103,0.9976830717343912,0.977510915302104,0.17746480530584072,0.1402379811593209
COX17,2000,129,0.997971315277565,0.9786029796742874,0.2645646106904794,0.17509107939506152
COX7C,2000,154,0.9981295354142572,0.9813683688371707,0.43235479294582,0.2894695851495808
CPSF1,2000,48,0.9915762358976,0.943218347442441,0.22506166135343142,0.1541736560586249
CPSF3,2000,575,0.9930300173887738,0.9719589995908183,0.28541997483562787,0.23032112196081295
CPSF4,2000,57,0.9862195344702673,0.9315179179073515,0.3205224977942699,0.27210626625783035
CPSF6,2000,43,0.9822538161736917,0.9105894533889588,0.2790207525576766,0.1567746444669994
CSE1L,2000,373,0.9783662110740877,0.9021381783412638,0.4428295145843234,0.3107761892341993
CSNK1A1,2000,131,0.9971295814314546,0.9756224974373122,0.16166046817016622,0.10602150850194483
CSNK2B,2000,103,0.9923194223877212,0.9513227008372616,0.2148494401850188,0.16068022800190207
CSTF3,2000,59,0.9909056347999113,0.9457091886010434,0.3134289346905387,0.21233494302941397
CTR9,2000,197,0.9824314774389011,0.9279182664403165,0.42480178354882797,0.41747749021378494
CUL2,2000,84,0.995527833495756,0.9688456342155226,0.16098368968789956,0.07403374965349341
CUL7,2000,33,0.9876353079210656,0.9115789592268513,0.4205146806418331,0.2618769550110161
CWC15,2000,144,0.9902012364784604,0.938766582139704,0.6496548673911035,0.5891091623463292
CWC22,2000,28,0.9788443983179518,0.8719334470065443,0.5837159956346857,0.47187656789745647
CWF19L2,2000,187,0.9949312888809331,0.9701149472633144,0.5223495551466565,0.4275914250644852
CXXC1,2000,115,0.992412188225814,0.9704085030159596,0.10703445576417106,0.0572011116511751
CYCS,2000,162,0.9971903990558556,0.9823634021559906,0.24999873046952678,0.1966355226376747
DAD1,2000,71,0.9928393039974951,0.9661055942392944,-0.006125069795082432,0.038578585931486
DAP3,2000,141,0.9975417146299359,0.9805477485006305,0.3268671148698404,0.18769286295096246
DARS,2000,60,0.9872225095695395,0.913783027205906,0.5828876483446712,0.36758435854219945
DDB1,2000,85,0.9954063723579274,0.9670118302111554,0.30589980335986083,0.1670564147659257
DDX10,2000,97,0.9935368782318184,0.9613721415072987,0.6058160868087954,0.2553858337729736
DDX18,2000,112,0.9887430044548035,0.9537217936157428,0.7159970982473902,0.45345227721432874
DDX23,2000,126,0.9913155411119089,0.9437144824272877,0.583550066578446,0.46803579907214826
DDX41,2000,259,0.9896746753342703,0.9386893636614256,0.7085954794600869,0.6986109895966958
DDX46,2000,132,0.9862283758024767,0.9296708205026202,0.4612407474102354,0.37549937348096013
DDX47,2000,313,0.9899943325287899,0.9653465103596903,0.6945987404480418,0.42545141046841334
DDX5,2000,130,0.9973049676967299,0.9794316954373552,0.03253649112631075,0.05273754141178831
DDX52,2000,106,0.9934731579245717,0.9673381624366565,0.6008176563105262,0.2181246520178135
DDX55,2000,150,0.9967301816397799,0.9787571407083245,0.1422323211428675,0.0863705934258424
DDX59,2000,152,0.9980864160786563,0.982001597318651,0.20179992688398848,0.15854451728734525
