model,context,condition,n_true_cells,n_pred_cells,n_tfs,tf_activity_mean_pcc,tf_activity_mean_spearman,tf_activity_delta_pcc,tf_activity_delta_spearman,tf_activity_topk_overlap,tf_activity_auprc
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,AAMP,76,2000,86,0.9964594250209974,0.9946978631067501,0.7510936203999619,0.723779423557715,0.52,0.6557900386749406
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,AARS,38,2000,86,0.9787810631855276,0.9734704467191849,0.6590681838926232,0.6694938440492476,0.52,0.5881592461632016
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,AATF,254,2000,86,0.9913525937089118,0.9896598896174347,0.28974917550365603,0.33517618755601675,0.4,0.37881643089650613
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ABCB7,192,2000,86,0.9978627487071492,0.9963205811594886,0.36278327199885885,0.36112080758526344,0.36,0.3716895205401568
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ABCE1,177,2000,86,0.9835848978162686,0.9791310910892023,0.8046981429333113,0.7860653804424736,0.64,0.6596650710984909
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ABCF1,159,2000,86,0.9940186817881523,0.9920939666965422,0.7975498882130042,0.740855700740601,0.64,0.7569958966832326
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ABT1,92,2000,86,0.9917620035249015,0.9892447756969668,0.074980111343273,0.08993820463229397,0.52,0.5365296976640344
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ACTB,140,2000,86,0.9969300644832635,0.9968489079673568,-0.03468779651663355,0.026237086655030897,0.32,0.3330345336294071
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ACTL6A,45,2000,86,0.9778217669034514,0.9764894570498608,-0.19548113536502643,-0.0796358318788622,0.32,0.36076893513998043
TxPert_official_cell_gat_k562_all_fixed2000_trrustTF,K562,ACTR6,104,2000,86,0.9972804815869217,0.9968866455964902,0.1328743767035137,0.15958299919807536,0.32,0.3114303212417129
