tf,matched_targets,positive_edges,negative_edges
APC,3,0,3
AR,14,6,8
ATF3,4,1,3
ATF4,8,6,2
ATF5,3,2,1
ATF6,4,4,0
ATM,7,3,4
BCL6,5,1,4
BRCA1,10,8,2
BTF3,4,2,2
CEBPA,3,2,1
CREB1,7,6,1
CREB5,3,1,2
CREM,3,0,3
CTNNB1,3,2,1
DDIT3,7,3,4
E2F1,32,28,4
E2F4,5,1,4
EGR1,10,10,0
ELK1,3,3,0
EP300,5,3,2
ESR1,12,8,4
EZH2,4,1,3
FOS,7,5,2
FOXM1,3,3,0
FOXO4,3,2,1
GATA1,3,2,1
HDAC1,7,0,7
HDAC2,4,0,4
HDAC4,3,2,1
HDAC9,5,0,5
HES1,3,1,2
HIC1,4,1,3
HIF1A,12,8,4
HSF1,5,4,1
HSF2,3,1,2
ING4,4,4,0
IRF1,6,2,4
IRF9,3,3,0
JUN,10,9,1
JUND,3,2,1
KAT2B,4,3,1
KLF4,6,2,4
KLF5,4,4,0
MYB,3,3,0
MYC,21,19,2
MYCN,14,13,1
NFE2L2,4,4,0
NFKB1,14,13,1
NFYA,4,4,0
NR1H4,4,4,0
NR1I2,5,3,2
NR3C1,9,3,6
NR4A1,3,2,1
NRF1,3,3,0
PGR,3,2,1
PITX1,4,0,4
PML,5,5,0
POU2F1,3,3,0
PPARD,3,3,0
PPARG,7,4,3
PTTG1,6,6,0
RB1,8,1,7
RELA,19,17,2
RUNX1,4,1,3
RUNX3,11,4,7
SIRT1,12,4,8
SMAD7,4,2,2
SP1,46,41,5
SP3,8,6,2
STAT1,4,2,2
STAT3,19,16,3
TFAP2A,6,6,0
TFDP1,6,6,0
TNFAIP3,3,0,3
TP53,34,9,25
TWIST1,9,3,6
TWIST2,8,2,6
USF1,6,6,0
USF2,7,7,0
VHL,4,1,3
WT1,6,3,3
XPC,3,1,2
YBX1,6,1,5
YY1,10,8,2
ZNF382,6,0,6
