condition,cell_line,n_true_cells
ABCB10,RPE1,26
ACTR10,RPE1,28
ATR,RPE1,158
BCAS2,RPE1,33
CCNH,RPE1,69
CCNQ,RPE1,40
CDC73,RPE1,56
CHMP5,RPE1,64
CLNS1A,RPE1,68
CTU2,RPE1,81
CWF19L2,RPE1,58
EIF3L,RPE1,114
FEN1,RPE1,47
FNBP4,RPE1,114
GLRX3,RPE1,79
GRWD1,RPE1,69
GTF2H2,RPE1,47
GTF3A,RPE1,32
HNRNPK,RPE1,69
HSPH1,RPE1,25
KIAA0586,RPE1,52
KLF7,RPE1,46
LRP5,RPE1,104
MCM3AP,RPE1,70
NAA35,RPE1,308
NACA,RPE1,25
NCBP1,RPE1,28
NUP35,RPE1,64
PCM1,RPE1,27
PHAX,RPE1,108
PI4KA,RPE1,68
PPP1R37,RPE1,347
PPP2CA,RPE1,94
PSMB3,RPE1,35
RPL21,RPE1,27
RPN2,RPE1,64
SHOC2,RPE1,55
SLC39A9,RPE1,115
TAF11,RPE1,113
TBCE,RPE1,125
TCOF1,RPE1,32
TMEM258,RPE1,62
TMX2,RPE1,137
TTK,RPE1,76
UBAP1,RPE1,30
UBE2L3,RPE1,118
UBE2N,RPE1,103
UQCRQ,RPE1,63
ZNF292,RPE1,129
ZNHIT1,RPE1,34
