condition,cell_line,n_true_cells
ADAT2,hepg2,29
ANAPC5,hepg2,57
ARID3A,hepg2,17
ATP5ME,hepg2,31
ATP6V1E1,hepg2,26
ATP6V1F,hepg2,35
CARS,hepg2,23
CEP85,hepg2,57
CHTOP,hepg2,36
COG1,hepg2,53
CWC22,hepg2,31
CYREN,hepg2,39
DARS,hepg2,41
FASN,hepg2,28
FBL,hepg2,27
FTSJ3,hepg2,27
GFM1,hepg2,717
HAUS8,hepg2,53
HECTD1,hepg2,37
HNRNPDL,hepg2,41
LAMTOR3,hepg2,29
LSM3,hepg2,29
MRPL14,hepg2,44
MRPL28,hepg2,27
MRPS23,hepg2,39
NSUN4,hepg2,50
NUBP2,hepg2,51
OIP5,hepg2,40
PAXBP1,hepg2,77
PDHA1,hepg2,55
PNN,hepg2,141
PSMD6,hepg2,26
PSMD9,hepg2,23
RAB18,hepg2,22
RBM25,hepg2,21
RBM8A,hepg2,13
RFC2,hepg2,50
RPS25,hepg2,30
SDC1,hepg2,59
SUPT5H,hepg2,29
TAF1C,hepg2,40
TARDBP,hepg2,190
TGS1,hepg2,48
TMEM242,hepg2,202
URB1,hepg2,74
WDR33,hepg2,46
WDR83OS,hepg2,44
YEATS2,hepg2,41
ZNF574,hepg2,62
ZNHIT2,hepg2,67
