condition,cell_line,n_true_cells
ALG13,jurkat,98
BRF2,jurkat,57
CARS,jurkat,62
CDC5L,jurkat,21
CHEK1,jurkat,21
CHMP4B,jurkat,69
COX17,jurkat,71
COX7B,jurkat,46
CYREN,jurkat,78
DHX36,jurkat,106
EIF3D,jurkat,48
EIF3M,jurkat,90
GINS2,jurkat,155
GLB1,jurkat,107
GLRX3,jurkat,60
GNL3L,jurkat,69
HMGB3,jurkat,68
HSPA9,jurkat,47
KIAA0586,jurkat,62
MAP2K7,jurkat,28
MED11,jurkat,93
MED4,jurkat,194
MYBBP1A,jurkat,100
NUP85,jurkat,38
PABPC1,jurkat,39
PAM16,jurkat,68
PIGH,jurkat,55
POLR3H,jurkat,50
PPP1R2,jurkat,97
PPP1R37,jurkat,469
PPP4R2,jurkat,75
RAMAC,jurkat,92
RBM42,jurkat,25
RPL19,jurkat,22
RPL35,jurkat,62
RPL38,jurkat,27
RPS3,jurkat,77
SF3B1,jurkat,22
SMG8,jurkat,93
SRP19,jurkat,75
SSU72,jurkat,223
TGS1,jurkat,147
TIMM22,jurkat,68
TIMM23B,jurkat,244
TOMM20,jurkat,54
TPP2,jurkat,54
TSG101,jurkat,30
UFM1,jurkat,58
VPS13D,jurkat,110
ZC3H3,jurkat,88
