condition,n_pred_cells,txpert_source_cells,delta_l2,generated_mean,generated_std
CEP192,2000,2000,2.555368661880493,0.2536314129829407,0.45309290289878845
COPS2,2000,2000,2.575388193130493,0.25695180892944336,0.4478868842124939
COX11,2000,2000,1.4715193510055542,0.25511184334754944,0.4549180567264557
CPSF4,2000,2000,3.700263023376465,0.24925200641155243,0.44724011421203613
CSTF3,2000,2000,3.5119526386260986,0.251218318939209,0.44623422622680664
CUL2,2000,2000,2.3501570224761963,0.2573731243610382,0.44449591636657715
DSN1,2000,2000,3.603708505630493,0.25486433506011963,0.44310349225997925
DYNC1I2,2000,2000,2.6437828540802,0.2544269561767578,0.44882771372795105
EIF2B1,2000,2000,3.5871896743774414,0.25132763385772705,0.458137571811676
EIF3D,2000,2000,6.802552223205566,0.23977312445640564,0.4644339084625244
EXOSC10,2000,2000,1.371559739112854,0.2593543231487274,0.4476640820503235
GFER,2000,2000,1.9564776420593262,0.256778359413147,0.45157310366630554
GRB2,2000,2000,1.2352577447891235,0.25677284598350525,0.45444440841674805
INTS4,2000,2000,3.731968879699707,0.2539195120334625,0.45385658740997314
MCM2,2000,2000,2.531442880630493,0.2586420774459839,0.4511740803718567
MPHOSPH10,2000,2000,3.9126663208007812,0.2588782012462616,0.426914781332016
MRPL43,2000,2000,1.5471009016036987,0.25626227259635925,0.4581107795238495
MRPS14,2000,2000,3.641373634338379,0.26364728808403015,0.4452517330646515
MRPS9,2000,2000,1.3317041397094727,0.25612327456474304,0.4591809809207916
NDC80,2000,2000,4.392744064331055,0.2510925233364105,0.44539666175842285
PCID2,2000,2000,1.2685034275054932,0.25949108600616455,0.4522998034954071
PDAP1,2000,2000,1.4300259351730347,0.2562267482280731,0.45644158124923706
PHB2,2000,2000,5.150773525238037,0.25210636854171753,0.45394110679626465
POLD2,2000,2000,3.483355760574341,0.2573744058609009,0.4468327462673187
POLR2L,2000,2000,2.6742894649505615,0.2565404772758484,0.4419952929019928
POLR3E,2000,2000,1.8476003408432007,0.2580101788043976,0.4532788395881653
POP4,2000,2000,3.5273818969726562,0.256296306848526,0.43195125460624695
PPIE,2000,2000,2.7486190795898438,0.25569456815719604,0.45236194133758545
PPIH,2000,2000,1.6167794466018677,0.2569543123245239,0.4509977400302887
PPP2R1A,2000,2000,1.2511215209960938,0.2578725814819336,0.45113247632980347
PSMA7,2000,2000,5.979430198669434,0.25740933418273926,0.4279738664627075
PSMB6,2000,2000,4.524474143981934,0.2603743076324463,0.4414263069629669
RBM39,2000,2000,3.622861385345459,0.2537160813808441,0.45685720443725586
RNMT,2000,2000,3.7123262882232666,0.2677288055419922,0.43414732813835144
RNPS1,2000,2000,2.311239242553711,0.2569068968296051,0.44881680607795715
RPL35,2000,2000,5.51322078704834,0.25863730907440186,0.4296306371688843
RPP30,2000,2000,3.4537315368652344,0.2572441101074219,0.43115001916885376
RPS2,2000,2000,4.717010498046875,0.26061883568763733,0.4238806962966919
RPS29,2000,2000,4.973389148712158,0.2636197507381439,0.42284125089645386
RPS3,2000,2000,5.769484043121338,0.262958288192749,0.4151497483253479
RPS4X,2000,2000,3.3702316284179688,0.2594878673553467,0.4294595420360565
RPTOR,2000,2000,3.404399871826172,0.24778860807418823,0.4564262926578522
SETDB1,2000,2000,0.5575791597366333,0.25758859515190125,0.4570218026638031
SF3B5,2000,2000,6.3542327880859375,0.2546107769012451,0.4579722285270691
SNAPC1,2000,2000,2.445798635482788,0.2585013508796692,0.455648273229599
SRSF1,2000,2000,3.2422099113464355,0.25757351517677307,0.4451228976249695
TAF10,2000,2000,4.518454551696777,0.2560667395591736,0.42643627524375916
TAF7,2000,2000,4.215346813201904,0.25132980942726135,0.43525004386901855
TTI1,2000,2000,3.036669969558716,0.25475695729255676,0.444325715303421
TUBGCP2,2000,2000,3.726153612136841,0.252122700214386,0.4510918855667114
U2AF1,2000,2000,5.299562931060791,0.2618969678878784,0.45046183466911316
U2SURP,2000,2000,4.3239898681640625,0.25998225808143616,0.46230363845825195
USP36,2000,2000,1.9674923419952393,0.256445974111557,0.443180650472641
ZBTB17,2000,2000,0.8357922434806824,0.2577497065067291,0.4558316171169281
ZFC3H1,2000,2000,1.910727620124817,0.2593475580215454,0.4471187889575958
