condition,source_coverage,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,pcc_delta,spearman_delta,topk_de_overlap,auprc,pra_all_genes,pra_top100_true_de,true_range_mean,pred_range_mean,range_width_ratio
AAMP,1,76,39,0.9197908548833904,0.7562430522859637,0.11991427265308298,0.06802747685387782,0.25,0.181526918738474,0.8492650349910412,0.7301310322944756,0.42555338937815873,0.5310039219822122,1.247796217250628
AARS,3,38,161,0.9374984316681413,0.7436959679841938,0.5120319970404688,0.3932986738496533,0.35,0.2855644499149211,0.8462559369595524,0.8336714118755917,0.4606339104371347,0.5499034508315931,1.1937971270325531
ABCE1,3,177,112,0.9127692751716788,0.7713638192611857,0.6342868199619046,0.4217300724434447,0.54,0.46720241955860087,0.8978710960955611,0.7652586319094857,0.5197121227875815,0.5927628546739822,1.1405599701792186
ABCF1,3,159,239,0.941492053169815,0.788839942734196,0.242491840781754,0.13171533512855577,0.29,0.2072442992956814,0.885144377032683,0.8135928856518667,0.4436649493215194,0.5063184205558251,1.1412179617027212
ABT1,3,92,275,0.9384364813668286,0.7848394210790284,0.20004516817268383,-0.0037565621153694637,0.31,0.20317643095248797,0.8925540286881486,0.8247392997793946,0.46077177159994986,0.5537387237913,1.2017635321949156
ACTB,3,140,400,0.9294361442911184,0.7899086893270358,0.3818088805174414,0.15197969351213483,0.28,0.24446784679613046,0.9056888296419864,0.7805361337868016,0.43525329623282466,0.5154224040684667,1.1841895206483697
ACTR6,3,104,254,0.9385714999987503,0.783733964040512,-0.009680324691531565,0.0024874870746469484,0.12,0.08506890356296203,0.8720743218957399,0.8640556539010142,0.4195100229922548,0.5224794847583999,1.2454517023864509
AHCTF1,3,161,144,0.927180974888144,0.7496486579947339,0.18856144935718247,0.17158151445266956,0.19,0.13385105165515962,0.8621823393018709,0.7924444554454757,0.4474613671335514,0.5060323437529136,1.1308961390021397
AKIRIN2,3,144,167,0.9487367230309025,0.7992657899936949,0.2539443636908787,0.22954166332430886,0.23,0.20094511203349585,0.8676039664222908,0.7696768498666314,0.4602235638849919,0.5064609682360811,1.1004672445628432
ALDOA,2,77,145,0.9318784960984239,0.7532907321792898,0.36524404665937577,0.2478614206152314,0.33,0.2770600406249038,0.8660501931174814,0.7586453090049743,0.4711073285960071,0.5360609869399332,1.1378744142205486
ALG13,3,167,171,0.9473717010248587,0.7990724610884435,0.18466988231426779,0.1157514519232548,0.18,0.14452289246560993,0.8980292998714782,0.8215928565178433,0.4445407582553624,0.520793741813423,1.1715320146166162
ANAPC2,1,237,30,0.8684856169484855,0.6482043244302504,0.18384983286613887,0.14822206802357366,0.21,0.14748667194006695,0.7476884791493278,0.6593853791782845,0.44396109009886203,0.42674911972446494,0.9612308817809392
AP2S1,1,96,23,0.9235681725313668,0.7503428844735337,0.2874408955676868,0.17058563839128177,0.25,0.20798113086361938,0.8349505817717372,0.6994379114716296,0.4411153832543864,0.4755451357165499,1.07805155519093
ARGLU1,3,367,181,0.9276710279388961,0.7705770692943211,0.07525318327688969,0.06550948059178725,0.15,0.11656644968328533,0.9013196260812336,0.7864875376567643,0.4380039510474961,0.5290010220111128,1.2077539681284963
ARL2,3,70,306,0.9237091620265396,0.7576976325830381,0.21132689299422716,0.19680935065440056,0.15,0.13577108911814925,0.8311203849435065,0.7585278935173743,0.4680512736093583,0.4833669912843545,1.0327222853805458
ATF4,1,52,41,0.9327877643716527,0.7440481976451295,0.09563597909745335,0.05303582544409623,0.21,0.12816812704569827,0.8237081042831229,0.7725858573674294,0.4204198135258652,0.5158319222898643,1.2269448142664212
ATP6V0B,3,134,179,0.919290754484499,0.7514612838910116,0.29031911014587436,0.19654520421206956,0.26,0.17323071573972995,0.8785038448189249,0.778306065586063,0.4519343122150883,0.512831512669675,1.13474787698378
ATP6V1A,3,89,145,0.9167758547057911,0.7460011653246693,0.26580690579298744,0.157721265344374,0.24,0.17125072750127224,0.886654549163335,0.7593472581916373,0.435853284255986,0.5200977771549634,1.1932863282421329
ATR,3,133,373,0.9356898698980025,0.7750817223956804,0.35450617675522067,0.3003096630483817,0.32,0.2383318966427296,0.8968360439008677,0.7718563753486751,0.44229269941561894,0.5301455040251156,1.1986304380318016
ATRIP,3,183,166,0.9326649872281346,0.7693757497996326,0.33543476541199013,0.2847188313654781,0.21,0.17698984831474035,0.8838896693511241,0.8103831431776318,0.4435664853432299,0.5144572656308267,1.1598199391339101
BCAS2,1,197,33,0.877959008371613,0.6599691682339839,0.3126052456322123,0.2381496998690392,0.23,0.17337626517630855,0.7815120789184119,0.6579213165210728,0.4625484116153174,0.4738619128388835,1.0244590418967532
BDP1,3,277,116,0.9327852585065092,0.7666431302819195,0.3772989468131079,0.2627812684465236,0.37,0.2858849515212108,0.8929356213103202,0.819166577426325,0.48075043360540437,0.5920787438003431,1.231571913610788
BGLAP,1,236,59,0.8769087368273718,0.670594420019057,0.3396903182671963,0.27002036146972846,0.3,0.22711995087449086,0.7730595970767615,0.6021551927166895,0.47786257366665363,0.44711714314390205,0.9356604982820774
BNIP1,2,107,166,0.9415505204541038,0.8014797356082314,0.31324121299058283,0.24060046664594772,0.24,0.18573097627179597,0.9032235878491159,0.8243515369501633,0.45455305834516424,0.54271274648589,1.1939480432101754
BRD8,1,68,53,0.9233435244947106,0.7733661861341925,0.014646746097380656,0.09537188808930128,0.17,0.13885974885859198,0.8679499582078438,0.6905465127949393,0.4085299377282971,0.4800790427123733,1.1751379436977327
BRIX1,3,95,253,0.9368095007684408,0.773918403298829,0.43925321941203294,0.2915689072277687,0.41,0.31203422287021904,0.8713865065675336,0.8023117861635258,0.49943905789271764,0.587179401552478,1.175677753904922
BUB3,2,246,35,0.9443492840913283,0.7781337998195434,0.23013132088200047,0.19117178585253625,0.2,0.13624652155923989,0.8544077457619661,0.7762780866674219,0.4724591845659837,0.5219447789158059,1.1047404409078785
BYSL,2,87,141,0.9319685318123159,0.7804840132553225,0.2993323483399565,0.05953620777453707,0.43,0.3133684234739904,0.9112075415487092,0.785554555291786,0.46402872582733073,0.5819230546245712,1.254066849086497
CCDC59,3,100,331,0.9454389159679488,0.8009729991852679,0.18889627927565333,0.012521303553366184,0.28,0.2020423232541267,0.909398643444814,0.8107948834825719,0.45909917924313115,0.5561692777283151,1.2114359832462638
CCDC84,2,77,97,0.9379685773747632,0.7825303482714608,0.24036645389967873,0.23322513351414378,0.22,0.14903030759601216,0.8700215430591438,0.770897965265644,0.43165198243478753,0.4893310911046578,1.1336240760630434
CCNH,3,75,377,0.9427075934441195,0.7843363523206757,0.30709992039003636,0.21358957341581236,0.26,0.186457785827515,0.8895673612896008,0.8202220660699276,0.47593026828545393,0.5649030189241033,1.186944904953673
CCNK,1,211,273,0.8870385982350424,0.7209333624055623,0.06794478043951498,0.0691926129066293,0.14,0.09598441915646312,0.8227979424890591,0.6963250299280197,0.45184965441470215,0.47716201017466253,1.0560193970548777
