model,context,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
direct_source_expression,K562,AAMP,top_true_de,100,76,39,4950,0.15899788820827568,0.12221247092660491
direct_source_expression,K562,AARS,top_true_de,100,38,161,4950,0.2566315469910172,0.24195594807523815
direct_source_expression,K562,ABCE1,top_true_de,100,177,112,4851,0.5703027370334467,0.47766760945568837
direct_source_expression,K562,ABCF1,top_true_de,100,159,239,4950,0.5551139951665077,0.5031978056481899
direct_source_expression,K562,ABT1,top_true_de,100,92,275,4950,0.5335563851710875,0.4933672148495893
direct_source_expression,K562,ACTB,top_true_de,100,140,400,4950,0.3255129379170529,0.2715033906368389
direct_source_expression,K562,ACTR6,top_true_de,100,104,254,4950,0.1427063020704686,0.11322362294061464
direct_source_expression,K562,AHCTF1,top_true_de,100,161,144,4851,0.3722052625486082,0.31537129868663444
direct_source_expression,K562,AKIRIN2,top_true_de,100,144,167,4851,0.2464358260064658,0.2298014644200964
direct_source_expression,K562,ALDOA,top_true_de,100,77,145,4950,0.3059782813118779,0.28470261792109813
direct_source_expression,K562,ALG13,top_true_de,100,167,171,4950,0.21593788348114565,0.17319637701221632
direct_source_expression,K562,ANAPC2,top_true_de,100,237,30,4950,0.37983865448959164,0.3472436048752464
direct_source_expression,K562,AP2S1,top_true_de,100,96,23,4950,0.18975049958466447,0.17098348431045063
direct_source_expression,K562,ARGLU1,top_true_de,100,367,181,4851,0.3603992609919967,0.2565404331806842
direct_source_expression,K562,ARL2,top_true_de,100,70,306,4851,0.22759350504865844,0.20035912581093837
direct_source_expression,K562,ATF4,top_true_de,100,52,41,4851,0.15254298010549533,0.08402511860786058
direct_source_expression,K562,ATP6V0B,top_true_de,100,134,179,4950,0.4004041621206993,0.3789743346487872
direct_source_expression,K562,ATP6V1A,top_true_de,100,89,145,4950,0.27880066130294995,0.24013485768545606
direct_source_expression,K562,ATR,top_true_de,100,133,373,4851,0.5238324177100854,0.501185194279277
direct_source_expression,K562,ATRIP,top_true_de,100,183,166,4950,0.4579446614928715,0.4378623699739459
direct_source_expression,K562,BCAS2,top_true_de,100,197,33,4950,0.33148549477081096,0.28708477405063487
direct_source_expression,K562,BDP1,top_true_de,100,277,116,4851,0.5445120648771992,0.5153821946372701
direct_source_expression,K562,BGLAP,top_true_de,100,236,59,4950,0.2868126646028856,0.25828760103451504
direct_source_expression,K562,BNIP1,top_true_de,100,107,166,4950,0.3839121812322292,0.38406557667790736
direct_source_expression,K562,BRD8,top_true_de,100,68,53,4851,0.13605868341512248,0.11045701491918045
direct_source_expression,K562,BRIX1,top_true_de,100,95,253,4851,0.30981021421602595,0.30879596639164986
direct_source_expression,K562,BUB3,top_true_de,100,246,35,4950,0.23644057818202593,0.2074399773004229
direct_source_expression,K562,BYSL,top_true_de,100,87,141,4950,0.4976871378643574,0.4653973586098051
direct_source_expression,K562,CCDC59,top_true_de,100,100,331,4851,0.589756026164358,0.5448837628696473
direct_source_expression,K562,CCDC84,top_true_de,100,77,97,4950,0.21919203167993975,0.20411918582943991
direct_source_expression,K562,CCNH,top_true_de,100,75,377,4950,0.517368251528787,0.4300178481609346
direct_source_expression,K562,CCNK,top_true_de,100,211,273,4950,0.6185336992091515,0.49513795856273485
direct_source_expression,K562,CCT4,top_true_de,100,217,182,4950,0.26457948555849387,0.23068798334456092
direct_source_expression,K562,CCT7,top_true_de,100,141,192,4950,0.19934410763601998,0.16584501197204413
direct_source_expression,K562,CD3EAP,top_true_de,100,85,298,4851,0.2803928055723315,0.22098146926793874
direct_source_expression,K562,CDC123,top_true_de,100,96,114,4950,0.35657615556603345,0.2951446179700554
direct_source_expression,K562,CDC5L,top_true_de,100,77,112,4950,0.4980220758003915,0.4818027064640766
direct_source_expression,K562,CDC6,top_true_de,100,153,144,4851,0.46269830664773975,0.4508793543153758
direct_source_expression,K562,CDC73,top_true_de,100,140,132,4950,0.49498165178935344,0.48524336301247045
direct_source_expression,K562,CENPE,top_true_de,100,171,34,4851,0.29108378818277103,0.26469649615537255
direct_source_expression,K562,CENPK,top_true_de,100,93,97,4950,0.31101426537861443,0.2909214060413209
direct_source_expression,K562,CEP192,top_true_de,100,184,106,4851,0.48105707354266086,0.4631571259795202
direct_source_expression,K562,CHCHD4,top_true_de,100,132,354,4950,0.5164361005477158,0.4590728310709215
direct_source_expression,K562,CHD4,top_true_de,100,33,203,4950,0.06069686088947765,0.043009916167276965
direct_source_expression,K562,CHEK1,top_true_de,100,205,127,4851,0.377066087954083,0.34344056302921183
direct_source_expression,K562,CHMP1A,top_true_de,100,71,40,4950,0.28557567550371693,0.24469487671935874
direct_source_expression,K562,CHMP2A,top_true_de,100,61,21,4753,0.20846715605386548,0.1680695840532871
direct_source_expression,K562,CINP,top_true_de,100,73,101,4950,0.1432712115264874,0.1311540874160458
direct_source_expression,K562,CKAP5,top_true_de,100,159,83,4851,0.40601982009542653,0.35635654903403535
direct_source_expression,K562,CLNS1A,top_true_de,100,46,124,4950,0.23419209420911183,0.1975569611256485
direct_source_expression,K562,CLP1,top_true_de,100,51,52,4950,0.3095577308807655,0.30586470309898517
direct_source_expression,K562,CMTR1,top_true_de,100,138,222,4950,0.7632592106858801,0.7595207341046636
direct_source_expression,K562,CNOT2,top_true_de,100,64,241,4950,0.28855436925596906,0.2614317945630151
direct_source_expression,K562,CNOT3,top_true_de,100,303,208,4950,0.4004133277009391,0.3920876151770428
direct_source_expression,K562,COPB1,top_true_de,100,56,34,4753,0.28299570087677806,0.27149410760739073
direct_source_expression,K562,COPS2,top_true_de,100,44,166,4950,0.09992534225859728,0.08877976331386368
direct_source_expression,K562,COPS4,top_true_de,100,253,173,4950,0.18373550167443037,0.16084658738958282
direct_source_expression,K562,COX11,top_true_de,100,103,445,4950,0.36957610556760584,0.30503685086706184
direct_source_expression,K562,COX17,top_true_de,100,129,71,4851,0.28167222295940236,0.21804048460826347
direct_source_expression,K562,COX7C,top_true_de,100,154,146,4950,0.3674999517461398,0.3070587695540521
direct_source_expression,K562,CPSF1,top_true_de,100,48,229,4950,0.22531533104458434,0.20641624924078394
direct_source_expression,K562,CPSF3,top_true_de,100,575,699,4950,0.3711243256742535,0.3811065009897128
direct_source_expression,K562,CPSF4,top_true_de,100,57,203,4950,0.2477540798540616,0.23026040256695296
direct_source_expression,K562,CPSF6,top_true_de,100,43,106,4950,0.2620894061086895,0.23700495049195763
direct_source_expression,K562,CSE1L,top_true_de,100,373,507,4851,0.4469778332715448,0.41368503784682475
direct_source_expression,K562,CSNK1A1,top_true_de,100,131,109,4851,0.3699467858217171,0.3177323834497289
direct_source_expression,K562,CSNK2B,top_true_de,100,103,295,4950,0.27187243864378596,0.20746028751078519
direct_source_expression,K562,CSTF3,top_true_de,100,59,174,4950,0.3547971740784467,0.33713191869147957
direct_source_expression,K562,CTR9,top_true_de,100,197,38,4950,0.32829077502414084,0.3015361952932378
direct_source_expression,K562,CUL2,top_true_de,100,84,201,4950,0.29629163231006794,0.22821804544520252
