condition,n_test_cells,n_pred_cells,n_genes,wasserstein_1_pca50,mmd_pca50,energy_pca50
VPS29,146,2000,5000,0.7886750349692122,0.2779751278612925,0.3015288458584683
CWC15,144,2000,5000,0.8423911389411365,0.25497567373064434,0.33536901627471427
CHMP6,620,2000,5000,0.4752724627425821,0.14437942658518776,0.1524847550909924
RBX1,41,2000,5000,1.2185104205277695,0.2807535623641516,0.44613356473429117
BRIX1,95,2000,5000,1.02221177247363,0.2802302902317227,0.37093415611842273
PTCD1,246,2000,5000,0.6070608546110554,0.23102220276963842,0.2275906515914097
HIRA,228,2000,5000,0.6045972247800688,0.2237565613714407,0.21166446745012904
POP4,116,2000,5000,0.8726321626537473,0.29019425555169415,0.3412814604679129
DYNC1H1,217,2000,5000,0.7462341696468375,0.21087345754361717,0.23759268935760516
POLR3B,109,2000,5000,0.8993384610418691,0.28025893589098394,0.34379931504683603
DNAJC8,260,2000,5000,0.6076829177839795,0.22364185731584132,0.21596765422672784
QARS,376,2000,5000,0.6566549421990713,0.22186595917399787,0.2830520992165255
WBP11,205,2000,5000,0.7292820270730337,0.22385440830486616,0.24641280784560052
MCM10,190,2000,5000,0.6867363869195442,0.2092662173838312,0.2500247222202983
PSMD1,87,2000,5000,1.0036603587750554,0.27673137370913325,0.35265820274734305
MED20,78,2000,5000,1.2506315486799209,0.3512889189554203,0.5229160743766258
DERL2,122,2000,5000,0.9132409123554399,0.26874711960947634,0.33636468085766275
VPS54,306,2000,5000,0.5461350670158356,0.18502399509379597,0.1676230142000577
WDR12,174,2000,5000,0.6746978549808351,0.22791045330944099,0.23303994652133742
OXA1L,305,2000,5000,0.6152850122609823,0.22493445930393371,0.2374584305145521
SART3,142,2000,5000,0.7657751309906271,0.25875720071281044,0.2763234826704727
TEX10,153,2000,5000,0.7266358988450731,0.2519553885382217,0.2699518958953578
GTF2E1,176,2000,5000,0.7271554944057103,0.2597687411949378,0.2598654741790634
DDX54,68,2000,5000,0.9623389157868867,0.27821933949358546,0.349296275217631
E4F1,130,2000,5000,0.8612988216976047,0.2849093058514024,0.3654552823773078
RIOK1,290,2000,5000,0.6066562246420375,0.2149536975648014,0.20942973037807366
EBNA1BP2,68,2000,5000,0.9650742610053575,0.27751231102176954,0.3573708235700495
EIF5A,100,2000,5000,0.9018892495715479,0.2694715319373615,0.32372237464449766
SF3B2,197,2000,5000,0.8933357571345272,0.24280022258842304,0.3704012300502154
ACTR8,242,2000,5000,0.6451465817518561,0.24121081885462808,0.2343649646825205
