condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
SMG5,82,2000,0.006303354166448116,0.03626890107989311,-0.011159641668200493,-0.011159641668200493,0.016298223052320083,0.2,0.15841448535218333,0.4182785108805658,0.2907011127388535,1.3881400341631311,50
HNRNPH1,92,2000,0.002564543392509222,0.03040238656103611,0.1463315188884735,0.1463315188884735,0.06728852659554105,0.25,0.1680854024537413,0.5845330589068357,0.4064164795918468,2.2965848454968425,50
RPL10A,195,2000,0.004064421635121107,0.03578546643257141,0.398404985666275,0.398404985666275,0.2860451579698063,0.35,0.30035364263941344,0.5377128997630546,0.35465506839857963,1.993014475242085,50
EIF3E,171,2000,0.004617069382220507,0.036514103412628174,0.15001195669174194,0.15001195669174194,0.12866841486491268,0.26,0.17148599226048375,0.3981675361562679,0.27078477447773175,1.435170806485507,50
MRPS14,82,2000,0.004747260361909866,0.03382062166929245,-0.18857306241989136,-0.18857306241989136,-0.002778116607258013,0.35,0.29716068114001837,0.5869339717063619,0.4087484558550698,2.480582735625298,50
EIF3M,209,2000,0.0052706594578921795,0.03747465834021568,-0.05791737884283066,-0.05791737884283066,0.05063649744945988,0.32,0.232038424970738,0.3843042539390676,0.2649250150546571,1.1596906414258508,50
RPL13,243,2000,0.0036371867172420025,0.03286316990852356,0.6090552806854248,0.6090552806854248,0.5048321104774004,0.44,0.5011825363422138,0.44585190832798394,0.3069431659961727,1.5865563333316106,50
SNAPC3,201,2000,0.0012633198639377952,0.021484054625034332,0.29914334416389465,0.29914334416389465,0.20792235794786473,0.24,0.16961663385981668,0.38866476912569636,0.285283657431689,1.3772792619226095,50
NBAS,94,2000,0.0019132314482703805,0.026427941396832466,0.044918492436409,0.044918492436409,0.051065314586612585,0.26,0.17269418732104844,0.43017092128428613,0.3250964636710594,1.7241022580983958,50
ELP5,167,2000,0.0026866544503718615,0.02937796711921692,-0.17471814155578613,-0.17471814155578613,-0.06338725972101168,0.23,0.18848394130726442,0.35566016863127864,0.26191490776633425,1.133030298417709,50
RPS6,165,2000,0.004004884976893663,0.034648776054382324,0.6794169545173645,0.6794169545173645,0.547671776946871,0.55,0.5417570767854819,0.5689885034754922,0.3681028668008159,1.9426683744861526,50
SEC13,43,2000,0.00391339510679245,0.037334736436605453,0.15215635299682617,0.15215635299682617,0.1489911882423749,0.29,0.19266227922968415,0.5686293913271386,0.4123784131247327,2.6702155862088235,50
SFSWAP,145,2000,0.0019401799654588103,0.025898711755871773,0.16250354051589966,0.16250354051589966,0.13254872993231157,0.34,0.26399405524442826,0.44114541162860976,0.32856161753552937,1.6840317551651445,50
SLU7,195,2000,0.008143152110278606,0.05355002358555794,0.35004791617393494,0.35004791617393494,0.30206884741075385,0.29,0.2015827161591877,0.6955335524112642,0.4217378502996002,2.7938158671799016,50
POLA1,195,2000,0.001839390373788774,0.025641925632953644,0.5878441333770752,0.5878441333770752,0.40939845875376385,0.38,0.3619633999856434,0.39024939606314457,0.2721002252136119,1.1938646222843865,50
GFER,198,2000,0.0024476307444274426,0.02668924257159233,-0.12309405952692032,-0.12309405952692032,-0.02430761530947137,0.31,0.20861002378613874,0.36666130759366794,0.266675507746114,1.2419801603983671,50
C1QBP,189,2000,0.002124166814610362,0.025784246623516083,-0.013149024918675423,-0.013149024918675423,-0.015933408445336333,0.3,0.1756702584998621,0.4905425581851366,0.35498319545691537,1.8884427287692938,50
SNRNP200,92,2000,0.005953965708613396,0.046128954738378525,0.19594638049602509,0.19594638049602509,0.18789864699696504,0.18,0.12063618877894552,0.7879765351122007,0.4789041115372384,3.3632011791830068,50
NUDC,106,2000,0.0018313465407118201,0.0273031797260046,0.26546943187713623,0.26546943187713623,0.15415693903397734,0.24,0.1790644569791469,0.4683880448974718,0.34781763704218993,1.6272167020782067,50
PCF11,393,2000,0.002694179303944111,0.02965838648378849,0.19149911403656006,0.19149911403656006,0.1033969079118763,0.26,0.17291633514245763,0.49751279665155723,0.3316159738791361,1.9418644765040705,50
PSMA3,194,2000,0.004706085193902254,0.037184979766607285,0.5691153407096863,0.5691153407096863,0.46208810857461446,0.35,0.3281531790210755,0.5150534299361482,0.34302514273987866,1.6298096144806222,50
RPS26,73,2000,0.0034116776660084724,0.03500942513346672,0.7173649072647095,0.7173649072647095,0.5603744319964262,0.56,0.5726230131351063,0.5867512404712606,0.39386080217559977,2.1132780100839046,50
GRPEL1,96,2000,0.002022559056058526,0.028308764100074768,0.6420960426330566,0.6420960426330566,0.43832629206105167,0.44,0.4647466005215062,0.5727531512264564,0.39036286851652674,2.2519404617645686,50
PHF5A,197,2000,0.00407880824059248,0.03607027977705002,0.266952782869339,0.266952782869339,0.2467636921383924,0.24,0.12377175226175556,0.5250439009839729,0.35204780713352646,1.9714750885174377,50
ZNHIT6,116,2000,0.0019101938232779503,0.02695309743285179,0.45581918954849243,0.45581918954849243,0.17241743538497342,0.44,0.4009373211104815,0.39027030292298565,0.2955290046950935,1.2222125786984073,50
SRBD1,143,2000,0.0024279446806758642,0.027857769280672073,0.25419294834136963,0.25419294834136963,0.21224655068623766,0.26,0.16486598398238667,0.5222011615921659,0.34113627184305,1.825995488189225,50
MFAP1,164,2000,0.0036386309657245874,0.037054792046546936,0.3819712996482849,0.3819712996482849,0.33519598475988405,0.23,0.18758937972426992,0.6882995807176324,0.4189256140561019,2.885920926063044,50
RPS19,410,2000,0.0033871405757963657,0.03024359792470932,0.5891847610473633,0.5891847610473633,0.47117396844695864,0.52,0.4698201399632378,0.44460808937882,0.30340241362949943,1.4653490054074265,50
ARGLU1,367,2000,0.0028971650172024965,0.030146054923534393,0.12365727871656418,0.12365727871656418,0.0648736157805016,0.25,0.1965347110842941,0.3270405384226808,0.24457677741882564,0.8907306315764646,50
GTF2E2,69,2000,0.0021535870619118214,0.029591772705316544,0.41856497526168823,0.41856497526168823,0.25025832614035165,0.32,0.22840205830000562,0.49013160489967267,0.3513686658964428,1.8551181882011198,50
DYNLRB1,192,2000,0.0014940740074962378,0.023216428235173225,0.39700499176979065,0.39700499176979065,0.2696037513635616,0.31,0.23206578858796045,0.5110432875104582,0.3473757438958709,1.8897444486229502,50
TSR2,486,2000,0.004280549008399248,0.03877171128988266,0.4209301471710205,0.4209301471710205,0.2704597804698643,0.34,0.2690283510536695,0.4098884273615572,0.2801114445963148,1.4125833543197115,50
COG2,332,2000,0.0012214903254061937,0.020681951195001602,0.012211071327328682,0.012211071327328682,0.02151433276663868,0.13,0.08076130575849973,0.3437968836347569,0.26512523301858293,1.0146238536058643,50
SFPQ,185,2000,0.013078008778393269,0.059837888926267624,0.0219582486897707,0.0219582486897707,0.07180143618405743,0.24,0.18816873493417835,0.7002511798434047,0.4277009319379346,2.7648015279709015,50
MRPL18,128,2000,0.0021837851963937283,0.026545722037553787,0.1709168553352356,0.1709168553352356,0.14077452453373815,0.28,0.20629086970051666,0.41839063969850165,0.3027721679748189,1.555080374684203,50
NAA15,107,2000,0.0016396396094933152,0.025630081072449684,0.30483055114746094,0.30483055114746094,0.15952896125664454,0.27,0.1821425179858456,0.45543283134813173,0.34052867718650126,1.8293410135001287,50
DONSON,688,2000,0.0024539115838706493,0.02724739909172058,0.1744980365037918,0.1744980365037918,0.0661922303596892,0.24,0.14219102624523217,0.39813560523928615,0.2772054440491277,1.3628993493097263,50
RARS2,139,2000,0.0015920388977974653,0.02420993335545063,0.42018842697143555,0.42018842697143555,0.31508836281065883,0.29,0.21713069719522457,0.3588836213302691,0.2737634373776038,1.089569480354692,50
RPF1,108,2000,0.00248839077539742,0.029081616550683975,0.4079999029636383,0.4079999029636383,0.30282743396909734,0.33,0.2892577776398415,0.4086540932865185,0.29035336166166287,1.2732497326153098,50
ZBTB17,158,2000,0.001980661880224943,0.026531711220741272,0.1163119226694107,0.1163119226694107,0.07370321469389746,0.19,0.10417653177740864,0.4554792439091982,0.3267188175539939,1.6086928535204552,50
DPH2,161,2000,0.002292900113388896,0.028010524809360504,-0.053752824664115906,-0.053752824664115906,-0.04252211224692555,0.27,0.23563387947516953,0.3833386680091364,0.2908014088644187,1.263985699755531,50
TAF10,38,2000,0.005543644540011883,0.04419182613492012,0.5429682731628418,0.5429682731628418,0.30798769707889956,0.54,0.4856516820768811,0.7799606137218621,0.5204956254744434,3.2537258657609516,50
XPO1,139,2000,0.004822373855859041,0.0383499376475811,0.5225557088851929,0.5225557088851929,0.3673506455100258,0.34,0.28445955764317504,0.6323455377614132,0.40313868083340937,2.2800118378697998,50
NUP54,266,2000,0.003446002956479788,0.03489842638373375,0.463676393032074,0.463676393032074,0.3426841701955912,0.32,0.2889940492377741,0.36360357443804875,0.2574074153354977,0.9907239375140365,50
SSRP1,440,2000,0.003414853708818555,0.0328514389693737,0.3971414566040039,0.3971414566040039,0.3147273088450923,0.2,0.1506151755391882,0.465762606102248,0.3283525627206662,1.772441501508248,50
SON,238,2000,0.007899151183664799,0.048847783356904984,0.18276874721050262,0.18276874721050262,0.1822824715240484,0.13,0.08182578830857594,0.6351048486238184,0.3839863087093912,2.1921405902978663,50
BGLAP,236,2000,0.0012586376396939158,0.02172214351594448,0.24883297085762024,0.24883297085762024,0.1645567568860677,0.2,0.1591858912485499,0.5570100581781512,0.3834112006662942,2.3791363015923186,50
PSMD7,175,2000,0.010596643202006817,0.05686097592115402,0.13754722476005554,0.13754722476005554,0.04896581149463246,0.25,0.13781834821207578,0.8168451719000815,0.4826584402358869,3.433304778481236,50
SUGT1,94,2000,0.002842024900019169,0.03198760375380516,0.0010309144854545593,0.0010309144854545593,-0.026438704562817238,0.12,0.10056274016478173,0.37929040382409795,0.28867343226917447,1.082509136370243,50
CENPE,171,2000,0.0012458066921681166,0.022011607885360718,0.42537784576416016,0.42537784576416016,0.26591041823318046,0.36,0.3231207202412768,0.4935313213607666,0.3377963866181834,1.768524252438028,50
MZT1,381,2000,0.0014068178134039044,0.021067148074507713,-0.023646816611289978,-0.023646816611289978,0.011896685613295025,0.27,0.20177588170134522,0.36278562545809856,0.2573306889884817,1.046639361733754,50
NFRKB,223,2000,0.002277254592627287,0.02596651390194893,-0.149446040391922,-0.149446040391922,-0.02436249390308446,0.18,0.1374781273899666,0.46149199625074994,0.32939794454493354,1.6657702076783953,50
RPS14,156,2000,0.004093591123819351,0.03432090952992439,0.6863179206848145,0.6863179206848145,0.6023405019960762,0.53,0.4976820902566135,0.4891313688668664,0.32583946522597707,1.591040653801921,50
SNRPG,325,2000,0.002874899422749877,0.03134007379412651,0.5266404747962952,0.5266404747962952,0.45674529074981157,0.32,0.22543528662456633,0.44959821019481827,0.30965494613113703,1.4185811461269118,50
MRPL38,132,2000,0.0015581139596179128,0.024031462147831917,0.14374837279319763,0.14374837279319763,0.05747230794827165,0.25,0.17519673712802514,0.3956662343847093,0.2916973143252144,1.4335910570819197,50
MAGOH,149,2000,0.0037704352289438248,0.03293643146753311,-0.018366245552897453,-0.018366245552897453,0.039159104672243816,0.2,0.12634146193282558,0.523853460184424,0.3544988938012888,1.8889873832128787,50
DNTTIP2,235,2000,0.0027111724484711885,0.03080401010811329,0.5959891080856323,0.5959891080856323,0.39918572278342884,0.52,0.49757824124855715,0.4829350102351773,0.3337531349453345,1.6112648797591902,50
U2AF1,141,2000,0.004109659697860479,0.03894193097949028,0.4457740783691406,0.4457740783691406,0.34979275319250025,0.26,0.17237336713535506,0.5333330362725877,0.36149301063533346,1.8610192059455803,50
NOL6,107,2000,0.003732928540557623,0.03599214553833008,0.4642316401004791,0.4642316401004791,0.2234249674223609,0.5,0.46222168805400354,0.5026513490114962,0.3560777942690716,1.8252971682406,50
SF3A2,236,2000,0.0029435036703944206,0.03036714531481266,0.37082305550575256,0.37082305550575256,0.35904950923706636,0.25,0.1737600722534242,0.4616786096321928,0.3140164614771802,1.473645048429659,50
TXN,81,2000,0.0030238949693739414,0.034955210983753204,0.2252987027168274,0.2252987027168274,0.11360863347779854,0.2,0.1531160723351461,0.41043248507777075,0.30561657529595765,1.3051297501329016,50
