condition,n_true_cells,n_pred_cells,mean_pearson,mean_spearman,delta_pearson,delta_spearman
ACTR8,242,2000,0.9918779730796814,0.9654433797377351,0.2509865164756775,0.18148049421193088
ALG13,167,2000,0.9940351247787476,0.9597926566707413,0.03748680278658867,0.028113828021902588
ANKRD11,184,2000,0.9910743832588196,0.9621074135882964,-0.07118983566761017,-0.07543069597722783
AP2S1,96,2000,0.9873744249343872,0.9506077433363095,0.13684895634651184,0.0925529772607829
ARGLU1,367,2000,0.9890756607055664,0.9590177545527102,0.12365727871656418,0.0648736157805016
ARIH1,57,2000,0.9916750192642212,0.9438759462003441,0.22145208716392517,0.10133435863180637
ARPC4,188,2000,0.9946229457855225,0.9711437281577489,0.12156765162944794,0.11981713837956114
ATP6AP1,114,2000,0.9914883375167847,0.9559755112859639,0.06822136044502258,0.030776351362747215
BGLAP,236,2000,0.9951303005218506,0.9722484741452729,0.24883297085762024,0.1645567568860677
BMS1,18,2000,0.9805746674537659,0.896403641127624,0.46101540327072144,0.2409307390452295
BRIX1,95,2000,0.9886939525604248,0.9479084493310878,0.3986569046974182,0.23882653854052519
BYSL,87,2000,0.9933321475982666,0.9608065961583823,0.6803632974624634,0.373216120281602
C1QBP,189,2000,0.9920372366905212,0.9689008773800349,-0.013149024918675423,-0.015933408445336333
CCDC86,235,2000,0.9901819825172424,0.9713074726036103,0.4274892807006836,0.40591565930236834
CDC123,96,2000,0.9901779890060425,0.9488747539777632,-0.10965845733880997,-0.015579436175551355
CDC23,158,2000,0.9933144450187683,0.9638316917372675,0.1228104829788208,0.08552973117340013
CDC40,84,2000,0.9939945936203003,0.9538682602027302,0.48908621072769165,0.3709245044174911
CENPC,116,2000,0.9924725294113159,0.9568031784390905,0.17728197574615479,0.10891740426853824
CENPE,171,2000,0.9950737953186035,0.9706532270807202,0.42537784576416016,0.26591041823318046
CHERP,54,2000,0.9889577031135559,0.9382981134845205,0.05373186618089676,0.0676686497019941
CHMP6,620,2000,0.9922173023223877,0.9646960702269954,0.3622087240219116,0.2891759174939769
CNIH4,65,2000,0.9931129813194275,0.952290797234487,0.26356810331344604,0.12001539370525685
COG2,332,2000,0.9952974319458008,0.9747244149249764,0.012211071327328682,0.02151433276663868
CPSF3,575,2000,0.9886278510093689,0.9500998627079943,0.26529496908187866,0.18685762194278946
CPSF4,57,2000,0.9819878339767456,0.91161069020246,0.1815834939479828,0.10833029171181159
CSTF1,129,2000,0.9915761947631836,0.9563188187466559,0.25687021017074585,0.18194970478198816
CSTF3,59,2000,0.9866303205490112,0.9258748252019986,0.24385210871696472,0.1640322334412893
CTR9,197,2000,0.9675477743148804,0.898344191619328,-0.08947119116783142,-0.018593982023759278
CUL1,181,2000,0.9924669861793518,0.9626268645210745,-0.05376538261771202,-0.06332328906093156
CWC15,144,2000,0.9843650460243225,0.9501032497801299,0.45567449927330017,0.5059740672072494
CWC22,28,2000,0.9816989898681641,0.9017590269627644,0.11037663370370865,0.10733905350956212
DAD1,71,2000,0.9798117876052856,0.9386690623758185,0.051398009061813354,0.12251466946352713
DBR1,96,2000,0.9895026087760925,0.9433780088629669,0.05731984227895737,0.07572813639639533
DDOST,74,2000,0.9915611743927002,0.9529866862863391,0.031634338200092316,0.07687023380218891
DDX41,259,2000,0.980445921421051,0.9246062914802516,0.16549734771251678,0.17113719257759502
