model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
CellFlow_ESM2_1000k_fixed2000,SMG5,82,2000,0.7904592756985,0.5214964126297287,0.7904592756985,0.38149078354790816,0.34568935633777537,0.9061538631714403
CellFlow_ESM2_1000k_fixed2000,HNRNPH1,92,2000,0.6970137436888235,0.6568665592262357,0.6970137436888235,0.41041749200284494,0.34111909044237926,0.8311514220950906
CellFlow_ESM2_1000k_fixed2000,RPL10A,195,2000,0.731778338812195,0.5593687090188952,0.731778338812195,0.42782846406906827,0.3419062250158113,0.7991665953505803
CellFlow_ESM2_1000k_fixed2000,EIF3E,171,2000,0.7859448850803282,0.557003580916318,0.7859448850803282,0.36944826282262805,0.344557435304765,0.9326270026174595
CellFlow_ESM2_1000k_fixed2000,MRPS14,82,2000,0.7036255089846334,0.4760750383540017,0.7037662622370808,0.4038558368173243,0.3427289845194823,0.848641878582257
CellFlow_ESM2_1000k_fixed2000,EIF3M,209,2000,0.7736200703412567,0.5532725274428428,0.7736200703412567,0.38692214115023627,0.3509863812977466,0.9071240306463191
CellFlow_ESM2_1000k_fixed2000,RPL13,243,2000,0.7506680369609863,0.5919185230852377,0.7506680369609863,0.42533058647215377,0.3414940068086089,0.8028907622472591
CellFlow_ESM2_1000k_fixed2000,SNAPC3,201,2000,0.758923181054712,0.7094843335244698,0.758923181054712,0.4018548103570938,0.34422937016284394,0.8566013214846021
CellFlow_ESM2_1000k_fixed2000,NBAS,94,2000,0.7383143631320004,0.6628681826575767,0.738462055543109,0.39591013105601075,0.34606324127318255,0.8740954206177401
CellFlow_ESM2_1000k_fixed2000,ELP5,167,2000,0.7983393911693176,0.6663663717145009,0.7983393911693176,0.3807664372265339,0.3484644446853427,0.9151658378082527
CellFlow_ESM2_1000k_fixed2000,RPS6,165,2000,0.7042690001649448,0.5999687384171957,0.704409882141373,0.4537977815216778,0.3497653064156732,0.7707514513079445
CellFlow_ESM2_1000k_fixed2000,SEC13,43,2000,0.6876837480352056,0.5824339835418889,0.6890618717787632,0.39594405584692977,0.34579298396768027,0.8733379630984602
CellFlow_ESM2_1000k_fixed2000,SFSWAP,145,2000,0.7314015898288284,0.6353190312479944,0.7315478994087101,0.4034101789718865,0.34361156823094535,0.8517672027735806
CellFlow_ESM2_1000k_fixed2000,SLU7,195,2000,0.621719595336103,0.43563037494099094,0.6218439641289287,0.43211616158425803,0.34263607119240685,0.7929258234798474
CellFlow_ESM2_1000k_fixed2000,POLA1,195,2000,0.8269542497387818,0.6613922698868917,0.8271196736735165,0.40227915850728746,0.34951547935497207,0.8688381271441363
CellFlow_ESM2_1000k_fixed2000,GFER,198,2000,0.7878880228746418,0.6421557829960594,0.7878880228746418,0.39187819671720275,0.3459342700556597,0.8827596537035848
CellFlow_ESM2_1000k_fixed2000,C1QBP,189,2000,0.7285413035715713,0.6365935963018059,0.7285413035715713,0.40718417822301406,0.3372031270588638,0.828134138829031
CellFlow_ESM2_1000k_fixed2000,SNRNP200,92,2000,0.6329249448419382,0.484805996150638,0.6329249448419382,0.444089154725969,0.34335231753691603,0.7731607632192199
CellFlow_ESM2_1000k_fixed2000,NUDC,106,2000,0.7247042826587894,0.7120715562723552,0.7247042826587894,0.40351078696548937,0.3463326152275994,0.8582982607457214
CellFlow_ESM2_1000k_fixed2000,PCF11,393,2000,0.6627828277454937,0.5551010159339169,0.6629154108276593,0.42466914366424097,0.34122675364379634,0.8035119826800106
CellFlow_ESM2_1000k_fixed2000,PSMA3,194,2000,0.7084601314285924,0.5562014485463669,0.7086018517989523,0.4287904135641457,0.3512917668717079,0.8192621559775943
CellFlow_ESM2_1000k_fixed2000,RPS26,73,2000,0.7252453685123949,0.6344179634428464,0.7253904466017151,0.43635624497950076,0.35064562560322704,0.8035764850436251
CellFlow_ESM2_1000k_fixed2000,GRPEL1,96,2000,0.6927205569005782,0.6295075049801513,0.6927205569005782,0.42280182600915434,0.344254493415349,0.814221850748764
CellFlow_ESM2_1000k_fixed2000,PHF5A,197,2000,0.7110273516013625,0.5716661247552662,0.7110273516013625,0.4156125013226272,0.34365046394799964,0.8268530291698422
CellFlow_ESM2_1000k_fixed2000,ZNHIT6,116,2000,0.7681190525091215,0.7065703799644232,0.7681190525091215,0.40017355703115465,0.3515861155617577,0.8785840558389147
CellFlow_ESM2_1000k_fixed2000,SRBD1,143,2000,0.8335377336111829,0.6480836214466578,0.8335377336111829,0.40210668924808496,0.35338742007587737,0.8788399216841956
CellFlow_ESM2_1000k_fixed2000,MFAP1,164,2000,0.6447057629022793,0.5477769803080076,0.6447057629022793,0.44429291168153306,0.34207785019754244,0.7699376548761273
CellFlow_ESM2_1000k_fixed2000,RPS19,410,2000,0.727391672581095,0.6078051183496641,0.727391672581095,0.4482168412372471,0.34758209026686276,0.7754775156431657
CellFlow_ESM2_1000k_fixed2000,ARGLU1,367,2000,0.7920244182951875,0.7007342136103273,0.7920244182951875,0.3896749870151283,0.3469564960427234,0.8903740263049351
CellFlow_ESM2_1000k_fixed2000,GTF2E2,69,2000,0.7183350523877617,0.7010055962130791,0.7184787481373892,0.4099177398693562,0.35036574888501526,0.8547220728955489
CellFlow_ESM2_1000k_fixed2000,DYNLRB1,192,2000,0.7529901711871294,0.650783199782586,0.7531407993469988,0.41925717369586235,0.346838421549716,0.8272688818167505
CellFlow_ESM2_1000k_fixed2000,TSR2,486,2000,0.7147044788584972,0.5422019665876766,0.7147044788584972,0.4412906879067421,0.3439658052747131,0.7794540127546568
CellFlow_ESM2_1000k_fixed2000,COG2,332,2000,0.7801065978120635,0.7323931046267904,0.7802626503421319,0.3958159868058564,0.3421486183438035,0.8644133160480217
CellFlow_ESM2_1000k_fixed2000,SFPQ,185,2000,0.5686565188937981,0.34873359310935714,0.5686565188937981,0.418454413588643,0.3465111249065634,0.8280737527755169
CellFlow_ESM2_1000k_fixed2000,MRPL18,128,2000,0.7517080501108129,0.6723149912390756,0.7517080501108129,0.38681069228515025,0.34376201615214197,0.8887086477217646
CellFlow_ESM2_1000k_fixed2000,NAA15,107,2000,0.7275708243789579,0.6996335820958741,0.7275708243789579,0.4090786804240943,0.34600315684607613,0.8458107570633235
CellFlow_ESM2_1000k_fixed2000,DONSON,688,2000,0.7874592511854965,0.6177494384047576,0.7874592511854965,0.40910893021762385,0.3414925410377931,0.8347227534459098
