condition,n_test_cells,n_pred_cells,n_genes,wasserstein_1_pca50,mmd_pca50,energy_pca50
SMG5+ctrl,82,2000,5000,1.1539895165348202,0.2993690255795276,0.3348356902599335
HNRNPH1+ctrl,92,2000,5000,1.1844755129929143,0.2991264107823349,0.3051096045970917
RPL10A+ctrl,195,2000,5000,0.9880380346073936,0.303921816267273,0.2760296523571014
EIF3E+ctrl,171,2000,5000,0.9644849146899294,0.3182790878002163,0.2917570984363556
MRPS14+ctrl,82,2000,5000,1.2301388585467528,0.2990919002926562,0.3309136080741882
EIF3M+ctrl,209,2000,5000,0.9039845910134534,0.3122260931834503,0.2731298828125
RPL13+ctrl,243,2000,5000,0.9157618575331604,0.301305055315067,0.2768509191274643
SNAPC3+ctrl,201,2000,5000,0.8894874236855044,0.3019737460755023,0.2401740109920501
NBAS+ctrl,94,2000,5000,1.161998875817244,0.2957132736987466,0.3076158130168915
ELP5+ctrl,167,2000,5000,0.9127114676541376,0.2989841260759929,0.2449401271343231
RPS6+ctrl,165,2000,5000,1.068340042471886,0.3218194080596936,0.3243687391281128
SEC13+ctrl,43,2000,5000,1.5175461843733575,0.3050145708404265,0.396036338238489
SFSWAP+ctrl,145,2000,5000,1.015916622990935,0.2998637879009156,0.2762578046321869
SLU7+ctrl,195,2000,5000,1.1462463047353504,0.2951814789775533,0.3240885317325592
POLA1+ctrl,195,2000,5000,0.9166456282039483,0.3003422450086431,0.2480917286872863
GFER+ctrl,198,2000,5000,0.8595828036082476,0.2996274465158775,0.2320358335971832
C1QBP+ctrl,189,2000,5000,0.9216767066571292,0.299934394264805,0.2452377080917358
SNRNP200+ctrl,92,2000,5000,1.336937884947528,0.2992450999679431,0.349247088432312
NUDC+ctrl,106,2000,5000,1.1242220499521156,0.3021244506899794,0.302258208990097
PCF11+ctrl,393,2000,5000,0.8310508570908248,0.2916100669058242,0.2207695573568344
PSMA3+ctrl,194,2000,5000,1.0371570311147795,0.3059555128974272,0.3117089557647705
RPS26+ctrl,73,2000,5000,1.2915312956564435,0.3157882965957308,0.3516163218021393
GRPEL1+ctrl,96,2000,5000,1.217438622103849,0.3034016411535207,0.3304934835433959
PHF5A+ctrl,197,2000,5000,0.9966986325173284,0.3068654229190156,0.285401804447174
ZNHIT6+ctrl,116,2000,5000,1.0703879365434164,0.3023338204577778,0.3000938999652862
SRBD1+ctrl,143,2000,5000,1.0450249370893503,0.2941163351556822,0.2627798247337341
MFAP1+ctrl,164,2000,5000,1.1102286073613186,0.3024859014464339,0.2913190650939941
RPS19+ctrl,410,2000,5000,0.8299711461457902,0.311644211963743,0.2596716779470444
ARGLU1+ctrl,367,2000,5000,0.7245815219091665,0.2952117801573724,0.1966176664829254
GTF2E2+ctrl,69,2000,5000,1.2909569110284034,0.2970714347498827,0.3263096380233765
DYNLRB1+ctrl,192,2000,5000,0.9695803429776184,0.2951552465553923,0.2483738243579864
TSR2+ctrl,486,2000,5000,0.7975700809636418,0.3062422948416182,0.262601146697998
COG2+ctrl,332,2000,5000,0.7526402187985874,0.2983325066267162,0.2063574916124343
SFPQ+ctrl,185,2000,5000,1.17098724260302,0.3137789906214788,0.3712365412712097
MRPL18+ctrl,128,2000,5000,0.9945518258420634,0.3030444764226094,0.2653450584411621
NAA15+ctrl,107,2000,5000,1.1131853536022045,0.3053434997926351,0.2963495790958405
DONSON+ctrl,688,2000,5000,0.7258999221595437,0.2903452716419565,0.209725272655487
RARS2+ctrl,139,2000,5000,0.9789348534122108,0.2988245680538751,0.2604541516304016
RPF1+ctrl,108,2000,5000,1.0640547160573166,0.3008808901882011,0.2859542965888977
ZBTB17+ctrl,158,2000,5000,0.9699723374977404,0.3026372860187463,0.2562247443199157
DPH2+ctrl,161,2000,5000,0.9396169262101748,0.3002713851555378,0.2598589217662811
TAF10+ctrl,38,2000,5000,1.705467590905864,0.2896493381961203,0.4405592486665055
XPO1+ctrl,139,2000,5000,1.1542488956724783,0.3135282155023974,0.3328057479858398
NUP54+ctrl,266,2000,5000,0.858992556177668,0.3071413351754984,0.2484234380722046
SSRP1+ctrl,440,2000,5000,0.8356891168570675,0.2994325576638001,0.2478356993198394
SON+ctrl,238,2000,5000,1.0279543087180674,0.299084860664454,0.2936856520175934
BGLAP+ctrl,236,2000,5000,0.9797131531723476,0.2970034205925984,0.2592820060253143
PSMD7+ctrl,175,2000,5000,1.2130281330968653,0.3036427167723343,0.3361312127113342
SUGT1+ctrl,94,2000,5000,1.077908684014085,0.30001500822261,0.2935057032108307
CENPE+ctrl,171,2000,5000,0.9638487907703858,0.2951202137431387,0.2505919635295868
MZT1+ctrl,381,2000,5000,0.7235397184749679,0.2927907877668323,0.191794855594635
NFRKB+ctrl,223,2000,5000,0.8707768446795074,0.2990381752617238,0.2364480793476104
RPS14+ctrl,156,2000,5000,1.012069146348617,0.3031807882413709,0.2771193742752075
SNRPG+ctrl,325,2000,5000,0.8794075016025168,0.3020890555122988,0.2532843708992004
MRPL38+ctrl,132,2000,5000,0.994329816081956,0.3017073212559445,0.2617986476421356
MAGOH+ctrl,149,2000,5000,1.0143048898225662,0.3033285173537344,0.2791777575016022
DNTTIP2+ctrl,235,2000,5000,0.9255303909084266,0.3093245437094725,0.2755317336320877
U2AF1+ctrl,141,2000,5000,1.1166266453427307,0.3053458734694653,0.3175459384918213
NOL6+ctrl,107,2000,5000,1.1546278735974405,0.3075336709661316,0.3199409365653992
SF3A2+ctrl,236,2000,5000,0.943051393704836,0.3035643692512897,0.2691617977619171
TXN+ctrl,81,2000,5000,1.116657734890411,0.3102240899884106,0.2964895045757293
ORC5+ctrl,89,2000,5000,1.1439176191171905,0.3085310063958706,0.3109093201160431
DDX49+ctrl,41,2000,5000,1.505760623741804,0.2993720056130696,0.3948337733745575
ANKRD11+ctrl,184,2000,5000,0.8512535782935826,0.3017853317830991,0.2434332287311554
CCDC86+ctrl,235,2000,5000,0.8480086944984631,0.3058904763016007,0.2424640870094299
RPS21+ctrl,63,2000,5000,1.3123078712738223,0.3028542645712105,0.3470083844661712
POLE+ctrl,154,2000,5000,0.9890737010623242,0.3050581866486245,0.2619957637786865
TRMT10C+ctrl,67,2000,5000,1.2051748107273632,0.3055920181368351,0.31864666223526
VPS29+ctrl,146,2000,5000,1.0157311255250077,0.3009525653515027,0.2773282849788666
CWC15+ctrl,144,2000,5000,1.0942785687504026,0.3070479806494387,0.3229021370410919
CHMP6+ctrl,620,2000,5000,0.7529045796629882,0.3054030148691736,0.2333051162958145
RBX1+ctrl,41,2000,5000,1.422961930216222,0.2975408099830869,0.3464833535254001
BRIX1+ctrl,95,2000,5000,1.2436128463941187,0.3056550275994806,0.3114568161964416
PTCD1+ctrl,246,2000,5000,0.8177194377940481,0.2984429136039855,0.22836554646492
HIRA+ctrl,228,2000,5000,0.8121713496208715,0.3019033156769584,0.220209641456604
POP4+ctrl,116,2000,5000,1.0939274059178243,0.3069693416958416,0.3108699560165405
DYNC1H1+ctrl,217,2000,5000,0.9945369066361524,0.2952383683826486,0.2528061389923096
POLR3B+ctrl,109,2000,5000,1.1085140608292106,0.3040861045681609,0.2926485359668732
DNAJC8+ctrl,260,2000,5000,0.8227910289028659,0.3020412830833239,0.2261843299865722
QARS+ctrl,376,2000,5000,0.8714137443593961,0.3015473559246965,0.2687467461824417
WBP11+ctrl,205,2000,5000,0.9681500942558052,0.2996339769457811,0.2583622574806213
MCM10+ctrl,190,2000,5000,0.9126034052091602,0.3006834518718174,0.2506526041030884
PSMD1+ctrl,87,2000,5000,1.2588262562535102,0.3051132950752091,0.3351029360294342
MED20+ctrl,78,2000,5000,1.4609579270490662,0.3007510380579831,0.3991435933113098
DERL2+ctrl,122,2000,5000,1.1361668338342643,0.3001825844999095,0.2935051965713501
VPS54+ctrl,306,2000,5000,0.7769451822049526,0.2923704254146899,0.2023632091283798
WDR12+ctrl,174,2000,5000,0.91715126373773,0.3065169314543434,0.2567162823677062
OXA1L+ctrl,305,2000,5000,0.8171400567130109,0.303917329890041,0.2394041836261749
SART3+ctrl,142,2000,5000,0.9987463683869794,0.3022505396362502,0.27668701171875
TEX10+ctrl,153,2000,5000,0.944135135107132,0.3026848005999798,0.2605931258201599
GTF2E1+ctrl,176,2000,5000,0.9422937982724132,0.2967415446780098,0.2503810501098633
DDX54+ctrl,68,2000,5000,1.1790165307066018,0.2961824617180228,0.3074994659423828
E4F1+ctrl,130,2000,5000,1.0341997713630016,0.3049921518476551,0.2816777980327606
RIOK1+ctrl,290,2000,5000,0.8468678855186265,0.3089555641757243,0.2511205363273621
EBNA1BP2+ctrl,68,2000,5000,1.1746652181840993,0.298193627126826,0.308381667137146
EIF5A+ctrl,100,2000,5000,1.1295117391586305,0.2979435106745945,0.2966951787471771
SF3B2+ctrl,197,2000,5000,1.1362742369517989,0.3011158738008672,0.3336805236339569
ACTR8+ctrl,242,2000,5000,0.8697976376016215,0.3029096327253086,0.2461879801750183
EXOSC2+ctrl,209,2000,5000,1.0652482455045555,0.3082603357957981,0.3309883964061737
ALG13+ctrl,167,2000,5000,0.9266088187672242,0.2998741126832163,0.2468960165977478
CPSF3+ctrl,575,2000,5000,0.7287392972187827,0.3035732119899021,0.2266265499591827
RBM42+ctrl,68,2000,5000,1.263746319538092,0.3020054959275139,0.3507022380828857
CDC40+ctrl,84,2000,5000,1.2232855090427968,0.2988022385116411,0.3135234129428863
PPP1R11+ctrl,69,2000,5000,1.1754822343771438,0.3049633272468899,0.3079286134243011
SF3B3+ctrl,215,2000,5000,1.0694078181983775,0.2951542041348027,0.2903509628772736
MRPL54+ctrl,112,2000,5000,1.0442966087145864,0.3012033774754549,0.2729823160171509
WDHD1+ctrl,175,2000,5000,0.8742240023110592,0.3059152739385308,0.2379618370532989
FCF1+ctrl,225,2000,5000,0.929042552585072,0.3115322961142093,0.2786229991912842
LSM4+ctrl,68,2000,5000,1.2425322095151334,0.3026052944869803,0.3531116986274719
IGBP1+ctrl,245,2000,5000,0.9276343238753628,0.296860160801924,0.2442944002151489
SNRNP27+ctrl,42,2000,5000,1.4261652851870996,0.2877131579739821,0.3493026218763211
GFM1+ctrl,230,2000,5000,0.8326451791100528,0.3011523047726785,0.2343288791179657
POLR2E+ctrl,93,2000,5000,1.2058528246730562,0.3054574466818809,0.313864232301712
SNRPD1+ctrl,113,2000,5000,1.2831206450954211,0.3088711535526675,0.3865475475788116
RFC3+ctrl,211,2000,5000,0.8255524476320966,0.3018398179987032,0.2274658906459808
MRPS26+ctrl,111,2000,5000,1.033976267305379,0.3014168475286601,0.2762349581718444
RCC1+ctrl,162,2000,5000,0.9568376084981648,0.3008692965529125,0.2546864259243011
NEDD1+ctrl,134,2000,5000,0.9771818938291174,0.3051173025288635,0.2558075261116028
DDX5+ctrl,130,2000,5000,0.9814603316836918,0.3105337567620249,0.2688662683963775
EIF2S1+ctrl,208,2000,5000,1.1316045844008644,0.3154693875099429,0.3697871148586273
CUL1+ctrl,181,2000,5000,0.906299592848682,0.299083741876206,0.241765991449356
KRI1+ctrl,51,2000,5000,1.2756434589244572,0.3161659298348551,0.3384060060977936
ZNF335+ctrl,140,2000,5000,0.978673120414572,0.3013470031358771,0.2606938064098358
GPKOW+ctrl,105,2000,5000,1.122872160164728,0.3057512005240171,0.3039869511127472
POLR2F+ctrl,209,2000,5000,1.0476047780895918,0.2990645767351181,0.2805658042430877
USP36+ctrl,151,2000,5000,0.962504759466658,0.2981504185199229,0.2621335113048553
