condition,n_test_cells,n_pred_cells,n_genes,wasserstein_1_pca50,mmd_pca50,energy_pca50
MCM3AP+ctrl,100,2000,5000,1.108133105814457,0.29921671883144585,0.29599257588386535
TRMT5+ctrl,93,2000,5000,1.099245266069568,0.29978841261749023,0.29536490082740785
MRPS27+ctrl,76,2000,5000,1.2000667259538251,0.29949713965893093,0.30487335681915284
RBM39+ctrl,49,2000,5000,1.2847806942779065,0.29664844280424246,0.322559030726552
HSPA8+ctrl,146,2000,5000,1.113693694643013,0.30708509513542764,0.3122853696346283
SURF6+ctrl,113,2000,5000,1.0279206758015587,0.3115761215256388,0.27664169907569885
NUBP1+ctrl,144,2000,5000,0.9755788201815447,0.3053330414197154,0.2598931956291199
HEATR1+ctrl,216,2000,5000,0.997974029224435,0.3060831693841147,0.2807325339317322
PRPF4B+ctrl,160,2000,5000,0.9746340820910409,0.3001077097465408,0.26694072484970094
POLR1E+ctrl,202,2000,5000,0.8993594525741543,0.30469553525499615,0.24714345455169678
MRPS24+ctrl,132,2000,5000,0.9834468338901714,0.30053233946968383,0.2572910416126251
EIF2B3+ctrl,96,2000,5000,1.2123571732236693,0.3019597159043917,0.33533588171005246
SRFBP1+ctrl,73,2000,5000,1.265605122526623,0.30635773815216033,0.3410788536071777
PUF60+ctrl,52,2000,5000,1.3947181764073096,0.2871994832349721,0.36090989589691164
RPS23+ctrl,98,2000,5000,1.2166369514319362,0.3116920706644948,0.3514536011219025
SCFD1+ctrl,103,2000,5000,1.1369571407992864,0.30431585337917905,0.2928687238693237
MDN1+ctrl,68,2000,5000,1.1858774540551442,0.29449187417197825,0.31096449613571164
CHERP+ctrl,54,2000,5000,1.291568485432201,0.29350565774637183,0.3429521238803864
SRRM1+ctrl,136,2000,5000,0.9419141875562148,0.3032587653698955,0.25800135493278503
POLR3F+ctrl,156,2000,5000,0.962248756493537,0.30051593600604465,0.2602818894386292
MRPL50+ctrl,147,2000,5000,0.9432939885005509,0.30024029285482107,0.2570055627822876
RPP14+ctrl,53,2000,5000,1.3411566212520285,0.29999002880536113,0.34711448550224305
RPL9+ctrl,180,2000,5000,0.9791432676416718,0.3032539110359576,0.2802717065811157
PRPF8+ctrl,91,2000,5000,1.2522512351590525,0.2997181540490866,0.32790046811103823
HSPE1+ctrl,25,2000,5000,1.982273512457808,0.29180113711461403,0.5377455651760101
ECD+ctrl,69,2000,5000,1.2981562561315039,0.29566587790449317,0.3436174809932709
RPL10+ctrl,215,2000,5000,0.9400596175943177,0.30480318468388606,0.26859586834907534
AP2S1+ctrl,96,2000,5000,1.1121834579207157,0.30054591497859495,0.2994769287109375
TSEN2+ctrl,168,2000,5000,0.9348880230577753,0.30556012970234614,0.2665078341960907
PIAS4+ctrl,173,2000,5000,0.9787634810701963,0.3026191937119821,0.2663076078891754
MRPS11+ctrl,90,2000,5000,1.1036671823023092,0.3028720890115706,0.29480383038520813
BYSL+ctrl,87,2000,5000,1.2057150985677352,0.30934961124797167,0.3420130181312561
ZCRB1+ctrl,141,2000,5000,0.9490878949068646,0.3028246949692952,0.25750845313072207
GNL3L+ctrl,66,2000,5000,1.1878015502451948,0.295731084614636,0.3134694755077362
