condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,repeat
NDUFB4,159,2000,2000,0.9980136569674598,0.9829803207450799,0.34245606548921853,0.2628683000656506,0.9959805374965072,0.0014714050343590198,0.7279295030234029,0.1532259770836008,0.20175276369936726,0
NEDD8,191,2000,2000,0.9921200102291753,0.9617677489419375,0.4071177317438402,0.3441961986781233,0.9839720875024796,0.005946906674497132,0.7090244866067268,0.11269595979748413,0.17611924427831135,0
NELFA,82,2000,2000,0.9917873236718058,0.9529372770916706,0.4494646328455717,0.3423894930973733,0.9834901243448257,0.005932179353106823,1.0742877276484935,0.19945776198250256,0.3591412405951489,0
NIFK,222,2000,2000,0.989336318858253,0.9579823854955962,0.36564532111025483,0.29477948130541265,0.9776439853012562,0.007605931146801726,0.6768642205302129,0.11506418134134025,0.19433133218391746,0
NOB1,45,2000,2000,0.9911793739131644,0.9434742288685575,0.27129349637000305,0.14966088891522222,0.9822156950831413,0.006193525242928793,1.3779069106326018,0.2141959075099085,0.47175152541164117,0
NOC3L,73,2000,2000,0.9914608372827226,0.953436532359133,0.14685688573100572,0.0957394064348516,0.9820019993931055,0.006388820642395736,1.0338729644138414,0.19562625361645405,0.3502008611769072,0
NSMCE2,109,2000,2000,0.9974713853142313,0.9759335829833958,0.08500076491814783,0.06412174155448104,0.994821488391608,0.0018975903376976147,0.8731370376724159,0.1708053916825074,0.26097805489124437,0
NSUN4,151,2000,2000,0.9974804907700835,0.9804047556011888,0.11287196676768914,0.09368828942207236,0.9948891554959118,0.0018736813001744331,0.7373757162546037,0.140756700144028,0.2011543646687786,0
ORC1,477,2000,2000,0.998506953678115,0.9882153730538437,0.7740100533095868,0.6382980375638712,0.9967824411578476,0.0011343469899585121,0.4240778738244645,0.07251978480089882,0.08389722229273751,0
PDRG1,111,2000,2000,0.9901468997874354,0.9544050841012711,0.004486248569994461,0.04731173382793346,0.9800907988101244,0.007132055001155234,0.9501882756286351,0.1855746568665219,0.29460619415306655,0
