condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50
RUVBL1,192.0,2000.0,2000.0,0.9746150104944652,0.8878061054515262,0.17052476580557113,0.13747179736794932,0.9437253251671791,0.018540308593762142,0.9597851168347536,0.17839780731691607,0.3620361447878439
SAP18,51.0,2000.0,2000.0,0.9899822717145207,0.9492371538092889,0.017808838413249428,-0.00481319820329955,0.9781348574906588,0.007567680681140637,1.2501152523146428,0.19396337639463163,0.40349362260746147
SEC61B,78.0,2000.0,2000.0,0.9963801047542513,0.9692066779151216,0.17951218134042995,0.05806084751521187,0.9926200001500547,0.0027898421033244825,1.0441491520903476,0.2259995421899465,0.366608399063116
SEPHS2,138.0,2000.0,2000.0,0.9978774306948242,0.9800032505008129,0.06487376511084682,0.05007411501852876,0.9957009325735271,0.0015836882191010621,0.7842275605169831,0.17520001655778272,0.23300010951752617
SLBP,68.0,2000.0,2000.0,0.9744226522764307,0.9164775011193755,-0.13311504010121647,-0.06217412231684588,0.9491661451756954,0.018580060697058528,1.103120468789683,0.20029472293247913,0.41413915893868514
SMC1A,166.0,2000.0,2000.0,0.9842802466868364,0.9359166929791732,0.7136214699944432,0.5840413492293528,0.9670304171741009,0.011108953879636676,0.9558484346197003,0.18767511766245584,0.3144539638741525
SNF8,129.0,2000.0,2000.0,0.9945685042416025,0.9606421471605363,-0.05405106231988217,-0.0393923348924001,0.9889726042747498,0.0040924526984559605,0.7755827312338213,0.14174372436640462,0.20654064878349718
SRPRB,153.0,2000.0,2000.0,0.996553172882072,0.9729382532345633,0.2579265046863325,0.17566372841593209,0.9929460729472339,0.0025617434324905204,0.8284610319668786,0.17930230042253037,0.25270933458154626
SRSF7,101.0,2000.0,2000.0,0.9894407748972607,0.9474543358635841,0.19603936869890717,0.14230042312846847,0.9788812100887299,0.007805917682387566,0.9582883256131615,0.18827645704274307,0.2954226053127503
STRAP,100.0,2000.0,2000.0,0.9901832954841775,0.9517860039465006,0.16247005776415424,0.10944635136158783,0.979393845424056,0.0076320983873298534,0.8950683493732662,0.17663656304673547,0.2868949152145308
SUGP1,146.0,2000.0,2000.0,0.9930090226794676,0.9626842626710652,0.08938611100366976,0.04407484101871025,0.9858438661321998,0.005293988294440301,0.7815976663015466,0.1519748207561534,0.23433558384971548
SUPT4H1,55.0,2000.0,2000.0,0.9908678788071243,0.9394646887753688,0.3462129900439673,0.24375541593885394,0.981473483145237,0.006520407052653466,1.2733438857300714,0.21159239230143317,0.43379929480547635
SYS1,58.0,2000.0,2000.0,0.9958731773735044,0.9621931929091209,0.24732308650640886,0.1889803432450858,0.9916824316605926,0.0030482489646551443,1.1650184930821426,0.2042011310256721,0.3854097565729006
TBL3,70.0,2000.0,2000.0,0.9958481344442718,0.9666885451721362,0.7845747269755519,0.5544411891102973,0.9916436616331339,0.0028238074744056634,1.1636219549576778,0.19755765626433708,0.37500652668380674
TFAM,78.0,2000.0,2000.0,0.9953378279548402,0.967083489270872,0.4865436672634873,0.025164421791105444,0.9905068799853325,0.003460397385274927,1.0622883936421217,0.2014363558800283,0.34652283371258863
TIPIN,100.0,2000.0,2000.0,0.9972500775434737,0.9772745653186412,0.2995979411506312,0.217971928406461,0.9943199432455003,0.002094005922947529,0.855588361659497,0.1731830438534675,0.26012299461978816
TPRKB,34.0,2000.0,2000.0,0.9927461399999232,0.9374988287809551,0.19118251690870372,0.15124713931178482,0.9854126870632172,0.005365073811748447,1.5104016648504663,0.20119341793496917,0.5131111631519447
TPX2,289.0,2000.0,2000.0,0.9951711766481144,0.9775510603877655,0.11841160015426996,0.1505492656373164,0.9892786499112844,0.0036837156672681858,0.6246736220033242,0.08853415302299858,0.1383863581702149
TSG101,83.0,2000.0,2000.0,0.9842976295773885,0.9259266754816692,0.5198552264852926,0.4208387072096768,0.9687004461884499,0.011046526101076348,1.1253208087117428,0.19973506810828479,0.3815982331063198
TXN,79.0,2000.0,2000.0,0.9917061587366153,0.9582652285663076,0.2815434587133692,0.20805577001394251,0.9827093463391066,0.006127255842550938,0.968776061582378,0.17635193415358572,0.3015110028663952
UBA3,94.0,2000.0,2000.0,0.994366236640206,0.9692088458022119,-0.062246542890718515,-0.052436774609193645,0.9882501494139433,0.004357399937365034,0.9691728584799535,0.20089613258939865,0.315632150144464
UBQLN4,145.0,2000.0,2000.0,0.994676238994316,0.9684268697198775,0.3053474397648261,0.27174110143527536,0.989105056039989,0.003910967231947098,0.7863961731108262,0.12968518488324698,0.2030518288290443
UBR5,35.0,2000.0,2000.0,0.9926162559716185,0.9351898376030285,0.006943784463180601,0.0181243342878802,0.9851138945668936,0.005513429271104944,1.5102495049952018,0.2165601059602477,0.5191359728801084
UFM1,119.0,2000.0,2000.0,0.9963767452326253,0.9752145713036425,0.25697943131977763,0.2006067516516879,0.9927091095596552,0.002692099319428532,0.806688381768597,0.146915964055827,0.22479284067345184
UQCC2,83.0,2000.0,2000.0,0.9936242650429397,0.9589522602380653,0.1752399420553921,0.17038705709676427,0.9858448058366776,0.005191333489237642,0.9786797441169177,0.18727505833885696,0.3145084169397245
UQCRB,93.0,2000.0,2000.0,0.997038650485125,0.9707394011848505,0.37208330563454173,0.2659355339333352,0.9940617568790913,0.0021719506875951997,0.9311511969446689,0.19687412420760875,0.28987518537406703
UQCRC2,67.0,2000.0,2000.0,0.9963596704126094,0.9673305603326399,0.43722433067322786,0.29243572171859383,0.99267802760005,0.0026679635072351664,1.0899526455087294,0.21318474363504603,0.3647879170188392
URB2,189.0,2000.0,2000.0,0.9975661247324457,0.9830665542666387,0.6629767334918345,0.4954437812967367,0.994512565433979,0.0019719914114132574,0.6367204240663659,0.11597524808605508,0.15563517042654898
VPS28,49.0,2000.0,2000.0,0.9819365360528014,0.9286275971568988,0.8305076927389143,0.7019208659802164,0.9638427160680294,0.012862029835437216,1.3809153333076918,0.21575223989492606,0.49304449472589534
VPS35,41.0,2000.0,2000.0,0.9890648122406862,0.9253754195229651,0.33800258515812887,0.2739838629959657,0.9774197265505791,0.008072274499445302,1.5736237182108674,0.2575676761664229,0.5968612959976223
VPS41,302.0,2000.0,2000.0,0.9982439027923533,0.9846192016548,0.1536563660063519,0.1408566082669733,0.9964486302342266,0.0013058295587221602,0.5279744608158303,0.10186343928475275,0.1218723074228595
YEATS2,233.0,2000.0,2000.0,0.9975475191679961,0.9831779697944926,0.41974732664478687,0.14094346273586567,0.9948968011885881,0.001817373772885726,0.602426983866255,0.11557935379333278,0.14450693505063011
ZMAT5,98.0,2000.0,2000.0,0.9950964578239057,0.9635533943883485,0.40206276077613173,0.2566431116607779,0.9901959523558617,0.0035093894960887793,0.9647457465585041,0.1759976511492826,0.30021046789809985
ZNHIT3,66.0,2000.0,2000.0,0.993578854248037,0.9550198956131069,-0.009545704780030109,-0.010703892429987068,0.9866268802434206,0.004949210406560013,1.0577328382966706,0.18778684122558575,0.34561344574928377
