condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,chunk
AAMP,76.0,2000.0,2000.0,0.9929542451527902,0.9566500832712652,0.0676545075690351,0.0318167869541967,0.98547890689224,0.0051531281919757,1.0374944698368944,0.2069279241568366,0.3538618385116069,0
ABCB7,192.0,2000.0,2000.0,0.9961146999705872,0.9774281668570418,0.3556149090929253,0.2512142541477689,0.992136119864881,0.0028347633130098,0.6345066992886086,0.1159110869835416,0.1546345367388411,0
AHCY,142.0,2000.0,2000.0,0.9965711697308064,0.9769313277328316,-0.0522615887998391,-0.0504499476124868,0.9931477545760572,0.0025144090572884,0.7613007745279209,0.1608083312326844,0.2238107006481111,0
ANAPC5,35.0,2000.0,2000.0,0.9940965236126224,0.9456511163720176,0.228178173680862,0.1529384940419754,0.988184254616499,0.0042962041109862,1.3830907884222756,0.1796836646973816,0.4375759202013876,0
ARIH1,57.0,2000.0,2000.0,0.993711619704799,0.9481203990300994,0.2563385307878295,0.1677290009322502,0.987122961319983,0.004546909959246,1.2308301785094995,0.2111975929702778,0.4154006139447307,0
ATL2,109.0,2000.0,2000.0,0.9969224808582916,0.9754829318707328,0.0943245751243509,0.0520584550341356,0.9937078086659312,0.0023113276267932,0.8555741184415752,0.1755295476141057,0.2583405972402607,0
ATP6V1B2,406.0,2000.0,2000.0,0.9954833863102656,0.9782954340738584,0.6845304261572616,0.5306276796569199,0.9908469123765826,0.0032697296169623,0.5029247211957024,0.087318223720543,0.1167756078103319,0
ATP6V1C1,55.0,2000.0,2000.0,0.995738216202526,0.9619648159912036,0.2278415385808859,0.129650103912526,0.9914760310202836,0.003118333514653,1.1183024115111748,0.1878170683226755,0.357158316056881,0
BCS1L,68.0,2000.0,2000.0,0.996664520044016,0.9689047507261876,0.0792859377433699,0.0763809154025145,0.9932754123583436,0.0024763372540064,1.0491588588505985,0.1895866199477792,0.3240916727931771,0
BDP1,277.0,2000.0,2000.0,0.9874795406766008,0.9474708178677038,0.4791604579365716,0.3923982998938737,0.974664280191064,0.0088307115429319,0.5977859022796949,0.0891928039648596,0.1563955510051848,0
