condition,idx,top_k,strategy,n_pred_cells,neighbor_conditions,neighbor_cosine,neighbor_train_cell_counts
AAMP,0,5,equal_neighbor,2000,EXOC1|EXOC5|EXOC2|COX7B|MVD,0.981899|0.981725|0.981308|0.980072|0.979997,175|100|85|108|101
ABCB7,1,5,equal_neighbor,2000,SUPV3L1|DDX56|DDX6|EIF4G1|RTEL1,0.994094|0.994071|0.993937|0.993795|0.993731,74|144|56|327|137
AHCY,2,5,equal_neighbor,2000,EEF1G|PGAM1|PPA1|ACTR1B|CS,0.991162|0.989946|0.98948|0.989085|0.988983,170|157|131|200|195
ANAPC5,3,5,equal_neighbor,2000,CDC16|ANAPC11|CDC23|SMC6|SKP2,0.999235|0.99671|0.99638|0.994635|0.994277,142|66|158|113|192
ARIH1,4,5,equal_neighbor,2000,ANAPC11|RBBP6|PRPF19|DBF4|CBLL1,0.996391|0.995854|0.994755|0.994408|0.994234,66|70|98|104|93
ATL2,5,5,equal_neighbor,2000,ERAL1|TRPM7|CENPE|GET3|LSG1,0.994156|0.992863|0.992007|0.991741|0.991512,107|123|171|106|106
ATP6V1B2,6,5,equal_neighbor,2000,ATP6V0C|ATP1A1|ATP6V1H|ATP6V1D|ATP6V0D1,0.996308|0.995852|0.995759|0.995682|0.995605,47|71|77|125|88
ATP6V1C1,7,5,equal_neighbor,2000,ATP6V1H|ATP6V1F|ATP6V0B|ATP6V1E1|ATP6V0C,0.998445|0.998248|0.994944|0.994833|0.994573,77|64|136|161|47
BCS1L,8,5,equal_neighbor,2000,ERAL1|CENPE|KIF4A|GET3|TRPM7,0.994524|0.994414|0.994231|0.99403|0.993923,107|171|126|106|123
BDP1,9,5,equal_neighbor,2000,MED22|MED4|MED20|SF3B5|MED6,0.999205|0.999093|0.998981|0.998954|0.998895,279|56|78|69|231
C12orf45,10,5,equal_neighbor,2000,AAAS|AARS|AARS2|AASDHPPT|AATF,0|0|0|0|0,202|38|179|39|254
C17orf58,11,5,equal_neighbor,2000,ANKS6|FAM136A|LENG8|LSM12|GPN2,0.778719|0.76353|0.76353|0.761986|0.761106,89|45|108|50|42
CCDC174,12,5,equal_neighbor,2000,CLASRP|KIAA1143|DNAJC8|CCDC59|RBM28,1|0.99998|0.998476|0.995408|0.987742,114|179|267|100|63
CCT5,13,5,equal_neighbor,2000,CCT6A|CCT3|CCT7|CCT4|CCT8,0.999781|0.999778|0.99946|0.999275|0.998852,99|217|141|232|95
CD3EAP,14,5,equal_neighbor,2000,AAAS|AARS|AARS2|AASDHPPT|AATF,0|0|0|0|0,202|38|179|39|254
CDC45,15,5,equal_neighbor,2000,HUS1|RPA2|TOPBP1|POGZ|PRPF19,0.996295|0.996173|0.99608|0.996067|0.995904,198|177|40|38|98
CDC5L,16,5,equal_neighbor,2000,HINFP|TFDP1|AATF|ELL|PELP1,0.997889|0.997823|0.997799|0.997699|0.997475,157|140|254|80|60
CDK9,17,5,equal_neighbor,2000,INO80|PRMT5|CHD4|DDX21|RBMX,0.997906|0.997356|0.997301|0.997267|0.997201,143|92|35|79|118
CIAO1,18,5,equal_neighbor,2000,RPL6|MED28|TAF1B|INTS4|GTF2F2,0.992895|0.992746|0.992579|0.992487|0.992457,241|66|92|47|52
CNOT3,19,5,equal_neighbor,2000,CNOT1|LSM3|LSM4|POLR2G|LSM7,0.996863|0.995893|0.995862|0.995748|0.995435,202|67|71|131|130
COX7C,20,5,equal_neighbor,2000,COX6C|UQCRH|MICOS10|COX5A|DNAJC11,0.996377|0.994844|0.992548|0.992203|0.991972,115|57|83|80|41
CPSF3,21,5,equal_neighbor,2000,LSM10|EXOSC2|EXOSC7|EXOSC4|EXOSC5,0.998026|0.997953|0.997445|0.997325|0.997072,134|209|84|89|38
CRLS1,22,5,equal_neighbor,2000,COQ2|TAMM41|FDXR|SDHC|NDUFB3,0.996126|0.992386|0.99027|0.989635|0.989615,67|118|133|91|119
CUL3,23,5,equal_neighbor,2000,RAC1|HDAC3|MTOR|TAF1|CSNK2B,0.998256|0.997772|0.99766|0.997639|0.997601,160|51|93|92|110
CYCS,24,5,equal_neighbor,2000,DAP3|SLC39A9|STARD7|PDAP1|DNAJC19,0.992123|0.991587|0.99126|0.990213|0.990065,154|724|98|46|328
DDX27,25,5,equal_neighbor,2000,DDX10|DDX52|DDX18|MDN1|RNGTT,0.999614|0.99924|0.998926|0.997887|0.997614,97|106|128|76|110
DDX55,26,5,equal_neighbor,2000,DDX10|DDX52|MDN1|DDX18|RNGTT,0.999464|0.999451|0.998528|0.998512|0.997465,97|106|76|128|110
DENR,27,5,equal_neighbor,2000,EIF3M|EIF3G|EIF3D|TBCA|NUDCD3,0.993279|0.992549|0.990092|0.988261|0.985046,217|57|160|176|108
DERL2,28,5,equal_neighbor,2000,SCAP|FAF2|NPLOC4|CHMP3|PTPN23,0.99551|0.995058|0.994444|0.994176|0.994148,132|158|52|119|132
DICER1,29,5,equal_neighbor,2000,DDX5|DDX20|DDX21|METTL3|PRMT1,0.998063|0.997518|0.997503|0.99746|0.997227,134|110|79|127|48
DNM1L,30,5,equal_neighbor,2000,CDC42|RAC3|RAC1|TCP1|CCT2,0.996513|0.996305|0.995974|0.995942|0.995827,62|211|160|63|177
DPAGT1,31,5,equal_neighbor,2000,ALG11|ALG13|ALG1|OSTC|RPN2,0.998506|0.99707|0.996513|0.995976|0.995754,91|167|67|196|94
EIF3J,32,5,equal_neighbor,2000,EIF3M|EIF3G|EIF3D|TBCA|TBCB,0.998772|0.997342|0.995111|0.989897|0.987758,217|57|160|176|97
EIF4A1,33,5,equal_neighbor,2000,PSMC3|CCT8|CCT3|CCT4|CCT6A,0.997845|0.997537|0.997411|0.997404|0.997371,32|95|217|232|99
ELP2,34,5,equal_neighbor,2000,ELP5|INTS5|SRRM1|GTF2H3|INTS4,0.997814|0.997517|0.997462|0.997407|0.997344,167|62|151|72|47
