model,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
Scouter_GenePTv1_40ep_fixed2000,SMG5,top_true_de,100,82,2000,4950,0.4382769418438245,0.4006123768201864
Scouter_GenePTv1_40ep_fixed2000,HNRNPH1,top_true_de,100,92,2000,4950,0.49995276928968213,0.47423192860302266
Scouter_GenePTv1_40ep_fixed2000,RPL10A,top_true_de,100,195,2000,4950,0.8195184348293679,0.8260344797706328
Scouter_GenePTv1_40ep_fixed2000,EIF3E,top_true_de,100,171,2000,4950,0.684720899474051,0.6777164754426958
Scouter_GenePTv1_40ep_fixed2000,MRPS14,top_true_de,100,82,2000,4950,0.5023293906074138,0.44079517202788904
Scouter_GenePTv1_40ep_fixed2000,EIF3M,top_true_de,100,209,2000,4950,0.6753351585875439,0.6154158192005417
Scouter_GenePTv1_40ep_fixed2000,RPL13,top_true_de,100,243,2000,4950,0.8472506036745175,0.8482241422135609
Scouter_GenePTv1_40ep_fixed2000,SNAPC3,top_true_de,100,201,2000,4950,0.722139813116744,0.7224646830241
Scouter_GenePTv1_40ep_fixed2000,NBAS,top_true_de,100,94,2000,4851,0.5813672132796764,0.5577700897545683
Scouter_GenePTv1_40ep_fixed2000,ELP5,top_true_de,100,167,2000,4950,0.6901760875032439,0.635853142979416
Scouter_GenePTv1_40ep_fixed2000,RPS6,top_true_de,100,165,2000,4950,0.5567897108074529,0.524444020476145
Scouter_GenePTv1_40ep_fixed2000,SEC13,top_true_de,100,43,2000,4950,0.5571133030009459,0.5196598774630614
Scouter_GenePTv1_40ep_fixed2000,SFSWAP,top_true_de,100,145,2000,4851,0.5735334896923894,0.5076496889849537
Scouter_GenePTv1_40ep_fixed2000,SLU7,top_true_de,100,195,2000,4950,0.7768688849074421,0.7724635518716978
Scouter_GenePTv1_40ep_fixed2000,POLA1,top_true_de,100,195,2000,4950,0.8805788813467454,0.8800106821509894
Scouter_GenePTv1_40ep_fixed2000,GFER,top_true_de,100,198,2000,4950,0.7642606623126721,0.7470214969674823
