condition,n_test_cells,n_pred_cells,n_genes,wasserstein_1_pca50,mmd_pca50,energy_pca50
ACTR8,242,2000,5000,0.7806847306100967,0.5015277166930929,0.3790253040555667
ALG13,167,2000,5000,0.8663062349023553,0.4895425525427168,0.416063467292784
ANKRD11,184,2000,5000,0.7963906710910856,0.502026028024739,0.4131811028915798
AP2S1,96,2000,5000,1.0430753771990755,0.4905674072478943,0.5108587472774763
ARGLU1,367,2000,5000,0.6561033657898083,0.5076230230534311,0.314726182767805
ARIH1,57,2000,5000,1.261359472963798,0.4854420247618183,0.5986944691816651
ARPC4,188,2000,5000,0.8136819051813439,0.4750434310123538,0.3736743794196778
ATP6AP1,114,2000,5000,1.0090316884938269,0.488411124234857,0.4983720438608389
BGLAP,236,2000,5000,0.9131891759022308,0.4877382639164725,0.439131407730911
BMS1,18,2000,5000,2.1832245673156234,0.4993154616392234,1.11218832646088
BRIX1,95,2000,5000,1.1802694028045422,0.4852331619468986,0.5496338195525842
BYSL,87,2000,5000,1.1461087027240346,0.4974466454356362,0.5942488843931131
C1QBP,189,2000,5000,0.8480044842184065,0.4879871961364816,0.4100014923955589
CCDC86,235,2000,5000,0.7546705265857352,0.4829385008563837,0.3576860354280664
CDC123,96,2000,5000,1.00449596762515,0.482701593001639,0.4945776682752269
CDC23,158,2000,5000,0.888173078176021,0.443340617965041,0.3809519409414546
CDC40,84,2000,5000,1.176328032967889,0.4716380982872066,0.573582981906799
CENPC,116,2000,5000,1.130677679487093,0.4789494142193378,0.510487713232503
CENPE,171,2000,5000,0.888121999174118,0.4624787908735319,0.394048196937775
CHERP,54,2000,5000,1.2081316565164375,0.4775362710381343,0.5695425185789021
CHMP6,620,2000,5000,0.6422587401396755,0.4851262907048322,0.3088991812450072
CNIH4,65,2000,5000,1.2617129665594031,0.5068633431269882,0.6443069419501275
COG2,332,2000,5000,0.6818529431246618,0.5090706322848504,0.3222651316276771
CPSF3,575,2000,5000,0.6183066622367744,0.4983361277419398,0.2977649418613765
CPSF4,57,2000,5000,1.4148772861900585,0.482500157139291,0.6736252450879345
CSTF1,129,2000,5000,1.0349540599375444,0.4725335635273082,0.4820239570627055
CSTF3,59,2000,5000,1.3035289730107882,0.4773064629954475,0.6220077270675848
CTR9,197,2000,5000,1.00479684555862,0.504941632146712,0.5122743454134328
CUL1,181,2000,5000,0.8370935485898674,0.4859257207961487,0.3874104818416418
CWC15,144,2000,5000,1.0093037187829368,0.4817049151625698,0.5275769594750611
CWC22,28,2000,5000,1.7030213416037323,0.4456755333249736,0.7669708613727119
DAD1,71,2000,5000,1.1500999840471886,0.5011214970292095,0.5701080571932082
DBR1,96,2000,5000,1.0988829879828916,0.4948068711707419,0.567082725570824
DDOST,74,2000,5000,1.1946997694308177,0.4988323752355804,0.5791973620213677
DDX41,259,2000,5000,0.8723036873483081,0.4903237215965196,0.4561204536538842
DDX49,41,2000,5000,1.4346687698310645,0.4863243985820626,0.6936628834430137
DDX5,130,2000,5000,0.9203711620890792,0.5024079787346842,0.4727286343044192
DDX52,106,2000,5000,1.0474761607711145,0.5004222137791232,0.5237359194479899
DDX54,68,2000,5000,1.0942222661660967,0.4627542545286787,0.4995465637142202
DERL2,122,2000,5000,1.08069294446337,0.4849949315240001,0.5344070203095872
DHX37,202,2000,5000,0.8639070265880742,0.5083643125144881,0.4444091932849314
DLD,283,2000,5000,0.8464907886950561,0.4932463606153691,0.4614946459120249
DNAJC8,260,2000,5000,0.8326053200636145,0.5129108873845136,0.5053240241570864
DNTTIP2,235,2000,5000,0.9036147665236928,0.5069425910665397,0.5408674515580363
DONSON,688,2000,5000,0.7345677372817481,0.5025952290290308,0.4768730620083491
DPH2,161,2000,5000,0.8835702556348569,0.5118049097469687,0.4557461078776332
DYNC1H1,217,2000,5000,0.913430357654498,0.467008600976404,0.4168166097844821
DYNLRB1,192,2000,5000,0.927780029229109,0.4863867227873431,0.4657012901843139
E4F1,130,2000,5000,0.9969150030273628,0.497090429184551,0.5406047514041226
EBNA1BP2,68,2000,5000,1.0901594534949222,0.463290233016587,0.4971383030564746
ECD,69,2000,5000,1.226102282897884,0.4806607221627705,0.593100655664021
EIF2B3,96,2000,5000,1.113240394790908,0.4879317615072333,0.5191155254420903
EIF2S1,208,2000,5000,1.0145424667351426,0.5088917776334341,0.5460904016850066
EIF3E,171,2000,5000,0.8528454903295105,0.4770660567075582,0.4168168486557613
EIF3F,36,2000,5000,1.3955564488200458,0.4610550218253886,0.6465554061127332
EIF3G,52,2000,5000,1.1796072784018743,0.4590291878655141,0.5457671707166433
EIF3J,72,2000,5000,1.1126089458430186,0.4754493045503091,0.5368582869512969
EIF3M,209,2000,5000,0.7962119710826647,0.4794438354319531,0.3777799519792013
EIF5A,100,2000,5000,1.063557670675293,0.4748961873566824,0.5190047195420844
ELP5,167,2000,5000,0.8496733167598172,0.4907566440979496,0.4222874435830881
EXOC7,32,2000,5000,1.6377621144980434,0.4552246958282207,0.7479129747206296
EXOSC10,77,2000,5000,1.1796757162621825,0.5011216603700727,0.5893908085237025
EXOSC2,209,2000,5000,0.9208875004790772,0.5006877668461116,0.4309916409874742
FAM50A,38,2000,5000,1.551653092423038,0.4689458243465734,0.7375545030671354
FASTKD5,182,2000,5000,0.8400896067924941,0.4982575159324072,0.4196361713509231
FCF1,225,2000,5000,0.8356252810402153,0.4925916413405825,0.4096124078613705
FTSJ3,153,2000,5000,1.0234180108387825,0.4874210487846419,0.5166415958341829
GFER,198,2000,5000,0.8107023767641397,0.5015200680018347,0.4036433678143012
GFM1,230,2000,5000,0.7480547723550618,0.4877219582493125,0.3533279449172035
GNL3,29,2000,5000,1.5486307923081928,0.4773139448779095,0.7402752729094159
