condition,n_test_cells,n_pred_cells,n_genes,wasserstein_1_pca50,mmd_pca50,energy_pca50
VPS29,146,2000,5000,0.9487588253897004,0.4946660905465103,0.47128114248441205
CWC15,144,2000,5000,1.0093037187829368,0.4817049151625698,0.5275769594750611
CHMP6,620,2000,5000,0.6422587401396755,0.48512629070483226,0.30889918124500726
RBX1,41,2000,5000,1.378857636589155,0.4811894081272327,0.6452672886742216
BRIX1,95,2000,5000,1.1802694028045422,0.48523316194689864,0.5496338195525842
PTCD1,246,2000,5000,0.7769263162591767,0.5080858813552173,0.41134623526304076
HIRA,228,2000,5000,0.7583043928033182,0.4861905584010697,0.37243574780072874
POP4,116,2000,5000,1.0112472367113012,0.496558657328522,0.4983336749898065
DYNC1H1,217,2000,5000,0.9134303576544979,0.46700860097640406,0.41681660978448215
POLR3B,109,2000,5000,1.0439900353033567,0.488684470331998,0.52032315507232
DNAJC8,260,2000,5000,0.8326053200636145,0.5129108873845136,0.5053240241570864
QARS,376,2000,5000,0.7414177622236585,0.5182800234151272,0.3483188522173639
WBP11,205,2000,5000,0.8965548157664319,0.4703557870158799,0.43041683837494027
MCM10,190,2000,5000,0.8205157849658267,0.4560498592804241,0.3653226463815469
PSMD1,87,2000,5000,1.1637428468500786,0.47380391192175186,0.5431516144700685
MED20,78,2000,5000,1.3971137126555655,0.5019952298773013,0.6915320859219259
DERL2,122,2000,5000,1.08069294446337,0.4849949315240001,0.5344070203095872
VPS54,306,2000,5000,0.7019425394672225,0.482101585767032,0.31991120030113396
WDR12,174,2000,5000,0.866493774329318,0.48097564280795035,0.451371641425801
OXA1L,305,2000,5000,0.7176004705118149,0.5032190898418059,0.3289187108812034
SART3,142,2000,5000,0.9197832661677335,0.48543806167997083,0.4430322566571557
TEX10,153,2000,5000,0.8800501194252535,0.49109498388355244,0.43368095813901986
GTF2E1,176,2000,5000,0.8536614230396328,0.4844389236941492,0.38784146404229247
DDX54,68,2000,5000,1.0942222661660967,0.4627542545286787,0.49954656371422024
E4F1,130,2000,5000,0.9969150030273629,0.49709042918455104,0.5406047514041226
RIOK1,290,2000,5000,0.7318236894359083,0.4927438881743532,0.3303315258796228
EBNA1BP2,68,2000,5000,1.0901594534949222,0.46329023301658706,0.4971383030564746
EIF5A,100,2000,5000,1.063557670675293,0.4748961873566824,0.5190047195420844
SF3B2,197,2000,5000,1.0256258628547612,0.49045273300709835,0.49909230076237454
ACTR8,242,2000,5000,0.7806847306100967,0.5015277166930929,0.3790253040555667
EXOSC2,209,2000,5000,0.9208875004790772,0.5006877668461116,0.4309916409874742
ALG13,167,2000,5000,0.8663062349023553,0.4895425525427168,0.416063467292784
CPSF3,575,2000,5000,0.6183066622367744,0.4983361277419398,0.29776494186137653
RBM42,68,2000,5000,1.198994966401289,0.5023105653857882,0.6110618593051153
CDC40,84,2000,5000,1.1763280329678887,0.47163809828720665,0.573582981906799
PPP1R11,69,2000,5000,1.1078926488211405,0.473795223395231,0.514799114469666
SF3B3,215,2000,5000,0.9677369100400884,0.4766018313207963,0.44367493546839476
MRPL54,112,2000,5000,0.9753861543566341,0.46747791225936713,0.4360528918080424
WDHD1,175,2000,5000,0.793127487737205,0.48300230432731356,0.3748040947438062
FCF1,225,2000,5000,0.8356252810402153,0.4925916413405825,0.40961240786137054
LSM4,68,2000,5000,1.1460608218363364,0.48167652388068527,0.5478884491375533
IGBP1,245,2000,5000,0.8532740993556183,0.46700985932030376,0.4009448905635162
SNRNP27,42,2000,5000,1.3519872493426335,0.4597320956808613,0.5961788261657798
GFM1,230,2000,5000,0.7480547723550618,0.4877219582493125,0.3533279449172035
POLR2E,93,2000,5000,1.147500341950435,0.48055373131555457,0.5707701073806254
SNRPD1,113,2000,5000,1.1643418066749809,0.4988715539829498,0.5755170634494623
RFC3,211,2000,5000,0.7253546753720542,0.4479456544929585,0.31490729703068765
MRPS26,111,2000,5000,0.9654156813344911,0.4777339400419082,0.44914491598149353
RCC1,162,2000,5000,0.8984418086775409,0.4766597174770283,0.4432479450205385
NEDD1,134,2000,5000,0.8975440709366507,0.46782228361692807,0.4334850493696145
DDX5,130,2000,5000,0.9203711620890792,0.5024079787346842,0.47272863430441925
EIF2S1,208,2000,5000,1.0145424667351426,0.5088917776334341,0.5460904016850066
CUL1,181,2000,5000,0.8370935485898674,0.4859257207961487,0.38741048184164184
KRI1,51,2000,5000,1.2427028142515324,0.4904961591679764,0.6441153738557043
ZNF335,140,2000,5000,0.9128641038389902,0.49110078915581873,0.4442180748079971
GPKOW,105,2000,5000,1.0332044955068478,0.48402070830652993,0.4830600221459347
POLR2F,209,2000,5000,0.9417539435601774,0.4933027272093391,0.41133346612964666
USP36,151,2000,5000,0.8871947791253736,0.4970664621183242,0.4278373780282827
NARS,149,2000,5000,1.0215110773030238,0.5070880856783809,0.527411406686623
MRPL3,146,2000,5000,0.8807695074976324,0.49561930620095657,0.4066307629838522
RPL8,290,2000,5000,0.7573682659496188,0.469052380228148,0.32536851362286856
FASTKD5,182,2000,5000,0.8400896067924941,0.4982575159324072,0.4196361713509231
RNGTT,110,2000,5000,0.9789265303519248,0.4832858111643652,0.45532377308408295
POLR3D,108,2000,5000,1.1041823233420445,0.49621385930261686,0.5793662716937859
MED31,35,2000,5000,1.5437646637590674,0.4793590240230522,0.7318173211805226
CSTF1,129,2000,5000,1.0349540599375444,0.4725335635273082,0.48202395706270557
TSR1,109,2000,5000,1.0536465532921453,0.5038142799219649,0.5090724260234688
MRPL4,109,2000,5000,0.9797823998547008,0.49062135756920894,0.46900286338389213
