condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
SMG5,82,2000,0.9788413932713946,0.9212406548976261,0.1944924459215663,0.11237363302564228
HNRNPH1,92,2000,0.9900060083445807,0.9334069821234846,0.3116892496847844,0.1908360746026031
RPL10A,195,2000,0.9901652807952576,0.9589066813232812,0.722782397279175,0.5706008367120334
EIF3E,171,2000,0.9893499872168128,0.9588204378728175,0.6348035220592532,0.5209853164874126
MRPS14,82,2000,0.9906449746557251,0.9508813585152542,0.3501798471625274,0.2211966154718646
EIF3M,209,2000,0.9926468152149651,0.9478586860743474,0.6251250914058664,0.38574722326314687
RPL13,243,2000,0.9918243499384829,0.9723779360544546,0.7935915355263714,0.680961298087138
SNAPC3,201,2000,0.9962576476282703,0.9604781694892297,0.4770907373180353,0.2119722524723268
NBAS,94,2000,0.9858193464511793,0.9342577886631561,0.3246348384571519,0.20596881252675248
ELP5,167,2000,0.9925615624350179,0.9564269161450765,0.0814766930326232,0.08804135838776732
RPS6,165,2000,0.9916377696804011,0.9755934411357375,0.8669441462099815,0.7904024175680966
SEC13,43,2000,0.9853644294214048,0.914024844593996,0.12732880233922575,0.09106007471877389
SFSWAP,145,2000,0.9910237010857209,0.9475458650925757,0.21624909792324476,0.22286388930390433
SLU7,195,2000,0.9727921941164935,0.8781593740434509,0.4811628690964483,0.4090735567149423
POLA1,195,2000,0.9949280777996393,0.9685074867387881,0.7853782395804233,0.6215737955807874
GFER,198,2000,0.9889814167750047,0.9305479992442531,0.26987112726144996,0.18087056437950433
C1QBP,189,2000,0.9902837095252147,0.9485150981006036,0.2755443444511541,0.1727752155830086
SNRNP200,92,2000,0.9872687935729614,0.9336306642252264,0.6886192805170557,0.5783497156577495
NUDC,106,2000,0.9871585078379417,0.9241862569994501,0.19847075317357146,0.1296059602562384
PCF11,393,2000,0.9904242828238735,0.945909926387099,0.33676680547592475,0.2459138241624549
PSMA3,194,2000,0.9929380242855065,0.9686444315137771,0.8942475225450437,0.7568671259750145
RPS26,73,2000,0.9868161755914284,0.9466393104415723,0.753408804303663,0.5975126389405055
GRPEL1,96,2000,0.9906454648895616,0.939270488070447,0.6532591451664075,0.46938387883935506
PHF5A,197,2000,0.9907475183901846,0.9448541340181651,0.6706023912184061,0.5436447927158867
ZNHIT6,116,2000,0.9884630117214435,0.9416658703066347,0.17528008673999257,0.010195095528048504
SRBD1,143,2000,0.9937645624521361,0.9574302276621439,0.4667088818068771,0.2833562053226499
MFAP1,164,2000,0.9841056739607821,0.9157843997573547,0.32611228140840676,0.2863059985311113
RPS19,410,2000,0.9933348804431267,0.9821849896065443,0.8938199860009195,0.854482176387287
ARGLU1,367,2000,0.992556576171825,0.9468428431217135,0.10587683181724675,0.07046443069395952
GTF2E2,69,2000,0.99386128090228,0.944957876518315,0.41308141177511665,0.2484985953699078
DYNLRB1,192,2000,0.9864503172303455,0.941844930185797,0.579192926861019,0.3848460510283146
TSR2,486,2000,0.9786621264197632,0.9279567744108131,-0.043190181898402874,0.07535657725968876
COG2,332,2000,0.9960302651121619,0.9692592108343683,0.38726601757756096,0.2701975862193577
SFPQ,185,2000,0.9583641007918714,0.8454078488126038,0.28478685162921646,0.13855054851199758
MRPL18,128,2000,0.996916525969163,0.9669618473184738,0.6143396927258192,0.3707422331283827
NAA15,107,2000,0.9948512097974962,0.958473878914955,0.37710338326463455,0.21389586108836842
DONSON,688,2000,0.9754692437222912,0.9034711145662113,-0.14850826670161058,-0.16857416206305803
RARS2,139,2000,0.993993269389145,0.9620243373911508,0.33192380167064045,0.24654553851957284
