condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
SMG5,82,2000,0.005616691429167986,0.037612102925777435,0.19449244592156636,0.19449244592156636,0.11237363302564228,0.26,0.15994328972192665,1.0421233592866594,0.6917380190676071,10.17204893746615,50
HNRNPH1,92,2000,0.0025193658657372,0.03104584291577339,0.31168924968478445,0.31168924968478445,0.1908360746026031,0.21,0.18226190861024139,1.0901409759778928,0.709030154388304,9.902354962317009,50
RPL10A,195,2000,0.002328992821276188,0.027660565450787544,0.722782397279175,0.722782397279175,0.5706008367120334,0.63,0.7034999230547493,0.8775724880419261,0.613749902958094,8.709953045357215,50
EIF3E,171,2000,0.002810682402923703,0.029095785692334175,0.6348035220592534,0.6348035220592534,0.5209853164874126,0.49,0.5119444823856519,0.8263489569957102,0.5932011648448322,8.509625312960337,50
MRPS14,82,2000,0.0026126038283109665,0.027794411405920982,0.3501798471625274,0.3501798471625274,0.2211966154718646,0.33,0.23926603948563,1.1130332687838496,0.7183510568367107,10.026172362887515,50
EIF3M,209,2000,0.0022150345612317324,0.0287338774651289,0.6251250914058665,0.6251250914058665,0.38574722326314687,0.45,0.4565079594154314,0.7909864797890671,0.5918613073855767,8.87467665369347,50
RPL13,243,2000,0.0022058608010411263,0.025348983705043793,0.7935915355263713,0.7935915355263713,0.680961298087138,0.67,0.7519615589028409,0.7963096819779344,0.5888209315181419,9.074614872742393,50
SNAPC3,201,2000,0.0010053516598418355,0.021749677136540413,0.4770907373180353,0.4770907373180353,0.2119722524723268,0.36,0.33104445366237245,0.7958419893644946,0.5973050181561325,8.975020314528736,50
NBAS,94,2000,0.0037610565777868032,0.03555085137486458,0.32463483845715196,0.32463483845715196,0.20596881252675248,0.39,0.2921209674211588,1.0890414323540567,0.7235010631021797,10.234283109089844,50
ELP5,167,2000,0.00244133616797626,0.029858442023396492,0.08147669303262323,0.08147669303262323,0.08804135838776732,0.22,0.14964060253043074,0.8360822347855694,0.6155466511662362,8.94519303825871,50
RPS6,165,2000,0.001889304374344647,0.022595882415771484,0.8669441462099814,0.8669441462099814,0.7904024175680966,0.76,0.8463904284611726,0.9236288561858413,0.6318521464482234,9.166285414458663,50
SEC13,43,2000,0.004071157891303301,0.03943164274096489,0.12732880233922575,0.12732880233922575,0.09106007471877389,0.26,0.19542824535837988,1.3686941102811412,0.8205795447449639,10.728708716877158,50
SFSWAP,145,2000,0.00282929721288383,0.031244922429323196,0.21624909792324482,0.21624909792324482,0.22286388930390433,0.31,0.23442157713460238,0.94413566192924,0.6631511389897146,9.48420628629303,50
SLU7,195,2000,0.007346400525420904,0.0511481948196888,0.48116286909644823,0.48116286909644823,0.4090735567149423,0.32,0.19289962198297517,1.051289930565101,0.6704820820251011,9.789987353281806,50
POLA1,195,2000,0.001638968475162983,0.024528494104743004,0.7853782395804235,0.7853782395804235,0.6215737955807874,0.66,0.6917997769838445,0.8161758833261398,0.5996769580635457,8.649132548870632,50
GFER,198,2000,0.0029228401836007833,0.032985981553792953,0.2698711272614499,0.2698711272614499,0.18087056437950433,0.34,0.26904428491138294,0.805206124050802,0.5961951709373772,8.98262501309307,50
C1QBP,189,2000,0.002618122147396207,0.031945500522851944,0.27554434445115406,0.27554434445115406,0.1727752155830086,0.2,0.1461158789851213,0.8402070941319696,0.6115152610100079,8.93341325768145,50
SNRNP200,92,2000,0.003162114415317774,0.034871120005846024,0.6886192805170558,0.6886192805170558,0.5783497156577495,0.5,0.49094199826765184,1.2349371219925949,0.7465121633012154,10.049267248079024,50
NUDC,106,2000,0.003381753107532859,0.03661814704537392,0.19847075317357146,0.19847075317357146,0.1296059602562384,0.18,0.1294149297691657,1.0694646835946044,0.7198841693515118,10.377911503430585,50
PCF11,393,2000,0.002671213820576668,0.03016693703830242,0.33676680547592464,0.33676680547592464,0.2459138241624549,0.35,0.30244202529557,0.7605675693206535,0.5603157642935759,8.832424523566281,50
PSMA3,194,2000,0.0018897280097007751,0.025840653106570244,0.894247522545044,0.894247522545044,0.7568671259750145,0.67,0.7271806219201287,0.8816276289427458,0.6172027086484837,8.363862287515557,50
RPS26,73,2000,0.0030728119891136885,0.032556965947151184,0.753408804303663,0.753408804303663,0.5975126389405055,0.69,0.735742882573196,1.1602698051732068,0.7107301535853091,9.63144970596845,50
GRPEL1,96,2000,0.0027057521510869265,0.03240523859858513,0.6532591451664077,0.6532591451664077,0.46938387883935506,0.35,0.3303575247276253,1.1186335719945901,0.7208511513801801,10.002301613064429,50
PHF5A,197,2000,0.0024078197311609983,0.03022695891559124,0.670602391218406,0.670602391218406,0.5436447927158867,0.38,0.33601367776576657,0.8807893935114689,0.6217319848770964,8.863171506091767,50
ZNHIT6,116,2000,0.0027884389273822308,0.03216013312339783,0.1752800867399926,0.1752800867399926,0.010195095528048504,0.27,0.18709165674970418,0.9809365869008198,0.6791264491087924,9.750944124563073,50
SRBD1,143,2000,0.0015558883314952254,0.024892127141356468,0.4667088818068771,0.4667088818068771,0.2833562053226499,0.38,0.30932081404042994,0.957923629066514,0.6492377868000139,9.11167096056712,50
MFAP1,164,2000,0.004082157742232084,0.03924904763698578,0.3261122814084067,0.3261122814084067,0.2863059985311113,0.3,0.21854118089119257,1.0188283505913573,0.6453388125997874,8.038648720770343,50
RPS19,410,2000,0.0015011040959507227,0.019185828045010567,0.8938199860009195,0.8938199860009195,0.854482176387287,0.87,0.9463431252651215,0.6968284315320672,0.5373000089582368,7.542849011439538,50
ARGLU1,367,2000,0.0020096348598599434,0.027729809284210205,0.10587683181724676,0.10587683181724676,0.07046443069395952,0.18,0.14634267211283372,0.6674105463411866,0.5443947701855685,8.704358656984892,50
GTF2E2,69,2000,0.0016735504614189267,0.027443265542387962,0.4130814117751166,0.4130814117751166,0.2484985953699078,0.39,0.3637530905372098,1.1891027743590454,0.7528398808106528,10.84093507852537,50
DYNLRB1,192,2000,0.0034359428100287914,0.03423892706632614,0.5791929268610191,0.5791929268610191,0.3848460510283146,0.46,0.40882809850475293,0.9154652902367393,0.6321273977745794,9.024874002079722,50
TSR2,486,2000,0.0070988996885716915,0.0481586717069149,-0.043190181898402874,-0.043190181898402874,0.07535657725968876,0.29,0.20125154851738786,0.7222879688855746,0.5513035614319097,7.819819169052648,50
COG2,332,2000,0.0011041791876778007,0.021482139825820923,0.38726601757756096,0.38726601757756096,0.2701975862193577,0.32,0.21537599913104455,0.6903594038982703,0.563576767568723,9.39137050653622,50
SFPQ,185,2000,0.01100495457649231,0.05875587835907936,0.2847868516292165,0.2847868516292165,0.13855054851199758,0.24,0.13487762752165605,1.0789668738281153,0.694178704415015,9.948626937914893,50
MRPL18,128,2000,0.000925842672586441,0.019896145910024643,0.6143396927258192,0.6143396927258192,0.3707422331283827,0.41,0.36710903475898504,0.8941609464929691,0.6367167316411563,10.146690809465685,50
NAA15,107,2000,0.001300671137869358,0.023963088169693947,0.3771033832646347,0.3771033832646347,0.21389586108836842,0.41,0.3262720129095435,1.008271685612655,0.6926992555943643,9.92748043643741,50
DONSON,688,2000,0.009894388727843761,0.05478480085730553,-0.14850826670161055,-0.14850826670161055,-0.16857416206305803,0.41,0.3832855865753254,0.7113449873542845,0.5392057299887179,7.693460686758913,50
RARS2,139,2000,0.0017879854422062635,0.026340164244174957,0.33192380167064045,0.33192380167064045,0.24654553851957284,0.31,0.2666813652062501,0.895964588558043,0.6497816741117549,9.936990580376799,50
RPF1,108,2000,0.0015741953393444419,0.025357844308018684,0.6660803551103893,0.6660803551103893,0.47563619665744783,0.49,0.5089942388655273,0.9500446993603774,0.659623641540312,9.452195107849521,50
ZBTB17,158,2000,0.00312103983014822,0.03269842639565468,0.13323511957784423,0.13323511957784423,0.13509119307088993,0.24,0.16986287484317986,0.9115582497311511,0.639410840493805,9.456318910537227,50
