model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
Scouter_GenePTv1_official40_fixed2000,SMG5,82,2000,0.09582302123127587,0.12875568614726124,0.09582302123127587,0.38149078354790816,0.04200416508887895,0.11010531787211794
Scouter_GenePTv1_official40_fixed2000,HNRNPH1,92,2000,0.08629331830680396,0.1667206487030402,0.08629331830680396,0.41041749200284494,0.043463513515880334,0.10590073109401424
Scouter_GenePTv1_official40_fixed2000,RPL10A,195,2000,0.08939109663608277,0.17118890586337734,0.08939109663608277,0.42782846406906827,0.043011520689213656,0.1005344975759372
Scouter_GenePTv1_official40_fixed2000,EIF3E,171,2000,0.09802384720868844,0.17621652366157609,0.09802384720868844,0.36944826282262805,0.042794891131212945,0.11583459520396447
Scouter_GenePTv1_official40_fixed2000,MRPS14,82,2000,0.08081064324859692,0.17000024143455097,0.08082680861031899,0.4038558368173243,0.040665432231901215,0.1006929392068338
Scouter_GenePTv1_official40_fixed2000,EIF3M,209,2000,0.09429398686869367,0.20646961346605988,0.09429398686869367,0.38692214115023627,0.042554206222281794,0.10998131302583039
Scouter_GenePTv1_official40_fixed2000,RPL13,243,2000,0.08840155300275135,0.16705666143187303,0.08840155300275135,0.42533058647215377,0.04208727978635115,0.09895192148281434
Scouter_GenePTv1_official40_fixed2000,SNAPC3,201,2000,0.08958667203816856,0.15931847908225666,0.08958667203816856,0.4018548103570938,0.04218274086486083,0.10497010046408467
Scouter_GenePTv1_official40_fixed2000,NBAS,94,2000,0.09033360673479623,0.15679478196352664,0.09035167707021027,0.39591013105601075,0.0434032804814633,0.10962912029910063
Scouter_GenePTv1_official40_fixed2000,ELP5,167,2000,0.09688895537497307,0.18414749107826522,0.09688895537497307,0.3807664372265339,0.04322044840777293,0.11350907813066646
Scouter_GenePTv1_official40_fixed2000,RPS6,165,2000,0.08371283367524758,0.19802608614426156,0.0837295795911658,0.4537977815216778,0.042998513839226225,0.09475258505565512
Scouter_GenePTv1_official40_fixed2000,SEC13,43,2000,0.08288246755381723,0.16492528945568377,0.08304856468318361,0.39594405584692977,0.041775442341606836,0.10550844410876217
Scouter_GenePTv1_official40_fixed2000,SFSWAP,145,2000,0.09156074576406813,0.1585142945349703,0.09157906157638339,0.4034101789718865,0.04411929323017598,0.10936583764187134
Scouter_GenePTv1_official40_fixed2000,SLU7,195,2000,0.07867953726786105,0.11265354764527405,0.07869527632312567,0.43211616158425803,0.043541859969223155,0.10076424543332084
Scouter_GenePTv1_official40_fixed2000,POLA1,195,2000,0.09855555032388125,0.17047667421047247,0.09857526537695663,0.40227915850728746,0.04388190824213438,0.10908322298906074
Scouter_GenePTv1_official40_fixed2000,GFER,198,2000,0.09620716987704084,0.1771669495264625,0.09620716987704084,0.39187819671720275,0.04283878984235577,0.10931659150229348
Scouter_GenePTv1_official40_fixed2000,C1QBP,189,2000,0.09276627491860728,0.18361458597060107,0.09276627491860728,0.40718417822301406,0.04393875281761401,0.10790878940895621
