model,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
TxPert_exphormer_mg_fixed2000,SMG5+ctrl,top_true_de,100,82,2000,4950,0.09911291467598479,0.09590258340340688
TxPert_exphormer_mg_fixed2000,HNRNPH1+ctrl,top_true_de,100,92,2000,4950,0.12938878531351306,0.12875530861591136
TxPert_exphormer_mg_fixed2000,RPL10A+ctrl,top_true_de,100,195,2000,4950,0.07292858803714888,0.07140924409878403
TxPert_exphormer_mg_fixed2000,EIF3E+ctrl,top_true_de,100,171,2000,4950,0.17176760649393463,0.16338854208670342
TxPert_exphormer_mg_fixed2000,MRPS14+ctrl,top_true_de,100,82,2000,4950,0.17297952494545374,0.16015515463804877
TxPert_exphormer_mg_fixed2000,EIF3M+ctrl,top_true_de,100,209,2000,4950,0.27470713890616616,0.2621182380399054
TxPert_exphormer_mg_fixed2000,RPL13+ctrl,top_true_de,100,243,2000,4950,0.11743826584133152,0.14084965831939067
TxPert_exphormer_mg_fixed2000,SNAPC3+ctrl,top_true_de,100,201,2000,4950,0.1660919868484246,0.16681253074956914
TxPert_exphormer_mg_fixed2000,NBAS+ctrl,top_true_de,100,94,2000,4851,0.12078525978859334,0.12208817027600288
TxPert_exphormer_mg_fixed2000,ELP5+ctrl,top_true_de,100,167,2000,4950,0.23884664600985914,0.21329107513284723
TxPert_exphormer_mg_fixed2000,RPS6+ctrl,top_true_de,100,165,2000,4950,0.28384608216675133,0.28752529035483027
TxPert_exphormer_mg_fixed2000,SEC13+ctrl,top_true_de,100,43,2000,4950,0.10176725111142318,0.0995330925967258
TxPert_exphormer_mg_fixed2000,SFSWAP+ctrl,top_true_de,100,145,2000,4851,0.151742228298702,0.13256148055546327
TxPert_exphormer_mg_fixed2000,SLU7+ctrl,top_true_de,100,195,2000,4950,0.20451598301666893,0.21177918788585356
TxPert_exphormer_mg_fixed2000,POLA1+ctrl,top_true_de,100,195,2000,4950,0.20701848611527435,0.21301121776611556
TxPert_exphormer_mg_fixed2000,GFER+ctrl,top_true_de,100,198,2000,4950,0.26107306981473904,0.26263411566157535
TxPert_exphormer_mg_fixed2000,C1QBP+ctrl,top_true_de,100,189,2000,4950,0.13564626274860542,0.13121269823427914
