condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,part
ACTR8+ctrl,242.0,2000.0,5000.0,0.9956370038182104,0.9771469222218766,0.2342715134118514,0.1839300661136169,0.9912722399458288,0.0011012295167101,0.7906772304081031,0.5312309515381702,0.3869830519000834,0
ALG13+ctrl,167.0,2000.0,5000.0,0.99824579692827,0.9783038414031124,0.2406146265323716,0.2037125684387264,0.9964929327834398,0.0004536077621806,0.8495881857500927,0.5078850482728502,0.3954399768857894,0
ANKRD11+ctrl,184.0,2000.0,5000.0,0.9955175153366174,0.9797320591647958,-0.239936429257737,-0.1500362637722531,0.9892371241003276,0.0014725352497842,0.7806289169267742,0.5202636564271939,0.389390776054526,0
AP2S1+ctrl,96.0,2000.0,5000.0,0.99605061417359,0.9703975484479024,0.4114137586700899,0.3043613743462831,0.9920214377343656,0.0010179261094255,1.0474044736841197,0.5061954702965302,0.5192485401940758,0
ARGLU1+ctrl,367.0,2000.0,5000.0,0.997179316942791,0.9840439154897566,-0.0795863514410429,-0.0160873600534248,0.9940126975998282,0.0007914374926697,0.6589031555036676,0.5492169708422922,0.3173706850659745,0
ARIH1+ctrl,57.0,2000.0,5000.0,0.9956413485933836,0.9590804329302351,0.4541335112182155,0.2878789658009769,0.9907538611441852,0.0011476387704077,1.2540503323944725,0.5145509122255599,0.592136428036402,0
ARPC4+ctrl,188.0,2000.0,5000.0,0.9979332846401868,0.9823986250879452,0.1650385108524259,0.1426718135091449,0.9957340499386192,0.0005449762435449,0.8196515416658637,0.508921362924207,0.3927125357307552,0
ATP6AP1+ctrl,114.0,2000.0,5000.0,0.9980765851308036,0.9761658850774916,0.7194762128165924,0.5001570252263075,0.996149769751355,0.0004892922800898,0.9860918500335544,0.5120519352367734,0.471240469983776,0
BGLAP+ctrl,236.0,2000.0,5000.0,0.9987097768405104,0.9865970012712368,0.7687266405876986,0.5437730069871224,0.9972935903351754,0.0003359283280236,0.8905166920034275,0.5112220865985033,0.4046135857667711,0
BMS1+ctrl,18.0,2000.0,5000.0,0.9887435683736812,0.9138447384230284,0.7297605758892182,0.4427007915320315,0.9772468935698272,0.0026341945525819,2.142683299550212,0.4985064922574262,1.042448994538708,0
