condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,repeat
MRPL38+ctrl,132,2000,5000,0.9985245319120859,0.9811809601027868,0.7257799586048189,0.45781004045736395,0.997038448927924,0.0003840461708571497,0.9168339974264593,0.5105289502001075,0.4267460939338303,0
MRPL4+ctrl,109,2000,5000,0.9983958012522377,0.9800008193835525,0.6370118240527733,0.4168665523406861,0.9967562940437347,0.0004249759951093285,0.9738429713921997,0.5109637067906301,0.462404770630718,0
MRPL49+ctrl,36,2000,5000,0.9890672387006061,0.9436749267419217,0.1500007443853585,0.10903766174012339,0.9756046868860722,0.002932599130789284,1.5688346850604529,0.5177970690410792,0.7826761708421349,0
MRPL50+ctrl,147,2000,5000,0.9988233747775476,0.9834640040425598,0.7443232026186163,0.4923938319628405,0.9974712294060737,0.000335305739901173,0.8672104871007792,0.5200927661194964,0.4107664301210206,0
MRPL54+ctrl,112,2000,5000,0.9984429981384314,0.976159635549813,0.627934670004698,0.40171508299024455,0.9968208849895746,0.00041417889503694345,0.9782857189719405,0.49536878278352126,0.4498956911214447,0
MRPS11+ctrl,90,2000,5000,0.9979259152687362,0.973068375786735,0.7491129020172942,0.49783584472132986,0.9958028513938189,0.0005562133346771464,1.0285250410742726,0.5127455303537571,0.48678708474273613,0
MRPS14+ctrl,82,2000,5000,0.9925992023378692,0.9667426598929082,0.6082726251413144,0.4519390946061034,0.9850497702136636,0.00200437091255101,1.1570580754539588,0.5010176002998223,0.5591962775005621,0
MRPS18A+ctrl,108,2000,5000,0.9976353082091973,0.9781746366779378,0.6147028516822821,0.4575710706827697,0.9950798028148711,0.0006505525290689043,0.9583088778547656,0.5207435491205571,0.46754643651282896,0
MRPS24+ctrl,132,2000,5000,0.998230284463183,0.9810634504820833,0.44946985098933623,0.2727159485537283,0.9963826527819037,0.000478291990460186,0.9102256133296466,0.5102585966115548,0.4225396250511573,0
MRPS26+ctrl,111,2000,5000,0.9983548007986496,0.9802499555939983,0.6068783355042316,0.37664724981300857,0.9966547708027065,0.00044019696545533673,0.9671783644481567,0.5092939096659392,0.4560748036041087,0
