condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50
SAP18+ctrl,40.0,2000.0,5000.0,0.9898198563958002,0.9409256077379287,0.4474587877841066,0.1982845593904177,0.9781140759587288,0.002605906945232582,1.4235383784779565,0.4848133060332171,0.6431691278693079
SART3+ctrl,142.0,2000.0,5000.0,0.9957728298061065,0.9699268002370721,0.5036846800773758,0.40721042043596284,0.9912084136158228,0.0011666992302620891,0.9301079033439694,0.5413212451166509,0.4584353192315692
SCAF1+ctrl,158.0,2000.0,5000.0,0.9962888548927451,0.9748483894247285,0.6787523649437833,0.4986409638134755,0.992587957996875,0.0009384476976386885,0.9320178515800909,0.5136716211192771,0.43642955969553937
SCFD1+ctrl,103.0,2000.0,5000.0,0.9977293942821228,0.9750761528910458,0.7131739862620505,0.5148874517205699,0.9949149563908577,0.0006167793334228987,1.046034528234946,0.49049075835909073,0.47737696180833245
SDC1+ctrl,170.0,2000.0,5000.0,0.9981755485964026,0.9819024751800989,0.40139584654436217,0.22045065362306185,0.9963481144513935,0.000468341212579624,0.8367331783727107,0.5280994936500588,0.3998510154156574
SEC13+ctrl,43.0,2000.0,5000.0,0.9896660891289494,0.9329876936218073,0.4686981665236698,0.24362291117476337,0.9793666768819094,0.0026482486650071984,1.4323483273291397,0.5069429818329824,0.6867463310840862
SF3A2+ctrl,236.0,2000.0,5000.0,0.9947917273677758,0.975145372637815,0.7292246533738281,0.6347123244269591,0.9889215920120478,0.0014034084305454774,0.8694174637739088,0.5376397118473603,0.4380614333951899
SF3B2+ctrl,197.0,2000.0,5000.0,0.9811836398471645,0.932289475723579,0.8861204051880567,0.802610129474193,0.9616214111447334,0.004907536123568543,1.0432902163160747,0.5265731961735032,0.5225074276416415
SF3B3+ctrl,215.0,2000.0,5000.0,0.9902780521947141,0.9560769286430768,0.8846166618786604,0.797713520378831,0.9803997054696083,0.0024400855041158786,0.9946959406246223,0.5257876926638982,0.473774981306165
SFPQ+ctrl,185.0,2000.0,5000.0,0.9649103650017434,0.9063038674419058,0.6267862391001314,0.44525174282344165,0.9280197024345398,0.009486842839520218,1.0987252391713147,0.537695798831167,0.6352688610249452
SFSWAP+ctrl,145.0,2000.0,5000.0,0.996046848474432,0.9740885132995403,0.40613576020083114,0.32304056953589366,0.9918924383819103,0.0010646085954636034,0.9463965316292001,0.5215859379427722,0.4657554443087591
SIN3A+ctrl,217.0,2000.0,5000.0,0.9976242057640439,0.9794952171958085,0.3094490190088009,0.20640302051593554,0.9952218448743224,0.0006056586737058795,0.7903750293925915,0.5162382104070439,0.36897743498640245
SLU7+ctrl,195.0,2000.0,5000.0,0.9788628125905169,0.9243163370748368,0.8205527757153076,0.7438908658091947,0.9569294489920139,0.005402215281457325,1.0565370184874925,0.5215827336667391,0.5195427809083097
SMC4+ctrl,169.0,2000.0,5000.0,0.9985298441287966,0.9847122194441217,0.7561352992775843,0.5480095481912953,0.9969887777697295,0.000382193121230564,0.8291886800512599,0.47744193578963334,0.36016193811624186
SMG5+ctrl,82.0,2000.0,5000.0,0.9821517383361068,0.9571391937165393,0.24245131207325085,0.1826862280566025,0.9642825536429882,0.004720677108174004,1.0787992469967953,0.5090805885090465,0.5804797449940725
SNAPC3+ctrl,201.0,2000.0,5000.0,0.9976023004363109,0.9840117606717029,0.4740293106759517,0.35387814358959113,0.9948610966093838,0.0006589735764783973,0.8148678431693641,0.5199018575087495,0.38780933609385315
SNRNP200+ctrl,92.0,2000.0,5000.0,0.9925193436978067,0.9580314632812585,0.9086664618258303,0.8274077746720268,0.9845159193500876,0.0018960082718525988,1.253721477777388,0.5055947194781473,0.5762591746153444
SNRNP27+ctrl,42.0,2000.0,5000.0,0.9915174221511904,0.9458753347951566,0.15734604164731483,0.16178494854657785,0.9823077879846096,0.002230054587940614,1.361752584756947,0.48282737619991223,0.6178515638604218
SNRNP48+ctrl,179.0,2000.0,5000.0,0.9963795990662535,0.9762001387182921,0.7544907553658128,0.5643634607936279,0.9926317590288818,0.0009138755267528442,0.9220915407669963,0.5038897643431942,0.4147382689626369
SNRPD1+ctrl,113.0,2000.0,5000.0,0.9826503242572162,0.9318396125983128,0.9016660696324815,0.8395841645996664,0.9651551246643066,0.0043752427682748445,1.2013008199065953,0.530164557072369,0.6406082521720056
SNRPE+ctrl,128.0,2000.0,5000.0,0.988092565432446,0.9482492942247296,0.942593093175022,0.8744979113098925,0.9761289097368717,0.0030393519233281076,1.1128587799016598,0.498595636729511,0.5618112220372597
