condition,n_test_cells,n_pred_cells,mse,mae,pcc_delta,pearson_delta,spearman_delta,topk_de_overlap,auprc,wasserstein,e_distance,kl_divergence,distribution_n_components
SMG5,82,2000,0.004720672033727169,0.0284874327480793,0.24245131015777588,0.24245131015777588,0.1826862280566025,0.23,0.15151476404166617,1.0884919320477833,0.7327535144610647,13.679367807366068,50
HNRNPH1,92,2000,0.001684695016592741,0.023907234892249107,0.26956069469451904,0.26956069469451904,0.21871567758062704,0.24,0.21235776862472228,1.118661870555079,0.7380429354973589,13.608232961829971,50
RPL10A,195,2000,0.0012335327919572592,0.01696019247174263,0.8651069402694702,0.8651069402694702,0.8384288586571542,0.71,0.8123429497841976,0.8973840849645159,0.6448414173068271,12.651503627808504,50
EIF3E,171,2000,0.0030894496012479067,0.031507186591625214,0.5428698062896729,0.5428698062896729,0.4656713570172064,0.4,0.4023189351331818,0.8979573329060195,0.6551107550007877,13.044568821725363,50
MRPS14,82,2000,0.0020043666008859873,0.0227957870811224,0.6082726120948792,0.6082726120948792,0.4519390946061034,0.59,0.5705682177954527,1.1553549259597289,0.7521132300801473,13.737959755528328,50
EIF3M,209,2000,0.0018702289089560509,0.024923918768763542,0.6468934416770935,0.6468934416770935,0.5343243700449747,0.47,0.46306948503723466,0.8343841778320307,0.6357218119379925,13.192723527905484,50
RPL13,243,2000,0.0014024591073393822,0.016764400526881218,0.9050437808036804,0.9050437808036804,0.896579780023191,0.87,0.9334310876184355,0.8257668941414701,0.6277649847807677,12.889583284401999,50
SNAPC3,201,2000,0.000658973993267864,0.015017364174127579,0.4740293025970459,0.4740293025970459,0.35387814358959113,0.35,0.3083939916891567,0.8343812351156492,0.6371620003895875,13.340333966610133,50
NBAS,94,2000,0.0005763201625086367,0.01659703254699707,0.627779483795166,0.627779483795166,0.43771498247910445,0.45,0.43715153806497065,1.082870335010929,0.7407448461248487,14.073219419527469,50
ELP5,167,2000,0.00047341527533717453,0.014428691007196903,0.36025092005729675,0.36025092005729675,0.22376271853999,0.34,0.2422712644200603,0.840837428014357,0.63584751457782,13.684199221673568,50
RPS6,165,2000,0.0022849871311336756,0.02427396923303604,0.9154687523841858,0.9154687523841858,0.8741855409293824,0.88,0.9560982431950218,0.9817446977172649,0.6818444037541974,13.399523710873561,50
SEC13,43,2000,0.002648252760991454,0.03252635523676872,0.4686981439590454,0.4686981439590454,0.24362291117476337,0.46,0.4470728727207429,1.3192132664884295,0.7785752229704569,13.461194180370773,50
SFSWAP,145,2000,0.0010646043810993433,0.01975552923977375,0.40613579750061035,0.40613579750061035,0.32304056953589366,0.24,0.2465928665398121,0.960284512565504,0.6918187029988065,13.585541472564248,50
