model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
TxPert_exphormer_mg_fixed2000,SMG5,82,2000,0.06986449830921411,0.08698333075540876,0.06986449830921411,0.38149078354790816,0.03227403958808631,0.08459978624368374
TxPert_exphormer_mg_fixed2000,HNRNPH1,92,2000,0.059281787117735095,0.11224574548524865,0.059281787117735095,0.41041749200284494,0.03101036732312292,0.07555810162040302
TxPert_exphormer_mg_fixed2000,RPL10A,195,2000,0.07393356711445408,0.12853656555051998,0.07393356711445408,0.42782846406906827,0.03701023164156824,0.08650717258148961
TxPert_exphormer_mg_fixed2000,EIF3E,171,2000,0.07361374840594488,0.10287316290344067,0.07361374840594488,0.36944826282262805,0.03351361897695809,0.09071261511363991
TxPert_exphormer_mg_fixed2000,MRPS14,82,2000,0.06593886267716202,0.1560287157112402,0.06595205308777959,0.4038558368173243,0.033907029354460536,0.08395824802753857
TxPert_exphormer_mg_fixed2000,EIF3M,209,2000,0.07308225640308257,0.14156141568264075,0.07308225640308257,0.38692214115023627,0.03515348537154496,0.09085415571851137
TxPert_exphormer_mg_fixed2000,RPL13,243,2000,0.07239816675193272,0.12978952889044482,0.07239816675193272,0.42533058647215377,0.035594721703529356,0.08368718826899567
TxPert_exphormer_mg_fixed2000,SNAPC3,201,2000,0.06938039840926888,0.10939593213843081,0.06938039840926888,0.4018548103570938,0.03382791734009981,0.08417944896129366
TxPert_exphormer_mg_fixed2000,NBAS,94,2000,0.06838816627139495,0.10900064862565932,0.06840184664072309,0.39591013105601075,0.03373762485522777,0.08521535913487702
TxPert_exphormer_mg_fixed2000,ELP5,167,2000,0.07343720852896439,0.15241360914187438,0.07343720852896439,0.3807664372265339,0.03435867108102888,0.0902355533983998
TxPert_exphormer_mg_fixed2000,RPS6,165,2000,0.06516562980173317,0.16714430310291672,0.06517866553484014,0.4537977815216778,0.035085318642109634,0.07731487305053052
TxPert_exphormer_mg_fixed2000,SEC13,43,2000,0.06602538005646506,0.14068633394665436,0.06615769544735979,0.39594405584692977,0.03386389443177731,0.08552696542968001
TxPert_exphormer_mg_fixed2000,SFSWAP,145,2000,0.0691397806929151,0.14320190453391152,0.06915361141519813,0.4034101789718865,0.034361165036223836,0.08517674063660909
TxPert_exphormer_mg_fixed2000,SLU7,195,2000,0.05796099696037661,0.08542666871120425,0.05797259147867234,0.43211616158425803,0.0322824494047463,0.07470780203941423
TxPert_exphormer_mg_fixed2000,POLA1,195,2000,0.07565537974335569,0.0943563414910129,0.07567051384612491,0.40227915850728746,0.03479070305671543,0.08648397873996595
TxPert_exphormer_mg_fixed2000,GFER,198,2000,0.0711228237550687,0.13340007808162885,0.0711228237550687,0.39187819671720275,0.033286745793186134,0.08494155894003917
TxPert_exphormer_mg_fixed2000,C1QBP,189,2000,0.06657272464023861,0.13786233428675018,0.06657272464023861,0.40718417822301406,0.03337304411474616,0.08196056006101053
TxPert_exphormer_mg_fixed2000,SNRNP200,92,2000,0.05669210801295321,0.08491696076831691,0.05669210801295321,0.444089154725969,0.03174722301922739,0.07148839814368681
TxPert_exphormer_mg_fixed2000,NUDC,106,2000,0.06641649002373505,0.10991106172487161,0.06641649002373505,0.40351078696548937,0.03333650189105422,0.08261613355021416
TxPert_exphormer_mg_fixed2000,PCF11,393,2000,0.06589233863373843,0.11446338777976475,0.06590551973768596,0.42466914366424097,0.03605767823878676,0.08490769326583886
TxPert_exphormer_mg_fixed2000,PSMA3,194,2000,0.07327511328046193,0.10561771168025086,0.07328977123470888,0.4287904135641457,0.037981408964954326,0.08857802524890677
TxPert_exphormer_mg_fixed2000,RPS26,73,2000,0.0710687217379976,0.16997007550505258,0.0710829383256627,0.43635624497950076,0.036528639858216055,0.08371288240140412
TxPert_exphormer_mg_fixed2000,GRPEL1,96,2000,0.06712285164295448,0.11314836019207959,0.06712285164295448,0.42280182600915434,0.0344967128162831,0.08159073560772379
TxPert_exphormer_mg_fixed2000,PHF5A,197,2000,0.06583535686677097,0.10665140648175608,0.06583535686677097,0.4156125013226272,0.03270409805223346,0.07868891614489025
TxPert_exphormer_mg_fixed2000,ZNHIT6,116,2000,0.06928456674438159,0.17131214755515414,0.06928456674438159,0.40017355703115465,0.03382746683742851,0.08453198717844086
TxPert_exphormer_mg_fixed2000,SRBD1,143,2000,0.0683492937162205,0.10867642319282277,0.0683492937162205,0.40210668924808496,0.03161846972573549,0.07863203916985244
TxPert_exphormer_mg_fixed2000,MFAP1,164,2000,0.05912603661417188,0.08528436726239623,0.05912603661417188,0.44429291168153306,0.03241083135321736,0.07294924085342346
TxPert_exphormer_mg_fixed2000,RPS19,410,2000,0.07016148234911378,0.16557040170884285,0.07016148234911378,0.4482168412372471,0.0368469195272401,0.08220779612709504
TxPert_exphormer_mg_fixed2000,ARGLU1,367,2000,0.0714709742775571,0.1347231361603678,0.0714709742775571,0.3896749870151283,0.033747694547772406,0.08660472138647947
TxPert_exphormer_mg_fixed2000,GTF2E2,69,2000,0.06971290654477863,0.1432619436641365,0.06972685191516166,0.4099177398693562,0.034519707214124506,0.08421130147481096
TxPert_exphormer_mg_fixed2000,DYNLRB1,192,2000,0.06609690426454923,0.09863298357892916,0.06611012628980718,0.41925717369586235,0.03365776326466353,0.08027951475502815
TxPert_exphormer_mg_fixed2000,TSR2,486,2000,0.06949986021075621,0.16915282027890044,0.06949986021075621,0.4412906879067421,0.036278270608261234,0.08220946142836648
TxPert_exphormer_mg_fixed2000,COG2,332,2000,0.07362819640722747,0.10845555815974511,0.07364292499222591,0.3958159868058564,0.035129107105843715,0.08875110503195295
TxPert_exphormer_mg_fixed2000,SFPQ,185,2000,0.05545836129025677,0.07516471642989968,0.05545836129025677,0.418454413588643,0.03298379302728921,0.0788229044024005
TxPert_exphormer_mg_fixed2000,MRPL18,128,2000,0.072284401896332,0.15388809173522872,0.072284401896332,0.38681069228515025,0.03414043855171651,0.08826135975562734
TxPert_exphormer_mg_fixed2000,NAA15,107,2000,0.06414704551851255,0.13064063133007317,0.06414704551851255,0.4090786804240943,0.03241129128996283,0.07922996735997628
TxPert_exphormer_mg_fixed2000,DONSON,688,2000,0.07014787676032898,0.10211494455525402,0.07014787676032898,0.40910893021762385,0.033138050142638396,0.08100055238345744
TxPert_exphormer_mg_fixed2000,RARS2,139,2000,0.07286875201260568,0.12702662595267925,0.07288332867834134,0.3878871930593253,0.034534179095588646,0.08903149890796172
TxPert_exphormer_mg_fixed2000,RPF1,108,2000,0.0795056699182404,0.13736523588504057,0.0795056699182404,0.3953925149862468,0.03732680813416839,0.09440443553015261
TxPert_exphormer_mg_fixed2000,ZBTB17,158,2000,0.06949269677803406,0.14899459799482884,0.0695065980976536,0.40444411405295144,0.034534859026856726,0.08538845534651725
TxPert_exphormer_mg_fixed2000,DPH2,161,2000,0.07203234017029281,0.16651761497716153,0.07203234017029281,0.3851872683763504,0.03474489670880139,0.09020260704158978
TxPert_exphormer_mg_fixed2000,TAF10,38,2000,0.06495730044416412,0.15422211011709833,0.06529684403313643,0.43234997107416423,0.035092283100038764,0.08116638056246178
TxPert_exphormer_mg_fixed2000,XPO1,139,2000,0.05941430018122973,0.09072022401208628,0.05941430018122973,0.4357036053001881,0.032636261359415955,0.07490472930074368
TxPert_exphormer_mg_fixed2000,NUP54,266,2000,0.07097580319582625,0.1361038292292802,0.07097580319582625,0.40148584032952783,0.03478544253908099,0.08664176461145547
TxPert_exphormer_mg_fixed2000,SSRP1,440,2000,0.058610891282695955,0.12283922018858769,0.058610891282695955,0.4384930168442429,0.03272042010746898,0.07462016065101897
TxPert_exphormer_mg_fixed2000,SON,238,2000,0.061503240754687306,0.08301183556903624,0.061503240754687306,0.45008554987072946,0.03345434007316828,0.07432884557055511
TxPert_exphormer_mg_fixed2000,BGLAP,236,2000,0.06892784112398528,0.11376296167320527,0.06892784112398528,0.42116946936249733,0.03451525698620827,0.08195099283654705
TxPert_exphormer_mg_fixed2000,PSMD7,175,2000,0.0607573692707845,0.09178363651974847,0.0607573692707845,0.4897535171383619,0.037050550115965315,0.07565142069001994
TxPert_exphormer_mg_fixed2000,SUGT1,94,2000,0.07563038821970013,0.09183101626156798,0.07563038821970013,0.378224865693152,0.03461955628700554,0.09153167470426206
TxPert_exphormer_mg_fixed2000,CENPE,171,2000,0.07077742858662657,0.11260658787607238,0.07079158690400737,0.4030740082383156,0.03422543178342282,0.08491103428846461
TxPert_exphormer_mg_fixed2000,MZT1,381,2000,0.06965946464542937,0.09435335895671379,0.06965946464542937,0.3956963139593601,0.03292055970832706,0.0831965265153895
TxPert_exphormer_mg_fixed2000,NFRKB,223,2000,0.0655100658581462,0.13576978054321218,0.0655100658581462,0.4081166417750716,0.033342918790206316,0.08169948137421956
TxPert_exphormer_mg_fixed2000,RPS14,156,2000,0.07522251032146154,0.18065335697295082,0.07522251032146154,0.4271428500935435,0.03778059319507331,0.08844954867511874
TxPert_exphormer_mg_fixed2000,SNRPG,325,2000,0.06230070122686286,0.09180969077480422,0.06230070122686286,0.42952218293607247,0.03148731045857072,0.0733077614531017
TxPert_exphormer_mg_fixed2000,MRPL38,132,2000,0.06603864126752812,0.12870498057942217,0.06603864126752812,0.39006533675611027,0.031965897671170536,0.08195010896765799
TxPert_exphormer_mg_fixed2000,MAGOH,149,2000,0.06616897329574832,0.10919199348701834,0.06616897329574832,0.413182499676347,0.03273061728890986,0.07921588286626245
